Document,Type,Description
HJR A of 2019,House Joint Resolution,"Legislature: sessions; part-time legislature; provide for. Amends sec. 13, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 01/15/2019"
SJR A of 2019,Senate Joint Resolution,"Constitutional amendments; state; permissible uses of school aid funds; revise. Amends sec. 11, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
SJR B of 2019,Senate Joint Resolution,"Constitutional amendments; state; equal amount of per pupil revenue for school operating purposes for all local school districts; ensure by certain date. Amends sec. 11, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
HJR B of 2019,House Joint Resolution,"Constitutional amendments: state; operation of public school on for-profit basis; prohibit in state constitution. Amends sec. 2, art. VIII of the state constitution.Last Action: joint resolution electronically reproduced 01/16/2019"
HJR C of 2019,House Joint Resolution,"Legislature: sessions; sine die; establish as the Friday before the first Monday in November in an even numbered year. Amends sec. 13, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 01/24/2019"
SJR C of 2019,Senate Joint Resolution,"Constitutional amendments: state; permissible uses of school aid funds; revise. Amends sec. 11, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
SJR D of 2019,Senate Joint Resolution,"Individual income tax; rate; graduated income tax; allow. Amends sec. 7, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON FINANCE"
HJR D of 2019,House Joint Resolution,"Legislature: sessions; passage of bills during session held after November election in an even-numbered year; require a 2/3 vote of both houses. Amends sec. 26, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 02/07/2019"
HJR E of 2019,House Joint Resolution,"Legislature: rules; passage of bills introduced during session held after November election in an even-numbered year; require a 2/3 vote of both houses. Amends sec. 26, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 02/26/2019"
SJR E of 2019,Senate Joint Resolution,"Higher education: governing boards; open meetings for university boards; require. Amends sec. 4, art. VIII of the state constitution.Last Action: REFERRED TO COMMITTEE ON OVERSIGHT"
SJR F of 2019,Senate Joint Resolution,"Constitutional amendments; state; prohibition on aid or support to nonpublic schools; eliminate. Amends sec. 4, art. I & sec. 2 of art. VIII of the state constitution.Last Action: REFERRED TO COMMITTEE ON EDUCATION AND CAREER READINESS"
