Document,Type,Description
SR 0001 of 2005,Senate Resolution,A resolution notifying the Governor and the House of Representatives that the Senate is ready to proceed with the business of the session.Last Action: ADOPTED
HR 0001 of 2005,House Resolution,A resolution prescribing the Standing Rules of the House of Representatives.Last Action: adopted
HR 0002 of 2005,House Resolution,A resolution to provide for officers of the House of Representatives for the Ninety-third Legislature.Last Action: adopted
SR 0002 of 2005,Senate Resolution,A resolution for the adoption of the Standing Rules of the Senate.Last Action: ADOPTED
SR 0003 of 2005,Senate Resolution,A resolution to memorialize the President and the Congress of the United States to investigate the recidivism rate in prisons and to consider the Second Chance Program as a rehabilitation model.Last Action: REFERRED TO COMMITTEE ON JUDICIARY
HR 0003 of 2005,House Resolution,A resolution to provide for the Clerk of the House of Representatives for the Ninety-third Legislature.Last Action: adopted
HR 0004 of 2005,House Resolution,A resolution fixing the hour for daily sessions.Last Action: adopted
SR 0004 of 2005,Senate Resolution,A resolution to memorialize the United States Senate and Michigan's United States Senators to hold confirmation hearings and to have a vote by the full Senate on the Michigan nominees to the United States Sixth Circuit Court of Appeals.Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SR 0005 of 2005,Senate Resolution,A resolution to memorialize the Congress of the United States not to impose taxes on credit unions.Last Action: REFERRED TO COMMITTEE ON BANKING AND FINANCIAL INSTITUTIONS
HR 0005 of 2005,House Resolution,A resolution directing the Clerk to notify the Governor that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted
HR 0006 of 2005,House Resolution,A resolution directing the Clerk to notify the Senate that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted
SR 0006 of 2005,Senate Resolution,A resolution honoring Healthy Marriages Grand Rapids and celebrating February 2005 as Marriage Month in Michigan.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SR 0007 of 2005,Senate Resolution,"A resolution designating February, 23, 2005, as Rotary Day in Michigan in honor of Rotary International's centennial celebration.
Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED COSPONSORS"
HR 0007 of 2005,House Resolution,"A resolution of tribute offered as a memorial for Joe Forbes, former member of the House of Representatives.Last Action: adopted by unanimous standing vote"
HR 0008 of 2005,House Resolution,"A resolution of tribute offered as a memorial for Frank M. Fitzgerald, former member of the House of Representatives.Last Action: adopted by unanimous standing vote"
SR 0008 of 2005,Senate Resolution,"A resolution celebrating February 2005 as Marriage Month in Michigan.
Last Action: ADOPTED"
SR 0009 of 2005,Senate Resolution,"A resolution to express support for the mission of Rural Partners of Michigan and calling for increased investment in this work. 

Last Action: ADOPTED"
HR 0009 of 2005,House Resolution,"A resolution designating February 3, 2005, as Wear Red for Women Day in the state of Michigan.
Last Action: adopted"
HR 0010 of 2005,House Resolution,"A resolution to commemorate February 2005 as National Cherry Month in the state of Michigan.
Last Action: adopted"
SR 0010 of 2005,Senate Resolution,A resolution to memorialize the United States Congress to reverse the planned cuts in the Pell Grant program.Last Action: REFERRED TO COMMITTEE ON EDUCATION
SR 0011 of 2005,Senate Resolution,A resolution to memorialize the Congress of the United States and the federal government to work with Michigan officials to align the ownership of mineral rights and surface rights on state and federal lands in Michigan and express our intent to take actions to achieve this goal.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS
HR 0011 of 2005,House Resolution,A resolution to memorialize the United States Senate to begin confirmation hearings before the Senate Judiciary Committee on Michigan nominees to the United States Sixth Circuit Court of Appeals and to urge the full Senate to hold a vote on the nominees.Last Action: referred to Committee on Government Operations
HR 0012 of 2005,House Resolution,"A resolution declaring February 6, 2005, as Ronald Reagan Day in the state of Michigan.Last Action: adopted"
SR 0012 of 2005,Senate Resolution,A resolution honoring Neil Woodward as Michigan's Troubadour.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SR 0013 of 2005,Senate Resolution,"A resolution commemorating March 10, 2005, as Graduate Education Day in Michigan.Last Action: ADOPTED"
HR 0013 of 2005,House Resolution,"A resolution to urge the Governor to review all existing and future mandates, so that they are carefully scrutinized for effectiveness and their impact on Michigan's competitiveness in a global economy.Last Action: adopted"
HR 0014 of 2005,House Resolution,A resolution to state the intention of the House of Representatives to address the rising costs of health care and retirement in public education.Last Action: Rep. Brenda Clack[*][*] removed as cosponsor
SR 0014 of 2005,Senate Resolution,"A resolution to memorialize Congress to enact highway reauthorization legislation with a level of funding that closes the gap between federal fuel tax dollars paid by Michigan motorists and dollars received to address Michigan’s transportation needs.

Last Action: ADOPTED"
SR 0015 of 2005,Senate Resolution,A resolution to call on the Congress of the United States to reject plans to privatize Social Security by cutting Social Security's guaranteed benefits and diverting money out of Social Security into private investment accounts and to call on Congress to commit to repaying to the Social Security Trust Fund the monies it has taken and spent for other purposes.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
HR 0015 of 2005,House Resolution,"A resolution of tribute offered as a memorial for Jelt Sietsema, former member of the House of Representatives.Last Action: adopted by unanimous standing vote"
HR 0016 of 2005,House Resolution,A resolution to amend the Standing Rules of the House of Representatives.Last Action: adopted
SR 0016 of 2005,Senate Resolution,"A resolution commemorating Saturday, June 4, 2005, as Childhood Cancer Survivors Day in the state of Michigan.
Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED COSPONSORS"
SR 0017 of 2005,Senate Resolution,A resolution to express support for the Republic of China on Taiwan's participation in the World Health Organization.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
HR 0017 of 2005,House Resolution,A resolution congratulating the Calvin College Men's Cross Country Team on winning the 2004 Division III Men's Cross Country National Championship.Last Action: adopted
HR 0018 of 2005,House Resolution,"A resolution to memorialize the Congress of the United States to reject plans to privatize Social Security by cutting Social Security’s guaranteed benefits and diverting money out of Social Security into private investment accounts and to commit to repaying to the Social Security Trust Fund the monies Congress has taken and spent for other purposes.

Last Action: referred to Committee on Government Operations"
SR 0018 of 2005,Senate Resolution,A resolution recognizing March 2005 as National Kidney Month.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED COSPONSORS
SR 0019 of 2005,Senate Resolution,A resolution commemorating March 2005 as Red Cross Month in Michigan.Last Action: ADOPTED
HR 0019 of 2005,House Resolution,"A resolution declaring February 11, 2005, as White Shirt Day 2005 in the state of Michigan.
Last Action: adopted"
HR 0020 of 2005,House Resolution,"A resolution to commemorate the 100th Anniversary of Rotary International, and to honor the contributions of Michigan Rotarians by naming Feb. 23, 2005, as Rotary Day, and the week of February 20, 2005, as Rotary Week in the state of Michigan.Last Action: adopted"
SR 0020 of 2005,Senate Resolution,"A resolution recognizing April 16-21, 2005, as Nonviolence Week in the state of Michigan.Last Action: ADOPTED"
SR 0021 of 2005,Senate Resolution,A resolution to establish April 2005 as Youth Financial Literacy Month.Last Action: ADOPTED
HR 0021 of 2005,House Resolution,"A resolution recognizing March 2005 as Reading Month in the state of Michigan.
Last Action: adopted"
HR 0022 of 2005,House Resolution,A resolution commemorating March 2005 as Ethnic and Cultural Heritage Month in the state of Michigan.Last Action: adopted
SR 0022 of 2005,Senate Resolution,A resolution to memorialize the Congress of the United States to maintain the Perkins Loan program.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SR 0023 of 2005,Senate Resolution,A resolution commemorating the 40th Anniversary of the Head Start program.Last Action: ADOPTED
HR 0023 of 2005,House Resolution,A resolution to amend the Standing Rules of the House of Representatives.Last Action: adopted
HR 0024 of 2005,House Resolution,"A resolution to urge the Michigan Capitol Committee to recommend that a display of the Ten Commandments and other documents that may be primarily religious in nature or origin and that have had an impact on this state's or this country's history be placed in the Capitol.
Last Action: adopted"
