Document,Type,Description
HR 0001 of 2023,House Resolution,A resolution to prescribe the Standing Rules for the 2023-2024 session of the House of Representatives.Last Action: adopted
SR 0001 of 2023,Senate Resolution,A resolution notifying the Governor and the House of Representatives that the Senate is ready to proceed with the business of the session.Last Action: ADOPTED
SR 0002 of 2023,Senate Resolution,A resolution prescribing the Standing Rules of the Senate.Last Action: ADOPTED
HR 0002 of 2023,House Resolution,A resolution to provide for Laurie Pohutsky to be Speaker Pro Tempore of the House of Representatives for the One Hundred Second Legislature.Last Action: roll call Roll Call # 2 Yeas 100 Nays 9 Excused 0 Not Voting 1
HR 0003 of 2023,House Resolution,A resolution to provide for Richard J. Brown to be the Clerk of the House of Representatives for the One Hundred Second Legislature.Last Action: roll call Roll Call # 3 Yeas 105 Nays 4 Excused 0 Not Voting 1
SR 0003 of 2023,Senate Resolution,"A resolution to recognize January 29-February 4, 2023, as Catholic Schools Week.Last Action: ADOPTED"
SR 0004 of 2023,Senate Resolution,"A resolution to commemorate February 1, 2023, as the 125th anniversary of the Michigan Association of Counties (MAC).Last Action: ADOPTED"
HR 0004 of 2023,House Resolution,A resolution to fix the hour for daily sessions.Last Action: adopted
HR 0005 of 2023,House Resolution,A resolution to direct the Clerk to notify the Governor that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted
SR 0005 of 2023,Senate Resolution,"A resolution to commemorate February 1, 2023, as Blue Star Mother's Day.Last Action: ADOPTED"
SR 0006 of 2023,Senate Resolution,A resolution to recognize February 2023 as Black History Month.Last Action: ADOPTED
HR 0006 of 2023,House Resolution,A resolution to direct the Clerk to notify the Senate that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted
HR 0007 of 2023,House Resolution,"A resolution to declare January 9-13, 2023, as Human Trafficking Awareness Week in the state of Michigan.Last Action: adopted"
SR 0007 of 2023,Senate Resolution,"A resolution to recognize February 2023 as American Heart Month and February 3, 2023, as “National Wear Red Day”.Last Action: ADOPTED"
SR 0008 of 2023,Senate Resolution,"A resolution to recognize February 11, 2023, as the United Auto Workers' (UAW) White Shirt Day.Last Action: ADOPTED"
HR 0008 of 2023,House Resolution,A resolution to declare January 2023 as Human Trafficking Awareness Month in the state of Michigan.Last Action: adopted
HR 0009 of 2023,House Resolution,"A resolution to declare January 11, 2023, as Human Trafficking Awareness Day in the state of Michigan.Last Action: adopted"
SR 0009 of 2023,Senate Resolution,"A resolution to express our commitment, in partnership with the United States Air Force, to accelerating change in order to compete with, deter, and, if necessary, defeat a peer adversary, and to urge the United States Air Force to replace the A-10s with an advanced generation fighter mission at Selfridge Air National Guard Base.Last Action: ADOPTED"
SR 0010 of 2023,Senate Resolution,A resolution to urge the United States House of Representatives not to take up H.R. 25 of 2023 or otherwise impose a national sales tax.Last Action: ADOPTED
