Document,Type,Description
HR 0010 of 2023,House Resolution,A resolution to declare January 2023 as Fire Fighter Cancer Awareness Month in the state of Michigan.Last Action: adopted
HR 0011 of 2023,House Resolution,A resolution to declare January 2023 as National Blood Donor Month in the state of Michigan.Last Action: adopted
SR 0011 of 2023,Senate Resolution,A resolution to amend the Standing Rules of the Senate.Last Action: ADOPTED
SR 0012 of 2023,Senate Resolution,A resolution to amend the Standing Rules of the Senate.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
HR 0012 of 2023,House Resolution,"A resolution to declare January 17, 2023, as Delta Sigma Theta Sorority, Incorporated, Day in the state of Michigan.Last Action: adopted"
HR 0013 of 2023,House Resolution,A resolution to declare January 2023 as Local School Board Recognition Month in the state of Michigan.Last Action: adopted
SR 0013 of 2023,Senate Resolution,A resolution to recognize February 2023 as School-Based Health Care Awareness Month.Last Action: ADOPTED
SR 0014 of 2023,Senate Resolution,"A resolution to honor, praise, and remember the steady leadership and extraordinary life of Barbara Jordan during Black History Month.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HR 0014 of 2023,House Resolution,A resolution to commemorate January 2023 as the 94th anniversary of the birth of Dr. Martin Luther King Jr.Last Action: adopted
HR 0015 of 2023,House Resolution,"A resolution to declare January 15, 2023, as Alpha Kappa Alpha Sorority, Incorporated, Founders’ Day in the state of Michigan.Last Action: adopted"
SR 0015 of 2023,Senate Resolution,A resolution to urge the United States Congress to allocate $425 million for the Great Lakes Restoration Initiative in the Fiscal Year 2024 budget.Last Action: ADOPTED
SR 0016 of 2023,Senate Resolution,"A resolution to urge the Federal Railroad Administration and the United States Congress to enact policies, such as the Railway Safety Act of 2023, to prevent further accidents like train derailments occurring across the nation since the beginning of this year.Last Action: ADOPTED"
HR 0016 of 2023,House Resolution,A resolution to declare January 2023 as Finnish-American Heritage Month in the state of Michigan.Last Action: adopted
HR 0017 of 2023,House Resolution,"A resolution to declare January 9, 2023, as Phi Beta Sigma Day in the state of Michigan.Last Action: adopted"
SR 0017 of 2023,Senate Resolution,A resolution to encourage the United States Federal Government to increase transparency and notification standards around the transportation of toxic waste materials across state and community lines.Last Action: ADOPTED
SR 0018 of 2023,Senate Resolution,"A resolution to recognize March 5-11, 2023, as School Social Work Week.Last Action: ADOPTED"
HR 0018 of 2023,House Resolution,"A resolution to honor the one hundred and third anniversary of Zeta Phi Beta Sorority, Incorporated, and declare January 16, 2023, as Zeta Phi Beta Sorority, Incorporated, Founders’ Day in the state of Michigan.Last Action: adopted"
HR 0019 of 2023,House Resolution,A resolution to amend the Standing Rules of the House of Representatives.Last Action: adopted
SR 0019 of 2023,Senate Resolution,"A resolution to recognize March 12-18, 2023, as Multiple Sclerosis (MS) Week.Last Action: ADOPTED"
SR 0020 of 2023,Senate Resolution,"A resolution to commemorate the 60th anniversary of Gideon v. Wainwright, the Supreme Court of the United States (SCOTUS) decision that guaranteed the right to an attorney for individuals accused of a crime.Last Action: ADOPTED"
HR 0020 of 2023,House Resolution,"A resolution to declare January 22-28, 2023, as School Choice Week in the state of Michigan.Last Action: referred to Committee on Education"
HR 0021 of 2023,House Resolution,"A resolution to declare January 29-February 4, 2023, as Catholic Schools Week in the state of Michigan.Last Action: adopted"
SR 0021 of 2023,Senate Resolution,"A resolution to recognize March 17, 2023, as Saint Patrick's Day.Last Action: ADOPTED"
SR 0022 of 2023,Senate Resolution,A resolution to recognize the 10th anniversary of the Michigan 2 Veterans Affairs Agency (MVAA).Last Action: ADOPTED
HR 0022 of 2023,House Resolution,"A resolution to declare January 27, 2023, as Holocaust Remembrance Day in the state of Michigan.Last Action: adopted"
HR 0023 of 2023,House Resolution,"A resolution to declare January 31, 2023, as Gas Stove Appreciation Day in the state of Michigan.Last Action: referred to Committee on Government Operations"
SR 0023 of 2023,Senate Resolution,A resolution to recognize March 2023 as Colorectal Cancer Awareness Month.Last Action: ADOPTED
SR 0024 of 2023,Senate Resolution,"A resolution to recognize March 23, 2023, as Tuskegee Airmen Day.Last Action: ADOPTED"
HR 0024 of 2023,House Resolution,"A resolution to declare February 1, 2023, as Blue Star Mothers Day in the state of Michigan.Last Action: adopted"
HR 0025 of 2023,House Resolution,A resolution to declare February 2023 as Self-Care Awareness Month in the state of Michigan.Last Action: adopted
SR 0025 of 2023,Senate Resolution,A resolution to designate April 2023 as Financial Literacy Month.Last Action: ADOPTED
SR 0026 of 2023,Senate Resolution,A resolution to commemorate the 50th anniversary of the National Wild Turkey Federation (NWTF).Last Action: ADOPTED
HR 0026 of 2023,House Resolution,A resolution to oppose any attempt by the President of the United States or the United States Consumer Product Safety Commission to ban the use of gas stoves.Last Action: referred to Committee on Government Operations
HR 0027 of 2023,House Resolution,"A resolution to declare February 2, 2023, as Optimist Day in the state of Michigan.Last Action: adopted"
SR 0027 of 2023,Senate Resolution,A resolution to recognize April 2023 as Arab-American Heritage Month.Last Action: ADOPTED
SR 0028 of 2023,Senate Resolution,"A resolution to commemorate April 11-17, 2023, as Black Maternal Health Week.Last Action: ADOPTED"
HR 0028 of 2023,House Resolution,A resolution to declare February 2023 as Career and Technical Education Month in the state of Michigan.Last Action: adopted
HR 0029 of 2023,House Resolution,"A resolution to declare February 2023 as American Heart Month and February 3, 2023, as National Wear Red Day in the state of Michigan.Last Action: adopted"
SR 0029 of 2023,Senate Resolution,A resolution to recognize April 2023 as Donate Life Month.Last Action: ADOPTED
SR 0030 of 2023,Senate Resolution,"A resolution to recognize April 15-22, 2023, as International Dark Sky Week.Last Action: ADOPTED"
HR 0030 of 2023,House Resolution,A resolution to declare February 2023 as Cholangiocarcinoma Awareness Month in the state of Michigan.Last Action: adopted
HR 0031 of 2023,House Resolution,"A resolution to declare February 7-14, 2023, as Congenital Heart Defect Awareness Week in the state of Michigan.Last Action: adopted"
SR 0031 of 2023,Senate Resolution,"A resolution to recognize April 9-15, 2023, as National Public Safety Telecommunicators Week (NPSTW).Last Action: ADOPTED"
SR 0032 of 2023,Senate Resolution,A resolution to urge the Department of Natural Resources to deny the Michigan National Guard’s request to expand the Camp Grayling Joint Maneuver Training Center.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
HR 0032 of 2023,House Resolution,"A resolution to declare February 6-10, 2023, as School Counseling Week in the state of Michigan.Last Action: adopted"
HR 0033 of 2023,House Resolution,"A resolution to express our commitment, in partnership with the United States Air Force, to accelerating change in order to compete with, deter, and, if necessary, defeat a peer adversary, and to urge the United States Air Force to replace the A-10s with an advanced generation fighter mission at Selfridge Air National Guard Base.Last Action: adopted"
SR 0033 of 2023,Senate Resolution,A resolution to designate April 2023 as Community College Month.Last Action: ADOPTED
SR 0034 of 2023,Senate Resolution,"A resolution to recognize April 18, 2023, as Holocaust Remembrance Day.Last Action: ADOPTED"
HR 0034 of 2023,House Resolution,"A resolution to declare February 11, 2023, as White Shirt Day in the state of Michigan.Last Action: adopted"
HR 0035 of 2023,House Resolution,A resolution to declare February 2023 as Black History Month in the state of Michigan.Last Action: adopted
SR 0035 of 2023,Senate Resolution,A resolution to commemorate the city of Ypsilanti’s 200th Founder’s Day.Last Action: ADOPTED
SR 0036 of 2023,Senate Resolution,"A resolution to commemorate April 23-30, 2023, as Black April Memorial Week.Last Action: ADOPTED"
HR 0036 of 2023,House Resolution,A resolution of tribute to express our condolences for the tragic shooting at Michigan State University.Last Action: adopted by unanimous standing vote
HR 0037 of 2023,House Resolution,"A resolution to declare February 14, 2023, as Frederick Douglass Day in the state of Michigan.Last Action: adopted"
SR 0037 of 2023,Senate Resolution,"A resolution to recognize April 28, 2023, as Workers’ Memorial Day.Last Action: ADOPTED"
SR 0038 of 2023,Senate Resolution,A resolution to recognize April 2023 as Autism Acceptance Month.Last Action: ADOPTED
HR 0038 of 2023,House Resolution,"A resolution to declare February 14, 2023, as National Donor Day in the state of Michigan.Last Action: adopted"
HR 0039 of 2023,House Resolution,"A resolution to declare February 16, 2023, as Elks USA Appreciation Day in the state of Michigan.Last Action: adopted"
SR 0039 of 2023,Senate Resolution,"A resolution to recognize April 27, 2023, as Survivors Speak Michigan Day, a part of National Crime Victims Rights' Week.Last Action: ADOPTED"
SR 0040 of 2023,Senate Resolution,A resolution to designate April 2023 as School Library Month.Last Action: ADOPTED
HR 0040 of 2023,House Resolution,"A resolution to declare February 15, 2023, as Less Cancer Day in the state of Michigan.Last Action: adopted"
HR 0041 of 2023,House Resolution,"A resolution to declare February 18-25, 2023, as National FFA Week in the state of Michigan.Last Action: adopted"
SR 0041 of 2023,Senate Resolution,"A resolution to recognize April 2023 as Second Chance Month and April 23-29, 2023, as Reentry Week.Last Action: ADOPTED"
SR 0042 of 2023,Senate Resolution,"A resolution to recognize April 29, 2023, as #EndJewHatredDay.Last Action: ADOPTED"
HR 0042 of 2023,House Resolution,"A resolution to declare February 16, 2023, as Conductive Education Day in the state of Michigan.Last Action: adopted"
HR 0043 of 2023,House Resolution,"A resolution to declare February 28, 2023, as School-Based Health Care Awareness Day in the state of Michigan.Last Action: adopted"
SR 0043 of 2023,Senate Resolution,"A resolution to designate May 1-6, 2023, as Tardive Dyskinesia Awareness Week.Last Action: ADOPTED"
SR 0044 of 2023,Senate Resolution,A resolution to recognize May 2023 as Drug Court Month.Last Action: ADOPTED
HR 0044 of 2023,House Resolution,"A resolution to declare February 28, 2023, as Rare Disease Day in the state of Michigan.Last Action: adopted"
HR 0045 of 2023,House Resolution,"A resolution to declare February 27-March 3, 2023, as Public Schools Week in the state of Michigan.Last Action: adopted"
SR 0045 of 2023,Senate Resolution,A resolution to recognize May 2023 as Nurses Month.Last Action: ADOPTED
SR 0046 of 2023,Senate Resolution,A resolution to recognize May 2023 as Stroke Awareness Month.Last Action: ADOPTED
HR 0046 of 2023,House Resolution,A resolution to declare March 2023 as Agriculture Month in the state of Michigan.Last Action: adopted
HR 0047 of 2023,House Resolution,A resolution to declare March 2023 as Athletic Trainer Month in the state of Michigan.Last Action: adopted
SR 0047 of 2023,Senate Resolution,"A resolution to recognize May 1-7, 2023, as Correctional Officers Week.Last Action: ADOPTED"
SR 0048 of 2023,Senate Resolution,"A resolution to commemorate May 14-20, 2023, as Police Week.Last Action: ADOPTED"
HR 0048 of 2023,House Resolution,"A resolution to declare March 1, 2023, as Endometriosis Awareness Day in the state of Michigan.Last Action: adopted"
HR 0049 of 2023,House Resolution,A resolution to honor the courage of the Ukrainian people.Last Action: adopted
SR 0049 of 2023,Senate Resolution,"A resolution to condemn the coercive actions of the People’s Republic of China towards Taiwan from April 8 to 10, 2023, to support Taiwan’s sovereignty, and to urge the People’s Republic of China to de-escalate the situation.Last Action: ADOPTED"
SR 0050 of 2023,Senate Resolution,A resolution to urge the Centers for Disease Control and Prevention to include new respiratory syncytial virus immunization technologies (including vaccines and monoclonal antibodies) within the federal Vaccines for Children Program.Last Action: ADOPTED
HR 0050 of 2023,House Resolution,A resolution to declare March 2023 as Brain Injury Awareness Month in the state of Michigan.Last Action: adopted
HR 0051 of 2023,House Resolution,"A resolution to declare March 2, 2023, as Cardiovascular Disease Awareness Day in the state of Michigan.Last Action: adopted"
SR 0051 of 2023,Senate Resolution,A resolution to urge the Michigan State University Board of Trustees to include a representative from Michigan’s agricultural community on the Presidential Search Committee.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SR 0052 of 2023,Senate Resolution,"A resolution to express our commitment to strengthening and deepening the ties between the state of Michigan and Taiwan, and to support Taiwan’s meaningful participation in and contributions to international organizations.Last Action: ADOPTED"
HR 0052 of 2023,House Resolution,A resolution to encourage the United States Federal Government to increase transparency and notification standards around the transportation of toxic waste materials across state and community lines.Last Action: adopted
HR 0053 of 2023,House Resolution,"A resolution to declare March 8, 2023, as International Women’s Day in the state of Michigan.Last Action: adopted"
SR 0053 of 2023,Senate Resolution,"A resolution to recognize May 17, 2023, as Older Michiganians Day.Last Action: ADOPTED"
SR 0054 of 2023,Senate Resolution,A resolution to commemorate June 2023 as Gun Violence Awareness Month.Last Action: ADOPTED
HR 0054 of 2023,House Resolution,A resolution to declare March 2023 as National Social Work Month in the state of Michigan.Last Action: adopted
HR 0055 of 2023,House Resolution,"A resolution to declare March 5-11, 2023, as National School Social Work Week in the state of Michigan.Last Action: adopted"
SR 0055 of 2023,Senate Resolution,A resolution to recognize May 2023 as Neurofibromatosis Awareness Month.Last Action: ADOPTED
SR 0056 of 2023,Senate Resolution,A resolution to strongly condemn the May 2023 changes to the upfront fees on home mortgages charged by Fannie Mae and Freddie Mac under the direction of the Federal Housing Finance Agency.Last Action: REFERRED TO COMMITTEE ON HOUSING AND HUMAN SERVICES
HR 0056 of 2023,House Resolution,"A resolution to declare March 13-18 2023, as Sunshine Week in the state of Michigan.Last Action: adopted"
HR 0057 of 2023,House Resolution,A resolution to declare March 2023 as Pay Equity Month in the state of Michigan.Last Action: adopted
SR 0057 of 2023,Senate Resolution,A resolution to designate May 2023 as Motorcycle Safety Awareness Month.Last Action: ADOPTED
SR 0058 of 2023,Senate Resolution,"A resolution to recognize June 10, 2023, as Alcoholics Anonymous Day.Last Action: ADOPTED"
HR 0058 of 2023,House Resolution,"A resolution to declare March 21, 2023, as Abolitionist Day in the state of Michigan.Last Action: adopted"
HR 0059 of 2023,House Resolution,A resolution to urge the United States government and Michiganders to strengthen ties with Taiwan.Last Action: adopted
SR 0059 of 2023,Senate Resolution,"A resolution to commemorate June 12, 2023, as Loving Day.Last Action: ADOPTED"
SR 0060 of 2023,Senate Resolution,"A resolution to recognize June 2023 as Lesbian, Gay, Bisexual, Transgender, Queer+ (LGBTQ+) Pride Month.Last Action: ADOPTED"
HR 0060 of 2023,House Resolution,"A resolution to declare March 21, 2023, as World Down Syndrome Day in the state of Michigan.Last Action: adopted"
HR 0061 of 2023,House Resolution,A resolution to declare April 2023 as Financial Literacy Month in the state of Michigan.Last Action: adopted
SR 0061 of 2023,Senate Resolution,"A resolution to recognize June 2023 as the Michigan Department of Transportation (MDOT) Construction Technicians, Engineers, and Contractors Appreciation Month.Last Action: ADOPTED"
SR 0062 of 2023,Senate Resolution,"A resolution to recognize June 23-29, 2023, as Grassroots Week.Last Action: ADOPTED"
HR 0062 of 2023,House Resolution,"A resolution to declare March 22, 2023, as Michigan Water Day and World Water Day in the state of Michigan.Last Action: adopted"
HR 0063 of 2023,House Resolution,A resolution to declare April 2023 as Arab-American Heritage Month in the state of Michigan.Last Action: adopted
SR 0063 of 2023,Senate Resolution,"A resolution to recognize June 23, 2023, as “Rosen Rye Day”.Last Action: ADOPTED"
SR 0064 of 2023,Senate Resolution,"A resolution to commemorate June 27, 2023, as Post-Traumatic Stress Injury (PTSI) Awareness Day.Last Action: ADOPTED"
HR 0064 of 2023,House Resolution,A resolution to memorialize the federal government to continue to stand with the Burmese people against the military coup in Burma.Last Action: referred to Committee on Government Operations
HR 0065 of 2023,House Resolution,"A resolution to declare March 23, 2023, as Tuskegee Airmen Day in the state of Michigan.Last Action: adopted"
SR 0065 of 2023,Senate Resolution,"A resolution to recognize August 6-12, 2023, as National Health Center Week.Last Action: ADOPTED"
SR 0066 of 2023,Senate Resolution,A resolution to designate July 2023 as Michigan Beer Month.Last Action: ADOPTED
HR 0066 of 2023,House Resolution,"A resolution to urge the United States federal government to take action to expand pathways for legal immigration, help Michigan fill legal immigrant positions, and increase access to nonimmigrant work visas.Last Action: referred to Committee on Agriculture"
HR 0067 of 2023,House Resolution,"A resolution to extend best wishes to Muslims in Michigan, the United States, and worldwide, for a joyous and meaningful observance of Ramadan, a holy month of prayer, fasting, charity, and reflection.Last Action: adopted"
SR 0067 of 2023,Senate Resolution,A resolution to recognize September 2023 as National PACE (Programs of All-Inclusive Care for the Elderly) Month.Last Action: ADOPTED
SR 0068 of 2023,Senate Resolution,"A resolution to recognize September 2023 as Cholesterol Education Month and September 1, 2023, as Low-Density Lipoprotein Cholesterol (LDL-C) Awareness Day.Last Action: ADOPTED"
HR 0068 of 2023,House Resolution,"A resolution to condemn divisive rhetoric that invokes inappropriate, repugnant Holocaust comparisons as an ideological political ploy meant to polarize the populous.Last Action: adopted"
HR 0069 of 2023,House Resolution,A resolution to declare April 2023 as Community College Month in the state of Michigan.Last Action: adopted
SR 0069 of 2023,Senate Resolution,A resolution to designate September 2023 as Childhood Cancer Awareness Month.Last Action: ADOPTED
SR 0070 of 2023,Senate Resolution,"A resolution to designate September 15-October 15, 2023, as Hispanic Heritage Month.Last Action: ADOPTED"
HR 0070 of 2023,House Resolution,A resolution to declare April 2023 as Autism Acceptance Month in the state of Michigan.Last Action: adopted
HR 0071 of 2023,House Resolution,"A resolution to urge the Department of Natural Resources to deny the Michigan National Guard’s request to expand the Camp Grayling Joint Maneuver Training Center.Last Action: referred to Committee on Military, Veterans and Homeland Security"
SR 0071 of 2023,Senate Resolution,"A resolution to recognize September 21, 2023, as Maltese American Heritage Day.Last Action: ADOPTED"
SR 0072 of 2023,Senate Resolution,"A resolution to designate September 17—23, 2023, as Constitution Week.Last Action: ADOPTED"
HR 0072 of 2023,House Resolution,"A resolution to condemn the April 7, 2023, order in the case Alliance for Hippocratic Medicine v. FDA and to denounce any and all efforts to limit access to abortion in Michigan and throughout the country.Last Action: roll call Roll Call # 58 Yeas 56 Nays 51 Excused 0 Not Voting 3"
HR 0073 of 2023,House Resolution,A resolution to declare April 2023 as Scottish American Heritage Month in the state of Michigan.Last Action: adopted
SR 0073 of 2023,Senate Resolution,A resolution to designate September 2023 as Suicide Prevention Month.Last Action: ADOPTED
SR 0074 of 2023,Senate Resolution,A resolution to urge the President of the United States and the United States Congress to renew the African Growth and Opportunity Act and to expand it to include other sub-Saharan African countries.Last Action: ADOPTED
HR 0074 of 2023,House Resolution,"A resolution to declare April 2-9, 2023, as Holy Week in the state of Michigan and to extend best wishes to Christians in Michigan, the United States, and worldwide, for a joyous and meaningful observance of Holy Week, culminating in Easter Sunday, when all Christians celebrate Jesus’ resurrection from the dead.Last Action: adopted"
HR 0075 of 2023,House Resolution,"A resolution to declare April 17-21, 2023, as National Work Zone Awareness Week in the state of Michigan.Last Action: adopted"
SR 0075 of 2023,Senate Resolution,"A resolution to designate September 27, 2023, as Face Equality Day.Last Action: ADOPTED"
SR 0076 of 2023,Senate Resolution,"A resolution to support Israel, the long-standing partner of the United States of America, and to clearly condemn the terrorist attacks carried out by Hamas against the Israeli people starting on Saturday, October 7, 2023.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HR 0076 of 2023,House Resolution,"A resolution to declare April 10-16, 2023, as Black Maternal Health Week in the state of Michigan.Last Action: adopted"
HR 0077 of 2023,House Resolution,"A resolution to declare April 16, 2023, as Healthcare Decisions Day in the state of Michigan.Last Action: adopted"
SR 0077 of 2023,Senate Resolution,"A resolution to commemorate October 16-22, 2023, as Independent Retailers Week.Last Action: ADOPTED"
SR 0078 of 2023,Senate Resolution,"A resolution to condemn the terrorist attacks carried out by Hamas in Israel on October 7, 2023.Last Action: ADOPTED"
HR 0078 of 2023,House Resolution,"A resolution to declare April 16-22, 2023, as Holocaust Memorial Week in the state of Michigan.Last Action: adopted"
HR 0079 of 2023,House Resolution,A resolution to declare April 2023 as Home Care Awareness Month in the state of Michigan.Last Action: adopted
SR 0079 of 2023,Senate Resolution,"A resolution to recognize the historic, cultural, and religious significance of the festival of Diwali.Last Action: ADOPTED"
SR 0080 of 2023,Senate Resolution,"A resolution to designate November 8, 2023, as Auto Heritage Day and recognize the 25th Anniversary of the MotorCities National Heritage Area Partnership.Last Action: ADOPTED"
HR 0080 of 2023,House Resolution,"A resolution to declare April 21, 2023, as Eid al-Fitr Day in the state of Michigan.Last Action: adopted"
HR 0081 of 2023,House Resolution,"A resolution to declare April 25, 2023, as Librarian and Library Worker Day in the state of Michigan.Last Action: roll call Roll Call # 63 Yeas 56 Nays 53 Excused 0 Not Voting 1"
SR 0081 of 2023,Senate Resolution,A resolution to congratulate St. Clair County Community College on its 100th Anniversary.Last Action: ADOPTED
SR 0082 of 2023,Senate Resolution,A resolution to call on United States Representative Rashida Tlaib of Michigan to resign her office.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
HR 0082 of 2023,House Resolution,"A resolution to declare April 23-April 29, 2023, as Infertility Awareness Week in the state of Michigan.Last Action: adopted"
HR 0083 of 2023,House Resolution,"A resolution to declare April 29, 2023, as Fraternal Order of Eagles Day in the state of Michigan.Last Action: adopted"
SR 0083 of 2023,Senate Resolution,A resolution to urge the United States federal government to amend the Supplemental Nutrition Assistance Program (SNAP) to simplify the college student exemptions to make aid more accessible for prospective and enrolled students who come from low-income families.Last Action: ADOPTED
SR 0084 of 2023,Senate Resolution,"A resolution to request support and funding from the National Archives and Records Administration for the restoration of the reflecting pool and fountain at the Gerald R. Ford Presidential Museum in Grand Rapids, Michigan.Last Action: ADOPTED"
HR 0084 of 2023,House Resolution,"A resolution to declare April 23-29, 2023, as Crime Victims’ Rights Week in the state of Michigan.Last Action: adopted"
HR 0085 of 2023,House Resolution,"A resolution to affirm the Governor’s proclamation on workplace safety and call on the Governor, the Michigan Department of Labor and Economic Opportunity, the Michigan Occupational Safety and Health Administration, and all those responsible for the safety of Michigan’s workers to do everything in their power to decrease workplace deaths and make worksites safer for all hardworking Michiganders.Last Action: referred to Committee on Government Operations"
HR 0086 of 2023,House Resolution,A resolution to declare April 2023 as Sjogren's Awareness Month in the state of Michigan.Last Action: adopted
HR 0087 of 2023,House Resolution,"A resolution to declare May 1-7, 2023, as Tardive Dyskinesia Awareness Week in the state of Michigan.Last Action: adopted"
HR 0088 of 2023,House Resolution,"A resolution to declare May 1, 2023, as International Workers Day in the state of Michigan.Last Action: adopted"
HR 0089 of 2023,House Resolution,A resolution to declare April 2023 as Sexual Assault Awareness Month in the state of Michigan.Last Action: adopted
HR 0090 of 2023,House Resolution,"A resolution to declare April 2023 as Second Chance Month and April 23-29, 2023, as Reentry Week in the state of Michigan.Last Action: adopted"
HR 0091 of 2023,House Resolution,"A resolution to declare April 28, 2023, as Arbor Day in the state of Michigan.Last Action: adopted"
HR 0092 of 2023,House Resolution,A resolution to declare May 2023 as Drug Court Awareness Month in the state of Michigan.Last Action: adopted
HR 0093 of 2023,House Resolution,A resolution to declare May 2023 as Cystic Fibrosis Awareness Month in the state of Michigan.Last Action: adopted
HR 0094 of 2023,House Resolution,"A resolution to declare May 2, 2023, as Negro Leagues Baseball Day in the state of Michigan.Last Action: adopted"
HR 0095 of 2023,House Resolution,A resolution to declare May 2023 as Foster Care Awareness Month in the state of Michigan.Last Action: adopted
HR 0096 of 2023,House Resolution,A resolution to declare May 2023 as Bike Month in the state of Michigan.Last Action: adopted
HR 0097 of 2023,House Resolution,A resolution to declare May 2023 as Michigan Moves Month in the state of Michigan.Last Action: adopted
HR 0098 of 2023,House Resolution,A resolution to declare May 2023 as Motorcycle Safety Awareness Month in the state of Michigan.Last Action: adopted
HR 0099 of 2023,House Resolution,"A resolution to declare April 30-May 6, 2023, as Professional Municipal Clerks Week in the state of Michigan.Last Action: adopted"
HR 0100 of 2023,House Resolution,"A resolution to declare May 4, 2023, as a Day of Prayer in the state of Michigan.Last Action: adopted"
HR 0101 of 2023,House Resolution,A resolution to declare May 2023 as Jewish American Heritage Month in the state of Michigan.Last Action: adopted
HR 0102 of 2023,House Resolution,A resolution to declare May 2023 as Huntington's Disease Awareness Month in the state of Michigan.Last Action: adopted
HR 0103 of 2023,House Resolution,A resolution to declare May 2023 as Mental Health Awareness Month in the state of Michigan.Last Action: adopted
HR 0104 of 2023,House Resolution,A resolution to declare May 2023 as National Prisoner Family Month in the state of Michigan.Last Action: adopted
HR 0105 of 2023,House Resolution,"A resolution to declare May 8-12, 2023, as Teacher Appreciation Week in the state of Michigan.Last Action: adopted"
HR 0106 of 2023,House Resolution,A resolution to declare May 2023 as Tennis Month in the state of Michigan.Last Action: adopted
HR 0107 of 2023,House Resolution,"A resolution to declare May 14-20, 2023, as Police Week in the state of Michigan.Last Action: adopted"
HR 0108 of 2023,House Resolution,"A resolution to declare May 12, 2023, as Fibromyalgia Awareness Day in the state of Michigan.Last Action: adopted"
HR 0109 of 2023,House Resolution,"A resolution to declare May 14, 2023, as Hmong American Day in the state of Michigan.Last Action: adopted"
HR 0110 of 2023,House Resolution,"A resolution to declare May 14-20, 2023, as Brain Tumor Awareness Week in the state of Michigan.Last Action: adopted"
HR 0111 of 2023,House Resolution,"A resolution to declare May 17, 2023, as Older Michiganians Day in the state of Michigan.Last Action: adopted"
HR 0112 of 2023,House Resolution,A resolution to urge the Michigan State University Board of Trustees to include a representative from Michigan’s agricultural community on the Presidential Search Committee.Last Action: per Rule 41 referred to Committee on Agriculture
HR 0113 of 2023,House Resolution,"A resolution to declare May 24, 2023, as National Aviation Maintenance Technician Day in the state of Michigan.Last Action: adopted"
HR 0114 of 2023,House Resolution,"A resolution to declare May 25, 2023, as Stop the Bleed Day in the state of Michigan.Last Action: adopted"
