Document,Type,Description
HR 0027 of 2011,House Resolution,"A resolution to urge Congress to extend the waiver on interest accrued on advances received by the state for unemployment benefits.

Last Action: referred to Committee on Commerce"
HR 0028 of 2011,House Resolution,"A resolution to memorialize Congress to adopt and submit to the states for ratification an amendment to the United States Constitution to require a balanced budget.

Last Action: referred to Committee on Government Operations"
SR 0028 of 2011,Senate Resolution,"A resolution recognizing March 20-26, 2011, as Home Education Week in the state of Michigan.Last Action: ADOPTED"
SR 0029 of 2011,Senate Resolution,A resolution to urge the Attorney General to investigate and monitor gasoline prices throughout the state.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
HR 0029 of 2011,House Resolution,"A resolution to declare February 27-March 5, 2011, as Aviation Week in the state of Michigan.Last Action: adopted"
HR 0030 of 2011,House Resolution,"A resolution to memorialize Congress to provide that the children of foreign nationals born in this country or its territories are not automatically granted United States citizenship under the Fourteenth Amendment to the United States Constitution.

Last Action: referred to Committee on Government Operations"
SR 0030 of 2011,Senate Resolution,"A resolution to call on the state and federal government to work cooperatively to fund the restoration of the breakwall at the Grand Marais Harbor.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES, ENVIRONMENT AND GREAT LAKES"
SR 0031 of 2011,Senate Resolution,A resolution declaring April 2011 as Michigan Safe Digging Month.Last Action: ADOPTED
HR 0031 of 2011,House Resolution,"A resolution to honor the Peace Corps on the occasion of its 50th anniversary on March 1, 2011.Last Action: adopted"
HR 0032 of 2011,House Resolution,"A resolution to urge the city of Detroit and the Detroit Fire Department to increase the operational effectiveness of the Detroit Emergency Medical Services Division.

Last Action: referred to Committee on Local, Intergovernmental, and Regional Affairs"
SR 0032 of 2011,Senate Resolution,A resolution to commemorate the 25th Anniversary of the Chernobyl nuclear-plant disaster and those affected by the accident.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SR 0033 of 2011,Senate Resolution,"A resolution to commemorate April 10-16, 2011, as Crime Victim's Rights Week and reaffirm our commitment to the Crime Victim's Vigil on April 13, 2011.Last Action: ADOPTED"
HR 0033 of 2011,House Resolution,"A resolution to declare February 28, 2011, as Rare Disease Day in the state of Michigan.Last Action: adopted"
HR 0034 of 2011,House Resolution,"A resolution to urge the President and Congress of the United States to maintain federal funding for the Low Income Home Energy Assistance Program.

Last Action: referred to Committee on Energy and Technology"
SR 0034 of 2011,Senate Resolution,A resolution to memorialize the United States Congress to take immediate steps to provide funding to the Drug Enforcement Agency for the cleanup of clandestine methamphetamine laboratories seized by state and local law enforcement.Last Action: PLACED ON ORDER OF RESOLUTIONS
SR 0035 of 2011,Senate Resolution,"A resolution recognizing April 19, 2011, as McDonald's National Hiring Day.Last Action: ADOPTED"
HR 0035 of 2011,House Resolution,"A resolution to declare March 2011 as Emergency Services Month in the state of Michigan.
Last Action: adopted"
HR 0036 of 2011,House Resolution,"A resolution to memorialize Congress to maintain funding for the Great Lakes Restoration Initiative.

Last Action: referred to Committee on Natural Resources, Tourism, and Outdoor Recreation"
SR 0036 of 2011,Senate Resolution,"A resolution to commemorate the sesquicentennial of Michigan's participation in the American Civil War on behalf of the Union, democracy, freedom, and human rights.Last Action: ADOPTED"
SR 0037 of 2011,Senate Resolution,A resolution designating April 2011 as Michigan Student Athlete Cardiac Awareness Month.Last Action: ADOPTED
HR 0037 of 2011,House Resolution,"A resolution to declare March 2011 as Reading Month in the state of Michigan.
Last Action: adopted"
HR 0038 of 2011,House Resolution,A resolution to declare March 2011 as Parenting Awareness Month in the state of Michigan.Last Action: adopted
SR 0038 of 2011,Senate Resolution,"A resolution to recognize May 12, 2011, as Fibromyalgia Awareness Day.Last Action: ADOPTED"
SR 0039 of 2011,Senate Resolution,A resolution to memorialize the Congress of the United States to remove gray wolves in Michigan from the federal endangered species list and to amend the Endangered Species Act to prevent similar future situations.Last Action: ADOPTED
HR 0039 of 2011,House Resolution,A resolution to declare March 2011 as Social Work Month in the state of Michigan.Last Action: adopted
HR 0040 of 2011,House Resolution,"A resolution to memorialize the United States Congress to safeguard the Environmental Protection Agency’s authority under the Clean Air Act to fight harmful emissions as directed by the United States Supreme Court and to protect American citizens from the damaging health effects of pollution.

Last Action: referred to Committee on Energy and Technology"
SR 0040 of 2011,Senate Resolution,"A resolution proclaiming the week of April 11-15, 2011, as Graduate Education Week in the state of Michigan.Last Action: ADOPTED"
SR 0041 of 2011,Senate Resolution,A resolution congratulating the Michigan Association of Retired School Personnel (MARSP) upon the celebration of their 60th Anniversary.Last Action: ADOPTED
HR 0041 of 2011,House Resolution,"A resolution to urge the city of Detroit and the Detroit Fire Department to bring its fire service delivery to correct staffing levels and response times and to provide necessary equipment to fire fighters.

Last Action: referred to Committee on Local, Intergovernmental, and Regional Affairs"
HR 0042 of 2011,House Resolution,"A resolution to declare the week of March 20 through March 26, 2011, as Home Education Week in the state of Michigan.Last Action: adopted"
SR 0042 of 2011,Senate Resolution,"A resolution to memorialize the Congress of the United States to provide full funding for the F-35 Joint Strike Fighter.Last Action: REFERRED TO COMMITTEE ON VETERANS, MILITARY AFFAIRS AND HOMELAND SECURITY"
SR 0043 of 2011,Senate Resolution,"A resolution to memorialize the Congress of the United States to allow homeowners in newly identified flood areas to opt out, without penalty, of purchasing flood insurance.Last Action: REFERRED TO COMMITTEE ON INSURANCE"
HR 0043 of 2011,House Resolution,"A resolution to declare March 15, 2011, as Agriculture Day in the state of Michigan.Last Action: adopted"
HR 0044 of 2011,House Resolution,"A resolution to declare June 8, 2011, as Remember The USS Liberty Day in the state of Michigan.Last Action: referred to Committee on Military and Veterans Affairs and Homeland Security"
SR 0044 of 2011,Senate Resolution,"A resolution in support and recognition of National Train Day on May 7, 2011.Last Action: ADOPTED"
SR 0045 of 2011,Senate Resolution,"A resolution to declare May 3, 2011, as Patriot Flag Day in the state of Michigan.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
HR 0045 of 2011,House Resolution,"A resolution to urge the Federal Energy Regulatory Commission to grant a rehearing and modify its December 16, 2010 order approving the Midwest Independent Transmission System Operator's cost allocation proposal to socialize transmissions costs.

Last Action: referred to Committee on Energy and Technology"
HR 0046 of 2011,House Resolution,"A resolution to declare March 14-18, 2011, as Multiple Sclerosis Awareness Week in the state of Michigan.
Last Action: adopted"
SR 0046 of 2011,Senate Resolution,"A resolution recognizing May 1-7, 2011, as Michigan Charter Schools Week.Last Action: ADOPTED"
SR 0047 of 2011,Senate Resolution,A resolution to declare May 2011 as Postpartum Depression Awareness Month in the state of Michigan.Last Action: ADOPTED
HR 0047 of 2011,House Resolution,A resolution to declare May 2011 as Motorcycle Safety Awareness Month in the state of Michigan.Last Action: adopted
HR 0048 of 2011,House Resolution,"A resolution to memorialize the Congress of the United States to remove gray wolves in Michigan from the federal endangered species list and to amend the Endangered Species Act to prevent similar future situations.

Last Action: adopted"
SR 0048 of 2011,Senate Resolution,"A resolution proclaiming May 9-13, 2011, as InfantSEE® Week in Michigan.Last Action: ADOPTED"
SR 0049 of 2011,Senate Resolution,A resolution declaring May 2011 as Asian Pacific American Heritage Month in the state of Michigan.Last Action: ADOPTED
HR 0049 of 2011,House Resolution,"A resolution to memorialize the United States Congress to increase funding for research into the causes and treatment of autism and to improve training and support for individuals with autism and those who care for individuals with autism.

Last Action: referred to Committee on Health Policy"
HR 0050 of 2011,House Resolution,"A resolution to extend warmest wishes to Muslims in Michigan and worldwide, a joyous and meaningful observance of Ramadan and celebration of Eid al-FITR, a month of reflection and prayer.Last Action: adopted"
SR 0050 of 2011,Senate Resolution,A resolution recognizing 2011 as World Veterinary Year in Michigan.Last Action: ADOPTED
SR 0051 of 2011,Senate Resolution,"A resolution observing the National Day of Prayer on May 5, 2011.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
HR 0051 of 2011,House Resolution,"A resolution to declare the week of April 11-15, 2011, as Graduate Education Week in the state of Michigan.Last Action: adopted"
HR 0052 of 2011,House Resolution,"A resolution to declare April 12, 2011, as Pay Equity Day in the state of Michigan.Last Action: referred to Committee on Commerce"
SR 0052 of 2011,Senate Resolution,A resolution declaring May 2011 as Motorcycle Safety Awareness Month in the state of Michigan.Last Action: ADOPTED
SR 0053 of 2011,Senate Resolution,A resolution to recognize May 2011 as Lupus Awareness Month.Last Action: ADOPTED
HR 0053 of 2011,House Resolution,"A resolution to memorialize Congress and the United States Drug Enforcement Agency to make it illegal to possess, use, or sell the drugs MDPV and mephedrone.

Last Action: adopted"
HR 0054 of 2011,House Resolution,A resolution to declare April 2011 as Parkinson's Awareness Month in the state of Michigan.Last Action: adopted
SR 0054 of 2011,Senate Resolution,A resolution congratulating the Republic of China (Taiwan) on its centenary and expressing continued support of Michigan's cordial relations with Taiwan and for increasing Taiwan's international space as part of the global community.Last Action: ADOPTED
SR 0055 of 2011,Senate Resolution,"A resolution to call for the creation of a youth administration to represent the voices of young people in Michigan in the lawmaking process.

Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HR 0055 of 2011,House Resolution,A resolution to declare April 2011 as Safe Digging Month in the state of Michigan.Last Action: adopted
HR 0056 of 2011,House Resolution,"A resolution to declare April 2011 as Multiple Birth Awareness Month in the state of Michigan.
Last Action: adopted"
SR 0056 of 2011,Senate Resolution,A resolution commemorating Michigan Chaldean American Legislative Day.Last Action: ADOPTED
SR 0057 of 2011,Senate Resolution,"A resolution to memorialize the President and the United States Congress to support the continued and increased importation of oil derived from Canadian oil sands and to urge the United States Secretary of State to approve the TransCanada Keystone Coast Expansion pipeline project.

Last Action: ADOPTED"
HR 0057 of 2011,House Resolution,"A resolution to urge the Secretary of the United States Department of Health and Human Services to continue the Perinatology Research Branch facility in Detroit, Michigan.

Last Action: adopted"
HR 0058 of 2011,House Resolution,A resolution to declare April 2011 as Student Athlete Cardiac Awareness Month in the state of Michigan.Last Action: adopted
SR 0058 of 2011,Senate Resolution,"A resolution commemorating June 11-19, 2011, as Aquatic Invasive Species Awareness Week in Michigan.Last Action: ADOPTED"
SR 0059 of 2011,Senate Resolution,"A resolution to memorialize Congress to modernize the Toxic Substances Control Act (TSCA).

Last Action: ADOPTED"
HR 0059 of 2011,House Resolution,A resolution to declare April 2011 as Youth Financial Literacy Month in the state of Michigan.Last Action: adopted
HR 0060 of 2011,House Resolution,A resolution to declare April 2011 as Arab-American Heritage Month in the state of Michigan.Last Action: adopted
SR 0060 of 2011,Senate Resolution,"A resolution commemorating June 22, 2011, as Dairy Foods Awareness Day in the state of Michigan.Last Action: ADOPTED"
SR 0061 of 2011,Senate Resolution,A resolution to declare July 2011 as Parks and Recreation Month in the state of Michigan.Last Action: ADOPTED
HR 0061 of 2011,House Resolution,"A resolution to declare May 1, 2011, as Law Day in the state of Michigan.Last Action: adopted"
HR 0062 of 2011,House Resolution,"A resolution to memorialize the Congress of the United States to abolish the National Flood Insurance Program.

Last Action: adopted"
SR 0062 of 2011,Senate Resolution,"A resolution to denounce the federal budget proposal introduced by Congressman Paul Ryan that attacks Medicare and Medicaid and puts at risk the health and well-being of the next generation of senior citizens in Michigan and across America; and to memorialize the Congress and the President of the United States to oppose any action that would eliminate traditional Medicare or convert Medicaid to a block grant program.
Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
SR 0063 of 2011,Senate Resolution,A resolution to memorialize the Congress of the United States to make significant reforms to the National Flood Insurance Program.Last Action: REFERRED TO COMMITTEE ON INSURANCE
HR 0063 of 2011,House Resolution,A resolution to declare April 2011 as Donate Life Month in the state of Michigan.Last Action: adopted
HR 0064 of 2011,House Resolution,"A resolution to declare April 30, 2011, as Prescription Drug Take Back Day in the state of Michigan.Last Action: adopted"
SR 0064 of 2011,Senate Resolution,A resolution to declare August 2011 as Camping and Recreational Vehicle Month in the state of Michigan.Last Action: ADOPTED
SR 0065 of 2011,Senate Resolution,"A resolution to urge Michigan's public universities to adopt policies to protect the rights of students in counseling, social work, or psychology programs who are faced with situations that conflict with their religious beliefs.

Last Action: REFERRED TO COMMITTEE ON EDUCATION"
HR 0065 of 2011,House Resolution,"A resolution to declare the week of April 18-24, 2011, as Screen-Free Week in the state of Michigan.Last Action: adopted"
HR 0066 of 2011,House Resolution,A resolution to declare May 2011 as Asian Pacific Heritage Month in the state of Michigan.Last Action: adopted
SR 0066 of 2011,Senate Resolution,"A resolution to memorialize the President and the United States Congress to enact legislation protecting the rights of conscience of students seeking counseling degrees and licensed professional counselors.

Last Action: REFERRED TO COMMITTEE ON EDUCATION"
SR 0067 of 2011,Senate Resolution,A resolution to urge the Secretary of the United States Department of Health and Human Services to continue the Perinatology Research Branch facility in Detroit.Last Action: ADOPTED
HR 0067 of 2011,House Resolution,"A resolution to declare the week of May 1 through May 7, 2011, as Teacher Appreciation Week in the state of Michigan.Last Action: adopted"
HR 0068 of 2011,House Resolution,A resolution to declare May 2011 as Mental Health Month in the state of Michigan.Last Action: adopted
SR 0068 of 2011,Senate Resolution,A resolution of tribute offered to honor Monica Martinez upon the completion of her term on the Michigan Public Service Commission.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS
SR 0069 of 2011,Senate Resolution,"A resolution to memorialize Congress and the United States Department of Agriculture to expedite the rulemaking process with regard to certain elements of the Supplemental Nutrition Assistance Program.

Last Action: REFERRED TO COMMITTEE ON FAMILIES, SENIORS AND HUMAN SERVICES"
HR 0069 of 2011,House Resolution,"A resolution to declare April 28, 2011, as Community College Day in the state of Michigan.Last Action: adopted"
HR 0070 of 2011,House Resolution,A resolution to declare April 2011 as Esophageal Cancer Awareness Month in the state of  Michigan.Last Action: adopted
SR 0070 of 2011,Senate Resolution,"A resolution proclaiming July 11, 2011, as Srebrenica Remembrance Day in the state of Michigan and the week of July 11, 2011, as Bosnia and Herzegovina Tribute Week.Last Action: ADOPTED"
SR 0071 of 2011,Senate Resolution,A resolution designating July 2011 as Michigan Craft Beer Month and commending the Michigan craft brewers.Last Action: ADOPTED
HR 0071 of 2011,House Resolution,"A resolution to declare May 3, 2011, as Patriot Flag Day in the state of Michigan.Last Action: adopted"
HR 0072 of 2011,House Resolution,"A resolution to declare the week of May 9 through May 13, 2011, as InfantSee Week in the state of Michigan.Last Action: adopted"
SR 0072 of 2011,Senate Resolution,"A resolution memorializing the life of Betty Ford, former First Lady.
Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
SR 0073 of 2011,Senate Resolution,"A resolution to commemorate August 2011 as Automotive Heritage Month in the state of Michigan.
Last Action: ADOPTED"
HR 0073 of 2011,House Resolution,"A resolution to declare the week of May 8 through May 14, 2011, as Food Allergy Awareness Week in the state of Michigan.Last Action: adopted"
HR 0074 of 2011,House Resolution,"A resolution to declare May 1-8, 2011, as Holocaust Remembrance Week in the state of Michigan.Last Action: adopted"
SR 0074 of 2011,Senate Resolution,"A resolution to urge school districts and communities to have automated external defibrillator devices present at all athletic and community-sponsored events.
Last Action: REFERRED TO COMMITTEE ON EDUCATION"
SR 0075 of 2011,Senate Resolution,A resolution to observe September 2011 as National Recovery Month in the state of Michigan.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
HR 0075 of 2011,House Resolution,"A resolution to express opposition to the federal government withholding road funding to the states based on passage of the Safe Teen and Novice Driver Uniform Protection Act (STAND UP Act).

Last Action: adopted"
HR 0076 of 2011,House Resolution,A resolution to declare May 2011 as Lupus Awareness Month in the state of Michigan.Last Action: adopted
SR 0076 of 2011,Senate Resolution,"A resolution designating September 11-17, 2011, as Michigan Patriot Week.Last Action:  ROLL CALL # 474 YEAS 37 NAYS 0 EXCUSED 1 NOT VOTING 0"
SR 0077 of 2011,Senate Resolution,A resolution to recognize October 2011 as Filipino American Heritage Month in the state of Michigan.Last Action: ADOPTED
HR 0077 of 2011,House Resolution,A resolution to declare May 2011 as Bike Month in the state of Michigan.Last Action: adopted
HR 0078 of 2011,House Resolution,"A resolution to declare May 1-7, 2011, as Charter Schools Week in the state of Michigan.Last Action: referred to Committee on Education"
SR 0078 of 2011,Senate Resolution,A resolution to observe September 2011 as National Recovery Month in the state of Michigan.Last Action: ADOPTED
SR 0079 of 2011,Senate Resolution,A resolution recognizing Ford Motor Company being honored as a recipient of the 2011 Secretary of Defense Employer Support Freedom Award.Last Action: ADOPTED
HR 0079 of 2011,House Resolution,"A resolution to declare May 7, 2011, as Train Day in the state of Michigan.Last Action: adopted"
HR 0080 of 2011,House Resolution,"A resolution to memorialize Congress to allow states to opt out of levying the federal excise tax on gasoline in their state if they agree to increase their own gasoline excise tax by the same amount and constitutionally dedicate it fully to transportation needs.
Last Action: referred to Committee on Transportation"
SR 0080 of 2011,Senate Resolution,A resolution designating October 2011 as Breast Cancer Awareness Month in the state of Michigan.Last Action: ADOPTED
SR 0081 of 2011,Senate Resolution,A resolution to amend the Standing Rules of the Senate.Last Action: ADOPTED
HR 0081 of 2011,House Resolution,A resolution to declare May 2011 as Amyotrophic Lateral Sclerosis Awareness Month in the state of Michigan.Last Action: adopted
HR 0082 of 2011,House Resolution,"A resolution to declare May 28, 2011, as Chaldean American Day in the state of Michigan.Last Action: adopted"
SR 0082 of 2011,Senate Resolution,"A resolution recognizing October 17-21, 2011, as Turn Up the H.E.A.T. Week in the state of Michigan.Last Action: ADOPTED"
SR 0083 of 2011,Senate Resolution,"A resolution to memorialize Congress to adopt legislation expressing the sense that national health care reform should ensure that the health care needs of women in the United States are met.

Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY"
HR 0083 of 2011,House Resolution,"A resolution to memorialize Congress and the President to pursue all measures to provide relief from escalating gasoline prices, including increasing domestic oil drilling.

Last Action: referred to Committee on Energy and Technology"
HR 0084 of 2011,House Resolution,A resolution to recognize the Children's Trust Fund and the Pam Posthumus Signature Auction Event for their efforts to prevent child abuse and neglect in the state of Michigan.Last Action: adopted
SR 0084 of 2011,Senate Resolution,"A resolution to express the sense of this legislative body that the state of Michigan should intensify its efforts to reduce the high rates of teen pregnancies.

Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY"
SR 0085 of 2011,Senate Resolution,"A resolution to memorialize the Congress of the United States to ensure that Fannie Mae and Freddie Mac are regulated in a manner that parallels the regulations governing other financial institutions.

Last Action: PLACED ON ORDER OF RESOLUTIONS"
HR 0085 of 2011,House Resolution,A resolution to recognize the Republic of China (Taiwan) on its centenary.Last Action: adopted
HR 0086 of 2011,House Resolution,"A resolution to declare May 12, 2011, as Nurses Day in the state of Michigan.Last Action: adopted"
SR 0086 of 2011,Senate Resolution,"A resolution to declare October 16-22, 2011, as Credit Union Week in the state of Michigan.Last Action: ADOPTED"
SR 0087 of 2011,Senate Resolution,"A resolution to recognize October 17, 2011, as Young Marines Day in the state of Michigan.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
HR 0087 of 2011,House Resolution,"A resolution to urge the Environmental Protection Agency to allow proven bioreactor technologies, which can use liquid wastes to enhance methane generation at active and closed landfills, to move from Research, Development and Demonstration Project status to designation as full-scale permitted operations to support waste-to-energy facilities.

Last Action: referred to Committee on Energy and Technology"
