Document,Type,Description
SR 0001 of 2011,Senate Resolution,A resolution notifying the Governor and the House of Representatives that the Senate is ready to proceed with the business of the session.Last Action: ADOPTED
HR 0001 of 2011,House Resolution,A resolution prescribing the Standing Rules of the House of Representatives.Last Action: adopted
HR 0002 of 2011,House Resolution,A resolution to provide for the Clerk of the House of Representatives for the Ninety-sixth Legislature.Last Action: adopted
SR 0002 of 2011,Senate Resolution,A resolution for the adoption of the Standing Rules of the Senate.Last Action: ADOPTED
SR 0003 of 2011,Senate Resolution,A resolution to decry the recent shooting in Tucson and to express the hope that this tragedy can unify our country.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS
HR 0003 of 2011,House Resolution,A resolution fixing the hour for daily sessions.Last Action: adopted
HR 0004 of 2011,House Resolution,A resolution directing the Clerk to notify the Governor that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted
SR 0004 of 2011,Senate Resolution,"A resolution proclaiming February 3, 2011, as Go Red for Women Day.Last Action:  ROLL CALL # 6 YEAS 38 NAYS 0 EXCUSED 0 NOT VOTING 0"
SR 0005 of 2011,Senate Resolution,A resolution to recognize February 2011 as Heart Health Awareness Month.Last Action: ADOPTED
HR 0005 of 2011,House Resolution,A resolution directing the Clerk to notify the Senate that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted
HR 0006 of 2011,House Resolution,A resolution to declare January 2011 as School Board Month in the state of Michigan.Last Action: adopted
SR 0006 of 2011,Senate Resolution,A resolution to express opposition to the imposition of a ban of firearm hunting and snowmobiling in certain areas of the Huron-Manistee National Forest.Last Action:  ROLL CALL # 18 YEAS 38 NAYS 0 EXCUSED 0 NOT VOTING 0
SR 0007 of 2011,Senate Resolution,"A resolution to express support for the Attorney General's efforts to accelerate federal government efforts to devise a plan to prevent Asian carp from invading the Great Lakes, to express support for the Snyder Administration's efforts to prevent Asian carp from invading the Great Lakes, and to call on the Obama Administration to take all necessary actions to prevent the invasion.Last Action: ADOPTED AS SUBSTITUTED S-1"
HR 0007 of 2011,House Resolution,"A resolution of tribute offered as a memorial for Kate Ebli, former member of the House of Representatives.

Last Action: adopted by unanimous standing vote"
HR 0008 of 2011,House Resolution,A resolution to declare January 2011 as Radon Action Month in the state of Michigan.Last Action: adopted
SR 0008 of 2011,Senate Resolution,"A resolution recognizing January 30 - February 5, 2011, as Catholic Schools Week in the state of Michigan.Last Action: ADOPTED"
SR 0009 of 2011,Senate Resolution,"A resolution to recognize the Peace Corps on the occasion of its 50th Anniversary on March 1, 2011.Last Action: ADOPTED"
HR 0009 of 2011,House Resolution,A resolution to declare January 2011 as Mentoring Month in the state of Michigan.Last Action: adopted
HR 0010 of 2011,House Resolution,"A resolution to call upon the Governor to work to impose an immediate freeze on all state employee compensation, including all wages, for a period of 3 years.

Last Action: referred to Committee on Government Operations"
SR 0010 of 2011,Senate Resolution,"A resolution to memorialize the United States Congress to take immediate steps to impose a moratorium on greenhouse gas, air quality, and other regulatory actions by the Environmental Protection Agency.Last Action: ADOPTED AS SUBSTITUTED S-1"
SR 0011 of 2011,Senate Resolution,"A resolution to proclaim February 7-14, 2011, as Congenital Heart Defect Awareness Week in the state of Michigan.Last Action: ADOPTED"
HR 0011 of 2011,House Resolution,"A resolution to call upon the Governor to impose an immediate hiring freeze within state government.

Last Action: referred to Committee on Government Operations"
HR 0012 of 2011,House Resolution,"A resolution to call on the Governor to instruct all state departments to identify areas to reduce spending by 15 percent.

Last Action: referred to Committee on Government Operations"
SR 0012 of 2011,Senate Resolution,"A resolution honoring Brad Keselowski, winner of the 2010 NASCAR Nationwide Series Championship.Last Action: ADOPTED"
SR 0013 of 2011,Senate Resolution,"A resolution declaring February 11, 2011, as White Shirt Day in the state of Michigan.Last Action: ADOPTED"
HR 0013 of 2011,House Resolution,"A resolution to declare January 30-February 5, 2011, as Catholic Schools Week in the state of Michigan.Last Action: adopted"
HR 0014 of 2011,House Resolution,"A resolution to express support for the Attorney General's efforts to accelerate federal government efforts to devise a plan to prevent Asian carp from invading the Great Lakes and to call on the Snyder administration and the Obama administration to take all necessary actions to prevent the invasion.

Last Action: adopted"
SR 0014 of 2011,Senate Resolution,A resolution to memorialize Congress to take steps to ensure that the Wall Street Reform and Consumer Protection Act does not result in increased fees on consumers at exempted institutions.Last Action: ADOPTED
SR 0015 of 2011,Senate Resolution,A resolution commemorating March 2011 as Ethnic and Cultural Heritage Month in the state of Michigan.Last Action: ADOPTED
HR 0015 of 2011,House Resolution,"A resolution to urge the Congress of the United States to make every effort to expedite and fund the Great Lakes and Mississippi River Basin Interbasin Study and to ensure Asian carp do not invade the Great Lakes.

Last Action: adopted"
HR 0016 of 2011,House Resolution,"A resolution to urge the U.S. Congress and the U.S. Army Corps of Engineers to take immediate actions to prevent the Asian carp from entering the Great Lakes and to develop long-term strategies to address this problem.

Last Action: adopted"
SR 0016 of 2011,Senate Resolution,"A resolution to declare February 24, 2011, as Conductive Education Day in the state of Michigan.Last Action: ADOPTED"
SR 0017 of 2011,Senate Resolution,"A resolution to proclaim March 7-13, 2011, as Sleep Awareness Week in the state of Michigan.Last Action: ADOPTED"
HR 0017 of 2011,House Resolution,"A resolution to express opposition to the possible ban of firearm hunting and snowmobiling in certain areas of the Huron-Manistee National Forest.

Last Action: adopted"
HR 0018 of 2011,House Resolution,"A resolution to declare February 6, 2011, as Ronald Reagan Day in the state of Michigan.Last Action: adopted"
SR 0018 of 2011,Senate Resolution,"A resolution recognizing February 27 - March 5, 2011, as Michigan Aviation Week.Last Action: ADOPTED"
SR 0019 of 2011,Senate Resolution,"A resolution to express opposition to the President's proposal to make major cuts to funding for the Great Lakes Restoration Initiative and to memorialize the U.S. Congress to reject the reductions.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES, ENVIRONMENT AND GREAT LAKES"
HR 0019 of 2011,House Resolution,"A resolution to memorialize the United States Congress to take immediate steps to impose a moratorium on greenhouse gas, air quality, and other regulatory actions by the Environmental Protection Agency.

Last Action:  Roll Call # 25 Yeas 65 Nays 44"
HR 0020 of 2011,House Resolution,"A resolution to declare February 24, 2011, as Conductive Education Day in the state of Michigan.
Last Action: adopted"
SR 0020 of 2011,Senate Resolution,"A resolution proclaiming March 6-12, 2011, as School Social Work Week.Last Action: ADOPTED"
SR 0021 of 2011,Senate Resolution,A resolution memorializing the life of Corporal Matthew T. Bolar.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS
HR 0021 of 2011,House Resolution,"A resolution to memorialize Congress to take steps to insure that the Wall Street Reform and Consumer Protection Act does not result in increased fees on consumers at exempted institutions.

Last Action: adopted"
HR 0022 of 2011,House Resolution,"A resolution to declare February 7-11, 2011, as School Counseling Week in the state of Michigan.
Last Action: adopted"
SR 0022 of 2011,Senate Resolution,"A resolution recognizing March 16, 2011, as Susan G. Komen for the Cure Advocacy Day.Last Action: ADOPTED"
SR 0023 of 2011,Senate Resolution,"A resolution to declare March 14-18, 2011, as Multiple Sclerosis Awareness Week in the state of Michigan.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
HR 0023 of 2011,House Resolution,"A resolution to declare February 2011 as Heart Health Awareness Month in the state of Michigan.
Last Action: adopted"
HR 0024 of 2011,House Resolution,"A resolution to declare February 14-18, 2011, as School Principals Week in the state of Michigan.Last Action: adopted"
SR 0024 of 2011,Senate Resolution,"A resolution to memorialize Congress and the United States Drug Enforcement Agency to make it illegal to possess, use, or sell the drugs MDPV and mephedrone.Last Action: ADOPTED"
SR 0025 of 2011,Senate Resolution,"A resolution proclaiming June 20-26, 2011, as Michigan Pollinator Week.Last Action: ADOPTED"
HR 0025 of 2011,House Resolution,"A resolution to memorialize Congress to amend the Patient Protection and Affordable Care Act to reinstate the use of tax-favored health plans to cover the costs of purchasing over-the-counter pharmaceuticals.

Last Action: referred to Committee on Health Policy"
HR 0026 of 2011,House Resolution,"A resolution to declare February 2011 as Childhood Health, Wellness, and Fitness Awareness Month in the state of Michigan.Last Action: adopted"
SR 0026 of 2011,Senate Resolution,A resolution to recognize and honor all American service personnel who honorably served our country during World War I.Last Action: ADOPTED
SR 0027 of 2011,Senate Resolution,A resolution to urge the President of the United States to impose a moratorium on any new regulations and to memorialize the Congress of the United States enact the Regulations from the Executive in Need of Scrutiny (REINS) Act.Last Action: ADOPTED
