Document,Type,Description
SCR 0001 of 2025,Senate Concurrent Resolution,A concurrent resolution granting authority for adjournment for more than 2 days.Last Action: REFERRED TO SECRETARY FOR RECORD
SCR 0002 of 2025,Senate Concurrent Resolution,A concurrent resolution providing for a joint convention of the Senate and House of Representatives.Last Action: received in House
SCR 0003 of 2025,Senate Concurrent Resolution,A concurrent resolution prescribing the Joint Convention Rules for the Legislature.Last Action: received in House
