Document,Type,Description
HJR A of 2013,House Joint Resolution,"Legislature; legislators; health care benefits for legislators; modify, and modify salaries and expense allowances of members of the legislature. Amends sec. 12, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: printed joint resolution filed 01/10/2013"
SJR A of 2013,Senate Joint Resolution,"Sales tax; rate; increase of sales tax; provide for and revise distribution. Amends sec. 8, art. IX of the state constitution.Last Action: RECONSIDER VOTE POSTPONED"
SJR B of 2013,Senate Joint Resolution,"Legislature; other; time period that legislature may meet; limit. Amends sec. 13, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HJR B of 2013,House Joint Resolution,"Individual income tax; rate; graduated income tax; provide for. Amends sec. 7, art. IX  of the state constitution.Last Action: printed joint resolution filed 01/23/2013"
SJR C of 2013,Senate Joint Resolution,"Legislature; other; appropriation bills subject to referendum; clarify. Amends sec. 9, art. II of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HJR C of 2013,House Joint Resolution,"Constitutional amendments; state; equal amount of per pupil funding for all local school districts; ensure by certain date. Amends sec. 11, art. IX of the state constitution.Last Action: printed joint resolution filed 01/30/2013"
HJR D of 2013,House Joint Resolution,"Legislature; legislators; part-time legislature, reduction of legislators' salaries and certain health care benefits and reduced compensation for absences from legislative session, and limit on legislative budget; provide for. Amends secs. 12 & 13, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: printed joint resolution filed 01/31/2013"
SJR D of 2013,Senate Joint Resolution,"Legislature; other; budget process; require legislature to present all general appropriation bills to the governor 90 days before the start of a fiscal period and require forfeiture of certain legislators' salaries for failure to present those bills by that date. Amends sec. 31, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON REFORMS, RESTRUCTURING AND REINVENTING"
SJR E of 2013,Senate Joint Resolution,"Legislature; sessions; part-time legislature; provide for. Amends sec. 13, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON REFORMS, RESTRUCTURING AND REINVENTING"
HJR E of 2013,House Joint Resolution,"Legislature; other; appropriation bills subject to referendum; modify. Amends sec. 9, art. II of the state constitution.Last Action: printed joint resolution filed 01/31/2013"
HJR F of 2013,House Joint Resolution,"Legislature; legislators; part-time legislature; reduction of legislator's salaries and reduced compensation for absences from legislative session; provide for. Amends secs. 12 & 13, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: printed joint resolution filed 02/06/2013"
SJR F of 2013,Senate Joint Resolution,"Courts; judges; election of or appointment to a judicial office of person who has reached 70 years of age; remove prohibition. Amends sec. 19, art. VI of the state constitution.Last Action: REFERRED TO COMMITTEE OF THE WHOLE"
SJR G of 2013,Senate Joint Resolution,"Public employees and officers; other; constitutional amendment creating the independent redistricting commission; provide for. Amends secs. 2, 3 & 6, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HJR G of 2013,House Joint Resolution,"Public employees and officers; compensation and benefits; salary for governor when annual income outside of state government exceeds $1,000,000.00; eliminate. Amends sec. 12, art. IV of the state constitution.Last Action: printed joint resolution filed 02/06/2013"
HJR H of 2013,House Joint Resolution,"Legislature; legislators; reduction of legislators' salary; provide for. Amends secs. 12, art. IV of the state constitution.Last Action: printed joint resolution filed 02/06/2013"
SJR H of 2013,Senate Joint Resolution,"Constitutional amendments; state; permissible uses of school aid funds; revise. Amends sec. 11, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
SJR I of 2013,Senate Joint Resolution,"Constitutional amendments; state; equal amount of per pupil funding for all local school districts; ensure by certain date. Amends sec. 11, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
HJR I of 2013,House Joint Resolution,"Legislature; apportionment; redistricting; create a legislative and congressional redistricting commission. Amends secs. 2, 3 & 6, art. IV of the state constitution.Last Action: printed joint resolution filed 02/07/2013"
HJR J of 2013,House Joint Resolution,"Legislature; legislative agencies; fiscal impact statement; prohibit bill from being considered until house and senate fiscal agencies have prepared. Amends sec. 26, art. IV of the state constitution.Last Action: printed joint resolution filed 02/07/2013"
SJR J of 2013,Senate Joint Resolution,"Sales tax; rate; increase in sales tax and use tax; provide for, and revise distribution. Amends secs. 8 & 40, art. IX of the state constitution.Last Action: PLACED ON ORDER OF GENERAL ORDERS"
SJR K of 2013,Senate Joint Resolution,"Human services; services or financial assistance; illegal aliens collecting public assistance; prohibit. Amends the state constitution by adding sec. 28 to art. I.Last Action: REFERRED TO COMMITTEE ON FAMILIES, SENIORS AND HUMAN SERVICES"
HJR K of 2013,House Joint Resolution,"Natural resources; hunting; constitutional right to hunt, trap, and fish; provide for. Amends the state constitution by adding sec. 28 to art. I.Last Action: printed joint resolution filed 02/13/2013"
HJR L of 2013,House Joint Resolution,"Higher education; state universities; in-state tuition rates for active service and reserve members and honorably discharged veterans; provide for. Amends secs. 5 & 6, art. VIII of the state constitution.Last Action: printed joint resolution filed 03/01/2013"
SJR L of 2013,Senate Joint Resolution,"Legislature; other; time period that legislature may meet and when governor may call extraordinary sessions; limit. Amends sec. 13, art. IV & adds sec. 15, to art. V of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SJR M of 2013,Senate Joint Resolution,"Taxation; other; constitutional amendment for 4-year sunset on bills that increase or create new tax exemptions or credits; require. Amends sec. 26, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON FINANCE"
HJR M of 2013,House Joint Resolution,"Higher education; community colleges; in-district tuition rates for active service and reserve members and honorably discharged veterans; provide for. Amends sec. 7, art. VIII of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
HJR N of 2013,House Joint Resolution,"Higher education; tuition; public universities to offer in-state tuition to certain veterans; require. Amends secs. 5 & 6, art. VIII of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
SJR N of 2013,Senate Joint Resolution,"Legislature; legislators; term limits; revise to combination of 12 years' total legislative service. Amends sec. 54, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SJR O of 2013,Senate Joint Resolution,"Labor; civil service employment; maximum number of unclassified employees; increase. Amends sec. 5, art. XI of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HJR O of 2013,House Joint Resolution,Campaign finance; public disclosure; accountability and disclosure of corporate political and lobbying activities; include. Amends the state constitution by adding sec. 11 to art. II.Last Action: printed joint resolution filed 03/13/2013
HJR P of 2013,House Joint Resolution,"Elections; candidates; residency requirement for state senate and state representative candidates; modify. Amends sec. 7, art. IV of the state constitution.Last Action: printed joint resolution filed 03/13/2013"
SJR P of 2013,Senate Joint Resolution,Elections; other; election of presidential electors; establish constitutionally. Amends state constitution by adding sec. 11 to art. II.Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT AND ELECTIONS
SJR Q of 2013,Senate Joint Resolution,"Constitutional amendments; state; Michigan natural resources trust fund; modify allowable expenditures. Amends sec. 35, art. IX, of the state constitution.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES, ENVIRONMENT AND GREAT LAKES"
