Document,Type,Description
HJR Q of 2013,House Joint Resolution,"State financing and management; funds; appropriation bills subject to referendum; clarify. Amends sec. 9, art. II  of the state constitution.Last Action: printed joint resolution filed 04/10/2013"
HJR R of 2013,House Joint Resolution,Legislature; legislators; reduced compensation of legislators who have a certain number of unexcused absences from legislative session; provide for. Amends the state constitution by adding sec. 55 to art. IV.Last Action: printed joint resolution filed 04/10/2013
SJR R of 2013,Senate Joint Resolution,"Constitutional amendments; state; operation of public school on for-profit basis; prohibit in state constitution. Amends sec. 2, art. VIII of the state constitution.Last Action: REFERRED TO COMMITTEE ON EDUCATION"
SJR S of 2013,Senate Joint Resolution,"Natural resources; hunting; right to hunt, trap, and fish; recognize in constitution. Amends the state constitution by adding sec. 28 to art. I.Last Action: referred to Committee on Natural Resources"
HJR S of 2013,House Joint Resolution,"Legislature; legislators; term limits; revise, and impose 2-year moratorium on lobbying for legislators. Amends sec. 54, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: printed joint resolution filed 05/01/2013"
HJR T of 2013,House Joint Resolution,"Legislature; apportionment; independent citizens redistricting commission; create. Amends secs. 2, 3 & 6, art. IV of the state constitution.Last Action: printed joint resolution filed 06/12/2013"
SJR T of 2013,Senate Joint Resolution,"Public employees and officers; state; insurance commissioner; establish as elected head of a principal department. Amends sec. 12, art. IV & secs. 3, 21, 23 & 30, art. V of the state constitution.Last Action: REFERRED TO COMMITTEE ON INSURANCE"
SJR U of 2013,Senate Joint Resolution,"Constitutional amendments; state; permissible uses of state school aid fund; revise. Amends sec. 11, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON EDUCATION"
HJR U of 2013,House Joint Resolution,"Legislature; legislators; term limits; modify. Amends sec. 54, art. IV of the state constitution.Last Action: printed joint resolution filed 06/13/2013"
HJR V of 2013,House Joint Resolution,"Family law; marriage and divorce; constitutional prohibition of same-sex marriage and civil unions; repeal. Repeals sec. 25, art. I of the state constitution.Last Action: printed joint resolution filed 07/19/2013"
SJR V of 2013,Senate Joint Resolution,Legislature; other; federal balanced budget amendment; petition congress. Petitions congress to propose amendment to constitution of the United States.Last Action: FILED WITH SECRETARY OF STATE 3/31/2014 @ 4:15 PM
SJR W of 2013,Senate Joint Resolution,"Family law; marriage and divorce; constitutional prohibition of same-sex marriage and civil unions; repeal. Repeals sec. 25, art. I of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HJR W of 2013,House Joint Resolution,"Sales tax; rate; sales tax increase; provide for, and earmark additional revenue into a postsecondary education fund. Adds sec. 10 to art. VIII & amends sec. 8, art. IX of the state constitution.
Last Action: printed joint resolution filed 07/19/2013"
HJR X of 2013,House Joint Resolution,"Elections; scheduling; election of state senator or state representative if a major political party candidate vacancy occurs before the general November election; revise. Amends sec. 5, art. II, secs. 2 & 3, art. IV & sec. 2, art. XI of the state constitution.Last Action: printed joint resolution filed 09/05/2013"
SJR X of 2013,Senate Joint Resolution,"Legislature; other; 2/3 majority vote for passage of a law that is the same or similar to a law rejected by a referendum; require. Amends sec. 9, art. II of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SJR Y of 2013,Senate Joint Resolution,Labor; collective bargaining; constitutional right to collective bargaining; create. Amends the state constitution by adding sec. 28 to art. XI.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
HJR Y of 2013,House Joint Resolution,"Property tax; assessments; limitation on taxable value based on change in SEV; amend constitution to provide for. Amends sec. 3, art. IX of the state constitution.Last Action: printed joint resolution filed 09/18/2013"
HJR Z of 2013,House Joint Resolution,"Constitutional amendments; state; permissible uses of state school aid fund; revise. Amends sec. 11, art. IX of the state constitution.Last Action: printed joint resolution filed 09/18/2013"
SJR Z of 2013,Senate Joint Resolution,"Individual income tax; rate; graduated state income tax; provide for. Amends sec. 7, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON FINANCE"
HJR AA of 2013,House Joint Resolution,Local government; other; donation of property that is not needed for public purposes; allow. Amends the state constitution by adding secs. 17a & 26a to art. VII.Last Action: printed joint resolution filed 12/05/2013
SJR AA of 2013,Senate Joint Resolution,"Constitutional amendments; state; permissible uses of state school aid fund under section 11 of article IX of the state constitution; revise. Amends sec. 11, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
SJR BB of 2013,Senate Joint Resolution,"Legislature; legislators; term limits for certain elected officials; revise to 14 years. Amends sec. 54, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HJR BB of 2013,House Joint Resolution,Legislature; other; constitutional amendment to restrict amount of independent political spending; petition congress to call a convention. Petitions congress to propose amendment to constitution of the United States.Last Action: printed joint resolution filed 01/09/2014
SJR CC of 2013,Senate Joint Resolution,"Legislature; other; budget process; require legislature to present and the governor to sign all general appropriation bills 30 days before the start of a fiscal period and require forfeiture of salaries of the governor, lieutenant governor, and legislators for failure to present or sign these bills by that date. Amends sec. 31, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HJR BB of 2014,House Joint Resolution,Legislature; other; constitutional amendment to restrict amount of independent political spending; petition congress to call a convention. Petitions congress to propose amendment to constitution of the United States.Last Action: printed joint resolution filed 01/09/2014
HJR CC of 2014,House Joint Resolution,Legislature; other; federal balanced budget amendment; petition congress. Petitions congress to propose amendments to constitution of the United States.Last Action: re-referred to Committee on Financial Liability Reform
HJR DD of 2014,House Joint Resolution,"Higher education; governing boards; open meetings for university boards; require, and provide for public inspection of records. Amends sec. 4, art. VIII of the state constitution.Last Action: printed joint resolution filed 03/12/2014"
SJR DD of 2014,Senate Joint Resolution,"Constitutional amendments; state; permissible uses of state school aid fund under state constitution; revise. Amends sec. 11, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
SJR EE of 2014,Senate Joint Resolution,"Legislature; other; gender neutrality in the Michigan constitution; provide for. Amends secs. 2, 4, 5, 6, 13, 17 & 18, art. I,  sec. 3, art. II, sec. 5, art. III, secs. 4, 7, 9, 18, 33 & 53,  art. IV, secs. 2, 3, 8, 10, 11, 14, 17, 22, 23, 24, 25 & 26, art. V, secs. 2, 3, 6, 11, 17, 18, 20, 21, 22 & 30, art. VI, secs. 6, 28 & 32, art. VII, secs. 3, 5 & 6, art. VIII, secs. 4, 5 & 7, art. XI & sec. 3, art. XII of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HJR EE of 2014,House Joint Resolution,"Natural resources; gas and oil; revenue from oil and gas leases on state property; dedicate portion to construction and maintenance of local roads and streets. Amends sec. 31, art. IV & secs. 35 & 35a, art. IX of the state constitution.Last Action: printed joint resolution filed 03/28/2014"
HJR FF of 2014,House Joint Resolution,"Legislature; rules; bills take effect upon the expiration of 90 days after the date they are filed with the secretary of state; provide for. Amends sec. 27, art. IV of the state constitution.Last Action: postponed for the day"
SJR FF of 2014,Senate Joint Resolution,"Sales tax; rate; rate increase; provide for, and clarify distribution. Amends sec. 8, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
SJR GG of 2014,Senate Joint Resolution,"Legislature; legislators; term limits; modify. Amends sec. 54, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE OF THE WHOLE"
HJR GG of 2014,House Joint Resolution,"Education; board members; state board of education; require members to be elected from single-member districts. Amends sec. 3, art. VIII of the state constitution.Last Action: referred to second reading"
HJR HH of 2014,House Joint Resolution,"Legislature; legislators; reduction of legislative salaries; provide for. Amends sec. 12, art.IV of the state constitution.Last Action: printed joint resolution filed 05/29/2014"
HJR II of 2014,House Joint Resolution,"Public employees and officers; state; insurance commissioner; establish as elected head of a principal department. Amends sec. 12, art. IV & secs. 3, 21, 23 & 30, art. V of the state constitution.Last Action: printed joint resolution filed 06/13/2014"
HJR JJ of 2014,House Joint Resolution,"Legislature; legislators; part-time legislature; provide for and modify the legislative process. Amends secs. 12 & 13, art. IV & repeals secs. 15, 25, 26, 28, 36 & 37, art. IV of the state constitution.Last Action: printed joint resolution filed 06/13/2014"
HJR KK of 2014,House Joint Resolution,"Legislature; sessions; unicameral nonpartisan legislature; provide for. Amends sec. 9, art. II, sec. 8, art. III, secs. 1, 7, 8, 11, 12, 14, 16, 17, 18, 19, 20, 22, 24, 26, 27, 29, 30, 31, 33, 37, 43, 53 & 54, art. IV, secs. 2, 3, 6, 7, 13, 18, 20, 25, 26, 28 & 29, art. V, secs. 1 & 25, art. VI, sec. 6, art. VIII, secs. 15 & 27, art. IX, sec. 5, art. X, secs. 5 & 7, art. XI & secs. 1 & 3, art. XII; adds sec. 1a to art. IV & a schedule and temporary provisions & repeals secs. 2, 3, 4, 6 & 21, art. IV of the state constitution.Last Action: printed joint resolution filed 06/13/2014"
HJR LL of 2014,House Joint Resolution,"Legislature; other; budget process; require legislature to present and the governor to sign all general appropriation bills 30 days before the start of a fiscal period and require forfeiture of salaries of the governor, lieutenant governor, and legislators for failure to present or sign these bills by that date. Amends sec. 31, art. IV & adds sec. 55, art. IV of the state constitution.Last Action: printed joint resolution filed 09/10/2014"
HJR MM of 2014,House Joint Resolution,"Individual income tax; rate; graduated income tax; provide for. Amends sec. 7, art. IX of the state constitution.Last Action: printed joint resolution filed 09/25/2014"
HJR NN of 2014,House Joint Resolution,Legislature; other; constitutional amendment imposing term limits on members of congress; petition congress to call a convention. Petitions congress to propose amendment to constitution of the United States.Last Action: printed joint resolution filed 10/01/2014
HJR OO of 2014,House Joint Resolution,Legislature; other; constitutional amendment to create a congressional delegation oversight committee; petition congress to call a convention. Petitions congress to propose amendment to constitution of the United States.Last Action: printed joint resolution filed 10/03/2014
HJR PP of 2014,House Joint Resolution,Legislature; other; amendment to constitution to prohibit congress from exercising certain powers; petition congress to call a convention. Petitions congress to propose amendment to constitution of the United States.Last Action: printed joint resolution filed 10/03/2014
HJR QQ of 2014,House Joint Resolution,"Transportation; funds; percentage of all transportation funds; require 10% to be used for comprehensive transportation purposes. Amends sec. 9, art. IX of the state constitution.Last Action: printed joint resolution filed 11/07/2014"
HJR RR of 2014,House Joint Resolution,"Natural resources; funding; Michigan natural resources trust fund and Michigan parks and recreation endowment fund; modify accumulated principal limitations and allowable expenditures. Amends secs. 35 & 35a, art. IX of the state constitution.Last Action: printed joint resolution filed 12/05/2014"
HJR SS of 2014,House Joint Resolution,"Education; school districts; maintenance of certain specified types of schools; require in each district and require high-quality free and safe quality public education in this state. Amends sec. 2, art. VIII of the state constitution.Last Action: printed joint resolution filed 12/22/2014"
HJR TT of 2014,House Joint Resolution,Education; financing; legislation enacting policy changes that have negative fiscal impact on public education; require to be accompanied by funding. Amends the state constitution by adding sec. 55 to art. IV.Last Action: printed joint resolution filed 12/22/2014
HJR UU of 2014,House Joint Resolution,"Sales tax; rate; rate increase; provide for. Amends secs. 8, 10 & 11, art. IX of the state constitution.Last Action: filed with Secretary of State 1/7/2015 @ 2:16 PM   2014 ADDENDA"
