doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url
19hr0013,HR 0013 of 2019,NA,NA,2019-2020,HR,NA,NA,A resolution to  commemorate in the state of Michigan January 2019 as the 90th anniversary of the birth of Dr. Martin Luther King Jr.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0013
19sr0013,SR 0013 of 2019,NA,NA,2019-2020,SR,NA,NA,"A resolution to recognize February 2019 as ""School-Based Health Care Awareness Month"".Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0013
19sr0014,SR 0014 of 2019,NA,NA,2019-2020,SR,NA,NA,A resolution to honor the life and service of Congressman John D. Dingell Jr.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0014
19hr0014,HR 0014 of 2019,NA,NA,2019-2020,HR,NA,NA,A resolution to encourage the construction of a peaking power plant in the Upper Peninsula.Last Action: referred to Committee on Energy,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0014
19hr0015,HR 0015 of 2019,NA,NA,2019-2020,HR,NA,NA,"A resolution to  recognize January 27-February 2, 2019, as Catholic Schools Week in the state of Michigan.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0015
19sr0015,SR 0015 of 2019,NA,NA,2019-2020,SR,NA,NA,"A resolution to urge the federal government to provide durable, permanent, and meaningful security at our nation's borders.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0015
19sr0016,SR 0016 of 2019,NA,NA,2019-2020,SR,NA,NA,"A resolution to request an opinion of the Supreme Court of the state of Michigan pursuant to Article III, Section 8 of the Constitution of the State of Michigan of 1963.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0016
19hr0016,HR 0016 of 2019,NA,NA,2019-2020,HR,NA,NA,A resolution to  commemorate the 100th anniversary of the founding of Michigan Farm Bureau.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0016
19hr0017,HR 0017 of 2019,NA,NA,2019-2020,HR,NA,NA,"A resolution authorizing the Speaker to act on behalf of the House of Representatives in League of Women Voters of Michigan, et al v. Jocelyn Benson.   Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0017
19sr0017,SR 0017 of 2019,NA,NA,2019-2020,SR,NA,NA,A resolution to honor the Michigan Fraternal Order of Police (FOP) on their 80th Anniversary.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0017
19sr0018,SR 0018 of 2019,NA,NA,2019-2020,SR,NA,NA,A resolution to recognize May 2019 as Stroke Awareness Month.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0018
19hr0018,HR 0018 of 2019,NA,NA,2019-2020,HR,NA,NA,A resolution to declare February 2019 as School-Based Health Care Awareness Month in the state of Michigan.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0018
19hr0019,HR 0019 of 2019,NA,NA,2019-2020,HR,NA,NA,"A resolution to declare February 11, 2019, as White Shirt Day in the state of Michigan.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0019
19sr0019,SR 0019 of 2019,NA,NA,2019-2020,SR,NA,NA,A resolution commemorating March 2019 as Problem Gambling Awareness Month.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0019
19sr0020,SR 0020 of 2019,NA,NA,2019-2020,SR,NA,NA,"A resolution to recognize myalgic encephalomyelitis as a serious, debilitating disease and urge key entities to improve patient care, prioritize new research, educate health professionals, and raise awareness about the severity of the disease.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0020
19hr0020,HR 0020 of 2019,NA,NA,2019-2020,HR,NA,NA,"A resolution to declare February 7-14, 2019, as Congenital Heart Defect Awareness Week in the state of Michigan.   Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0020
19hr0021,HR 0021 of 2019,NA,NA,2019-2020,HR,NA,NA,"A resolution to declare February 2019 as American Heart Month and February 1, 2019, as Go Red for Women Day in the state of Michigan.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0021
19sr0021,SR 0021 of 2019,NA,NA,2019-2020,SR,NA,NA,A resolution to oppose the Green New Deal as outlined in U.S. House Resolution 109 and U.S. Senate Resolution 59 and encourage our national leaders to pursue smarter evidence-based regulatory practices.Last Action: REFERRED TO COMMITTEE ON ENERGY AND TECHNOLOGY,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0021
19sr0022,SR 0022 of 2019,NA,NA,2019-2020,SR,NA,NA,A resolution to commemorate the 100th Anniversary of the American Legion.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0022
19hr0022,HR 0022 of 2019,NA,NA,2019-2020,HR,NA,NA,A resolution to  declare February 2019 as Transparency in Government Month in the state of Michigan.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0022
19hr0023,HR 0023 of 2019,NA,NA,2019-2020,HR,NA,NA,A resolution to declare this legislative body's policy to protect life by preserving legal protections for unborn children under Michigan law and to recognize that any abortion is a tragic loss of human life.   Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0023
19sr0023,SR 0023 of 2019,NA,NA,2019-2020,SR,NA,NA,"A resolution to commemorate March 15, 2019, as Biggby Coffee Day.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0023
19sr0024,SR 0024 of 2019,NA,NA,2019-2020,SR,NA,NA,A resolution to recognize March 2019 as Michigan Bleeding Disorders Awareness Month.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0024
19hr0024,HR 0024 of 2019,NA,NA,2019-2020,HR,NA,NA,"A resolution to declare February 21, 2019, as Conductive Education Day in the state of Michigan.   Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0024
19hr0025,HR 0025 of 2019,NA,NA,2019-2020,HR,NA,NA,"A resolution to request an opinion of the Supreme Court of the state of Michigan pursuant to Article III, Section 8 of the Constitution of the State of Michigan of 1963.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0025
19sr0025,SR 0025 of 2019,NA,NA,2019-2020,SR,NA,NA,A resolution to memorialize the Congress of the United States to continue full funding of the Great Lakes Restoration Initiative and to prioritize cleaning up the remaining Great Lakes areas of concern in accordance with a comprehensive strategy and schedule.Last Action: ADOPTED AS SUBSTITUTED (S-1),https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0025
19sr0026,SR 0026 of 2019,NA,NA,2019-2020,SR,NA,NA,"A resolution to recognize March 18, 2019, as Gas Utility Worker Appreciation Day.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0026
19hr0026,HR 0026 of 2019,NA,NA,2019-2020,HR,NA,NA,"A resolution to urge the Governor to submit an executive order to reorganize the executive branch towards improving environmental protections, access to safe and clean drinking water, and the health and safety of Michigan's citizens, in a manner consistent with the intent of the Legislature.Last Action: re-referred to Committee on Government Operations",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0026
19hr0027,HR 0027 of 2019,NA,NA,2019-2020,HR,NA,NA,A resolution to honor the life and service of Congressman John D. Dingell Jr.Last Action: adopted by unanimous standing vote,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0027
19sr0027,SR 0027 of 2019,NA,NA,2019-2020,SR,NA,NA,"A resolution to reject the extreme anti-life policies contained in New York's Reproductive Health Act, to support President Trump's call for an end to late-term abortions, and to encourage the U.S. Congress to pass the Born-Alive Abortion Survivors Protection Act.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY AND HUMAN SERVICES",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0027
19sr0028,SR 0028 of 2019,NA,NA,2019-2020,SR,NA,NA,"A resolution to commemorate March 20, 2019, as Hunger Solutions Day.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0028
19hr0028,HR 0028 of 2019,NA,NA,2019-2020,HR,NA,NA,A resolution to opposing the lawsuit filed by Michigan's Attorney General challenging the President's emergency declaration to build a wall on the southern border of the United States.Last Action: reported with recommendation without amendment,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0028
19hr0029,HR 0029 of 2019,NA,NA,2019-2020,HR,NA,NA,A resolution to commemorate the 80th anniversary of the Michigan Fraternal Order of Police.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0029
19sr0029,SR 0029 of 2019,NA,NA,2019-2020,SR,NA,NA,A resolution to recognize April 2019 as Donate Life Month.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0029
19sr0030,SR 0030 of 2019,NA,NA,2019-2020,SR,NA,NA,A resolution to encourage the Natural Resources Commission to add Sandhill cranes to the game species list and seek U.S. Fish and Wildlife Service approval to establish a Sandhill crane hunting season.Last Action: PLACED ON ORDER OF RESOLUTIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0030
19hr0030,HR 0030 of 2019,NA,NA,2019-2020,HR,NA,NA,"A resolution to declare February 24-March 2, 2019, as Family Medicine Week in the state of Michigan.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0030
19hr0031,HR 0031 of 2019,NA,NA,2019-2020,HR,NA,NA,A resolution to declare March 2019 as Reading Month in the state of Michigan.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0031
19sr0031,SR 0031 of 2019,NA,NA,2019-2020,SR,NA,NA,A resolution to oppose the mass deportation of Iraqi nationals residing in Michigan and the United States.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0031
19sr0032,SR 0032 of 2019,NA,NA,2019-2020,SR,NA,NA,"A resolution to recognize April 11, 2019, as Chaldean American Day.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0032
19hr0032,HR 0032 of 2019,NA,NA,2019-2020,HR,NA,NA,A resolution to urge the chairs of the House Oversight Committee and the House Government Operations Committee to hold hearings on the improper use of federal Hardest Hit Funds by the Detroit Land Bank Authority and the Detroit Building Authority.Last Action: referred to Committee on Government Operations,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0032
19hr0033,HR 0033 of 2019,NA,NA,2019-2020,HR,NA,NA,A resolution to amend the Standing Rules of the House of Representatives.Last Action: referred to Committee on Government Operations,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0033
19sr0033,SR 0033 of 2019,NA,NA,2019-2020,SR,NA,NA,"A resolution to commemorate April 11-17, 2019, as Black Maternal Health Week.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0033
19sr0034,SR 0034 of 2019,NA,NA,2019-2020,SR,NA,NA,"A resolution to recognize April 24, 2019, as Suits and SneakersÂ® Day.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0034
19hr0034,HR 0034 of 2019,NA,NA,2019-2020,HR,NA,NA,A resolution to declare March 2019 as Ethnic and Cultural Heritage Month in the state of Michigan.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0034
19hr0035,HR 0035 of 2019,NA,NA,2019-2020,HR,NA,NA,A resolution to declare March 2019 as Athletic Trainer Month in the state of Michigan.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0035
19sr0035,SR 0035 of 2019,NA,NA,2019-2020,SR,NA,NA,A resolution to designate April 2019 as Sexual Assault Awareness Month.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0035
19sr0036,SR 0036 of 2019,NA,NA,2019-2020,SR,NA,NA,A resolution to designate May 2019 as Motorcycle Safety Awareness Month.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0036
19hr0036,HR 0036 of 2019,NA,NA,2019-2020,HR,NA,NA,"A resolution to  declare March 7, 2019, as Rare Disease Awareness Day in the state of Michigan.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0036
19hr0037,HR 0037 of 2019,NA,NA,2019-2020,HR,NA,NA,A resolution to commemorate the 100th anniversary of the American Legion.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0037
19sr0037,SR 0037 of 2019,NA,NA,2019-2020,SR,NA,NA,"A resolution to recognize April 18, 2019, as Lineworker Appreciation Day.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0037
19sr0038,SR 0038 of 2019,NA,NA,2019-2020,SR,NA,NA,A resolution to urge the U.S. Fish and Wildlife Service to remove the Michigan gray wolf from the federal endangered and threatened species list.Last Action: PLACED ON ORDER OF RESOLUTIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0038
19hr0038,HR 0038 of 2019,NA,NA,2019-2020,HR,NA,NA,"A resolution to  declare March 8, 2019, as International Women's Day in the state of Michigan.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0038
19hr0039,HR 0039 of 2019,NA,NA,2019-2020,HR,NA,NA,A resolution to memorialize the Congress of the United States to amend the Internal Revenue Code to allow feminine-hygiene products to qualify as an eligible expense under flexible spending accounts.Last Action: referred to Committee on Health Policy,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0039
19sr0039,SR 0039 of 2019,NA,NA,2019-2020,SR,NA,NA,"A resolution to recognize May 7, 2019, as Michigan Foster Care Day.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0039
19sr0040,SR 0040 of 2019,NA,NA,2019-2020,SR,NA,NA,"A resolution to commemorate April 22-29, 2019, as Black April Memorial Week.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0040
19hr0040,HR 0040 of 2019,NA,NA,2019-2020,HR,NA,NA,A resolution to commemorate the 40th anniversary of the founding of the Michigan Counties Workers' Compensation Fund.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0040
19hr0041,HR 0041 of 2019,NA,NA,2019-2020,HR,NA,NA,A resolution to oppose the Green New Deal as outlined in U.S. House Resolution 109 and U.S. Senate Resolution 59 and encourage our national leaders to pursue smarter evidence-based regulatory practices.Last Action: reported with recommendation without amendment,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0041
19sr0041,SR 0041 of 2019,NA,NA,2019-2020,SR,NA,NA,"A resolution to commemorate April 28, 2019, as Workers' Memorial Day.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0041
19sr0042,SR 0042 of 2019,NA,NA,2019-2020,SR,NA,NA,"A resolution recognizing May 5-11, 2019, as InfantSEEÂ® Week.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0042
19hr0042,HR 0042 of 2019,NA,NA,2019-2020,HR,NA,NA,"A resolution to declare March 10-16, 2019, as Sunshine Week in the state of Michigan.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0042
19hr0043,HR 0043 of 2019,NA,NA,2019-2020,HR,NA,NA,"A resolution to declare March 13, 2019, as Agriculture Day in the state of Michigan.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0043
19sr0043,SR 0043 of 2019,NA,NA,2019-2020,SR,NA,NA,A resolution to recognize May 2019 as Mental Health Awareness Month.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0043
19sr0044,SR 0044 of 2019,NA,NA,2019-2020,SR,NA,NA,"A resolution to declare May 2, 2019, as Holocaust Remembrance Day.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0044
19hr0044,HR 0044 of 2019,NA,NA,2019-2020,HR,NA,NA,"A resolution to declare March 18, 2019, as Gas Utility Worker Appreciation Day in the state of Michigan.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0044
19hr0045,HR 0045 of 2019,NA,NA,2019-2020,HR,NA,NA,A resolution to memorialize the Congress of the United States to continue full funding of the Great Lakes Restoration Initiative.Last Action: referred to Committee on Natural Resources and Outdoor Recreation,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0045
19sr0045,SR 0045 of 2019,NA,NA,2019-2020,SR,NA,NA,"A resolution recognizing May 5-11, 2019, as National Travel and Tourism Week, to draw attention to the importance of tourism to Michigan's economy and well-being.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0045
19sr0046,SR 0046 of 2019,NA,NA,2019-2020,SR,NA,NA,"A resolution to recognize May 12-18, 2019, as Police Week.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0046
19hr0046,HR 0046 of 2019,NA,NA,2019-2020,HR,NA,NA,"A resolution to declare March 19, 2019, as Law Enforcement Mental Health Awareness Day in the state of Michigan.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0046
19hr0047,HR 0047 of 2019,NA,NA,2019-2020,HR,NA,NA,"A resolution to declare March 25, 2019, as Greek Independence Day in the state of Michigan.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0047
19sr0047,SR 0047 of 2019,NA,NA,2019-2020,SR,NA,NA,"A resolution to commemorate May 12-18, 2019, as STEM Awareness Week.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0047
19sr0048,SR 0048 of 2019,NA,NA,2019-2020,SR,NA,NA,A resolution to commemorate the 100th anniversary of Michigan's state parks system.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0048
19hr0048,HR 0048 of 2019,NA,NA,2019-2020,HR,NA,NA,"A resolution to declare March 20, 2019, as Snowplow Driver Appreciation Day in the state of Michigan.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0048
19hr0049,HR 0049 of 2019,NA,NA,2019-2020,HR,NA,NA,"A resolution to declare April 2, 2019, as Autism Awareness Day in the state of Michigan.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0049
19sr0049,SR 0049 of 2019,NA,NA,2019-2020,SR,NA,NA,A resolution to oppose the Keweenaw Bay Indian Community's application to regulate water quality and air quality under federal law on the L'Anse Reservation.Last Action: PLACED ON ORDER OF RESOLUTIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0049
19sr0050,SR 0050 of 2019,NA,NA,2019-2020,SR,NA,NA,"A resolution to recognize May 17, 2019, as Detroit Bike to Work Day.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0050
19hr0050,HR 0050 of 2019,NA,NA,2019-2020,HR,NA,NA,A resolution to declare April 2019 as Autism Awareness Month in the state of Michigan.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0050
19hr0051,HR 0051 of 2019,NA,NA,2019-2020,HR,NA,NA,"A resolution to declare March 22, 2019, as Youth Parenting Awareness Day in the state of Michigan.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0051
19sr0051,SR 0051 of 2019,NA,NA,2019-2020,SR,NA,NA,A resolution to recognize May 2019 as Brain Tumor Awareness Month.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0051
19sr0052,SR 0052 of 2019,NA,NA,2019-2020,SR,NA,NA,"A resolution to commemorate May 23, 2019, as the 120th Anniversary of the Michigan Municipal League.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0052
19hr0052,HR 0052 of 2019,NA,NA,2019-2020,HR,NA,NA,"A resolution to declare March 22, 2019, as Michigan Water Day and World Water Day in the state of Michigan.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0052
19hr0053,HR 0053 of 2019,NA,NA,2019-2020,HR,NA,NA,A resolution to declare April 2019 as Michigan Student Athlete Cardiac Awareness Month in the state of Michigan.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0053
19sr0053,SR 0053 of 2019,NA,NA,2019-2020,SR,NA,NA,"A resolution to commemorate May 22, 2019, as Equal Rights Advocacy Day.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0053
