doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url
13scr0001,SCR 0001 of 2013,NA,NA,2013-2014,SCR,NA,NA,A concurrent resolution granting authority for adjournment for more than 2 days.Last Action: REFERRED TO SECRETARY FOR RECORD,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SCR-0001
13hcr0001,HCR 0001 of 2013,NA,NA,2013-2014,HCR,NA,NA,"A concurrent resolution prescribing the Joint Rules of the House of Representatives and Senate.

Last Action: adopted by Senate - referred to the Clerk for record",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-HCR-0001
13hcr0002,HCR 0002 of 2013,NA,NA,2013-2014,HCR,NA,NA,"A concurrent resolution to call for Michigan laborers and manufactured materials to be used in the design and construction of the New International Trade Crossing.

Last Action: referred to Committee on Transportation and Infrastructure",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-HCR-0002
13scr0002,SCR 0002 of 2013,NA,NA,2013-2014,SCR,NA,NA,A concurrent resolution prescribing the Joint Convention Rules for the Legislature.Last Action: REFERRED TO SECRETARY FOR RECORD,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SCR-0002
13scr0003,SCR 0003 of 2013,NA,NA,2013-2014,SCR,NA,NA,A concurrent resolution providing for a joint convention of the Senate and House of Representatives.Last Action: REFERRED TO SECRETARY FOR RECORD,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SCR-0003
13hcr0003,HCR 0003 of 2013,NA,NA,2013-2014,HCR,NA,NA,"A concurrent resolution to memorialize Congress to expand the use of Food Assistance Program dollars to include personal hygiene products and home cleaning supplies.

Last Action: referred to Committee on Families, Children, and Seniors",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-HCR-0003
13hcr0004,HCR 0004 of 2013,NA,NA,2013-2014,HCR,NA,NA,"A concurrent resolution to urge the President and Congress of the United States to pressure the Prime Minister of Japan to open the Japanese market to imported automobiles and automobile parts and to refrain from weakening the yen to give domestic companies a competitive advantage.

Last Action: referred to Committee on Transportation and Infrastructure",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-HCR-0004
13scr0004,SCR 0004 of 2013,NA,NA,2013-2014,SCR,NA,NA,"A concurrent resolution to express support for the concept of preparing biennial state budgets.

Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SCR-0004
13scr0005,SCR 0005 of 2013,NA,NA,2013-2014,SCR,NA,NA,"A concurrent resolution to urge the United States Department of Energy and the Nuclear Regulatory Commission to fulfill their obligation to establish a permanent repository for high-level nuclear waste.

Last Action: REFERRED TO SECRETARY FOR RECORD",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SCR-0005
13hcr0005,HCR 0005 of 2013,NA,NA,2013-2014,HCR,NA,NA,A concurrent resolution prescribing the legislative schedule.Last Action: adopted by Senate - referred to the Clerk for record,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-HCR-0005
13hcr0006,HCR 0006 of 2013,NA,NA,2013-2014,HCR,NA,NA,"A concurrent resolution to urge the other Great Lakes states and Canada to adopt ballast water standards equivalent to the 2013 federal Vessel General Permit requirements.
Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES, ENVIRONMENT AND GREAT LAKES",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-HCR-0006
13scr0006,SCR 0006 of 2013,NA,NA,2013-2014,SCR,NA,NA,A concurrent resolution to memorialize the President and the Congress of the United States to support the continued and increased development and importation of oil derived from North American reserves and to urge the United States Secretary of State to approve the newly-routed Keystone XL pipeline application from TransCanada.Last Action: REFERRED TO SECRETARY FOR RECORD,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SCR-0006
13scr0007,SCR 0007 of 2013,NA,NA,2013-2014,SCR,NA,NA,"A concurrent resolution to support Taiwan's efforts to secure entry into the Trans-Pacific Partnership, promote bilateral investment and trade relations with the United States, and participate in the International Civil Aviation Organization.Last Action: referred to Committee on Commerce",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SCR-0007
13hcr0007,HCR 0007 of 2013,NA,NA,2013-2014,HCR,NA,NA,"A concurrent resolution to memorialize the United States Congress to oppose the construction of an underground nuclear waste repository in Ontario, Canada and to urge Canadian officials to find alternatives to Ontario Power Generation's proposal to bury nuclear waste in the Great Lakes basin.

Last Action: referred to Committee on Energy and Technology",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-HCR-0007
13hcr0008,HCR 0008 of 2013,NA,NA,2013-2014,HCR,NA,NA,"A concurrent resolution to urge the Food and Drug Administration to adopt final regulations pertaining to mobile medical applications.

Last Action: referred to Committee on Health Policy",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-HCR-0008
13scr0008,SCR 0008 of 2013,NA,NA,2013-2014,SCR,NA,NA,"A concurrent resolution to invite the Republic of China (Taiwan) to enter into a sister-state relationship with the state of Michigan.Last Action: referred to Committee on Michigan Competitiveness",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SCR-0008
13scr0009,SCR 0009 of 2013,NA,NA,2013-2014,SCR,NA,NA,A concurrent resolution prescribing the legislative schedule.Last Action: referred to Committee on Government Operations,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SCR-0009
