doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url
13hr0001,HR 0001 of 2013,NA,NA,2013-2014,HR,NA,NA,A resolution prescribing the Standing Rules of the House of Representatives.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-HR-0001
13sr0001,SR 0001 of 2013,NA,NA,2013-2014,SR,NA,NA,A resolution notifying the Governor and the House of Representatives that the Senate is ready to proceed with the business of the session.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SR-0001
13sr0002,SR 0002 of 2013,NA,NA,2013-2014,SR,NA,NA,A resolution for the adoption of temporary Standing Rules of the Senate.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SR-0002
13hr0002,HR 0002 of 2013,NA,NA,2013-2014,HR,NA,NA,A resolution to provide for officers of the House of Representatives for the Ninety-seventh Legislature.Last Action:  Roll Call # 2 Yeas 109 Nays 0,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-HR-0002
13hr0003,HR 0003 of 2013,NA,NA,2013-2014,HR,NA,NA,A resolution to provide for the Clerk of the House of Representatives for the Ninety-seventh Legislature.Last Action:  Roll Call # 3 Yeas 108 Nays 1,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-HR-0003
13sr0003,SR 0003 of 2013,NA,NA,2013-2014,SR,NA,NA,A resolution offered as a memorial to the life and accomplishments of Ted Gatzaros.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SR-0003
13sr0004,SR 0004 of 2013,NA,NA,2013-2014,SR,NA,NA,"A resolution to memorialize the President and the United States Congress to support the continued and increased importation of oil derived from Canadian oil sands and to urge the United States Secretary of State to approve the TransCanada Keystone Coast Expansion pipeline project.Last Action: REFERRED TO COMMITTEE ON ENERGY AND TECHNOLOGY",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SR-0004
13hr0004,HR 0004 of 2013,NA,NA,2013-2014,HR,NA,NA,A resolution fixing the hour for daily sessions.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-HR-0004
13hr0005,HR 0005 of 2013,NA,NA,2013-2014,HR,NA,NA,A resolution directing the Clerk to notify the Governor that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-HR-0005
13sr0005,SR 0005 of 2013,NA,NA,2013-2014,SR,NA,NA,"A resolution recognizing February 1, 2013, as National Wear Red Day.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SR-0005
13sr0006,SR 0006 of 2013,NA,NA,2013-2014,SR,NA,NA,A resolution celebrating February 2013 as American Heart Month in the state of Michigan.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SR-0006
13hr0006,HR 0006 of 2013,NA,NA,2013-2014,HR,NA,NA,A resolution directing the Clerk to notify the Senate that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-HR-0006
13hr0007,HR 0007 of 2013,NA,NA,2013-2014,HR,NA,NA,"A resolution to declare January 2013 as Clinical Trial Awareness Month in the state of Michigan. 
Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-HR-0007
