doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url
11hcr0010,HCR 0010 of 2011,NA,NA,2011-2012,HCR,NA,NA,A concurrent resolution prescribing the legislative schedule.Last Action: adopted by Senate - referred to the Clerk for record,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0010
11hcr0011,HCR 0011 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution to memorialize Congress to adopt and present to the states for ratification an amendment to the Constitution of the United States to establish fundamental parental rights.

Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0011
11scr0011,SCR 0011 of 2011,NA,NA,2011-2012,SCR,NA,NA,"A concurrent resolution to express opposition to the President's proposal to make major cuts to funding for the Great Lakes Restoration Initiative and to memorialize the U.S. Congress to reject the reductions.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES, ENVIRONMENT AND GREAT LAKES",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SCR-0011
11scr0012,SCR 0012 of 2011,NA,NA,2011-2012,SCR,NA,NA,"A concurrent resolution of tribute offered as a memorial for James Damman, former Lieutenant Governor and former member of the House of Representatives.Last Action: returned to Senate",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SCR-0012
11hcr0012,HCR 0012 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution to express opposition to the federal government withholding road funding to the states based on passage of the Safe Teen and Novice Driver Uniform Protection Act (STAND UP Act).

Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0012
11hcr0013,HCR 0013 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution approving the conveyance of property to the State Building Authority and approving a lease among the State of Michigan, the State Building Authority, and Kirtland Community College relative to the Kirtland Community College Well Water System Upgrade.

Last Action: adopted by Senate - referred to the Clerk for record",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0013
11scr0013,SCR 0013 of 2011,NA,NA,2011-2012,SCR,NA,NA,"A concurrent resolution to call on the state and federal government to work cooperatively to fund the restoration of the breakwall at the Grand Marais Harbor.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES, ENVIRONMENT AND GREAT LAKES",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SCR-0013
11scr0014,SCR 0014 of 2011,NA,NA,2011-2012,SCR,NA,NA,"A concurrent resolution to memorialize Congress to adopt and submit to the states for ratification an amendment to the United States Constitution to provide for a means of amending the Constitution through a convention limited to the consideration of a specific amendment as proposed by at least two-thirds of the states.

Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SCR-0014
11hcr0014,HCR 0014 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution approving the conveyance of property to the State Building Authority and approving a lease among the State of Michigan, the State Building Authority, and Oakland University relative to the Oakland University Human Health Building.

Last Action: adopted by Senate - referred to the Clerk for record",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0014
11hcr0015,HCR 0015 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution approving a decrease in Total Project Cost and approving a lease between the State of Michigan (the ""State"") and the State Building Authority (the ""Authority"") relative to the Department of Management and Budget State Facility Preservation Projects-Phase I and Phase II Group E Special Maintenance Projects (the ""Facility"").

Last Action: adopted by Senate - referred to the Clerk for record",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0015
