doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url
15sr0001,SR 0001 of 2015,NA,NA,2015-2016,SR,NA,NA,A resolution notifying the Governor and the House of Representatives that the Senate is ready to proceed with the business of the session.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SR-0001
15hr0001,HR 0001 of 2015,NA,NA,2015-2016,HR,NA,NA,A resolution prescribing the Standing Rules of the House of Representatives.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HR-0001
15hr0002,HR 0002 of 2015,NA,NA,2015-2016,HR,NA,NA,A resolution to provide for officers of the House of Representatives for the Ninety-eighth Legislature.Last Action:  Roll Call # 2 Yeas 109 Nays 0,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HR-0002
15sr0002,SR 0002 of 2015,NA,NA,2015-2016,SR,NA,NA,A resolution for the adoption of the Standing Rules of the Senate.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SR-0002
15sr0003,SR 0003 of 2015,NA,NA,2015-2016,SR,NA,NA,"A resolution of tribute offered as a memorial for Harry A. DeMaso, former member of the Senate.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SR-0003
15hr0003,HR 0003 of 2015,NA,NA,2015-2016,HR,NA,NA,A resolution to provide for the Clerk of the House of Representatives for the Ninety-eighth Legislature.Last Action:  Roll Call # 3 Yeas 109 Nays 0,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HR-0003
15hr0004,HR 0004 of 2015,NA,NA,2015-2016,HR,NA,NA,A resolution fixing the hour for daily sessions.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HR-0004
15sr0004,SR 0004 of 2015,NA,NA,2015-2016,SR,NA,NA,A resolution to amend the Standing Rules of the Senate.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SR-0004
15sr0005,SR 0005 of 2015,NA,NA,2015-2016,SR,NA,NA,"A resolution to declare January 25-31, 2015, as Catholic Schools Week in the state of Michigan.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SR-0005
15hr0005,HR 0005 of 2015,NA,NA,2015-2016,HR,NA,NA,A resolution directing the Clerk to notify the Governor that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HR-0005
15hr0006,HR 0006 of 2015,NA,NA,2015-2016,HR,NA,NA,A resolution directing the Clerk to notify the Senate that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HR-0006
15sr0006,SR 0006 of 2015,NA,NA,2015-2016,SR,NA,NA,"A resolution recognizing January 25 - January 31, 2015, as Michigan School Choice Week.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SR-0006
15sr0007,SR 0007 of 2015,NA,NA,2015-2016,SR,NA,NA,"A resolution to support scientifically-based state management of gray wolves and to call for legislative action by the U.S. Congress and an appeal by the U.S. Fish and Wildlife Service and the Michigan Department of Natural Resources in an effort to remove the Western Great Lakes gray wolf population from the endangered and threatened species list.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SR-0007
15hr0007,HR 0007 of 2015,NA,NA,2015-2016,HR,NA,NA,"A resolution to declare January 25-31, 2015, as Catholic Schools Week in the state of Michigan.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HR-0007
15hr0008,HR 0008 of 2015,NA,NA,2015-2016,HR,NA,NA,"A resolution to declare February 14, 2015, as Go Curling Day in the state of Michigan.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HR-0008
15sr0008,SR 0008 of 2015,NA,NA,2015-2016,SR,NA,NA,"A resolution proclaiming February 2015 as American Heart Month and February 6, 2015, as Go Red for Women Day in the state of Michigan.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SR-0008
15sr0009,SR 0009 of 2015,NA,NA,2015-2016,SR,NA,NA,"A resolution to support the Marquette County Road Commission’s appeal of the U.S. Environmental Protection Agency’s objection to the planned construction of County Road 595.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SR-0009
15hr0009,HR 0009 of 2015,NA,NA,2015-2016,HR,NA,NA,"A resolution to urge the President of the United States to allow an additional 25,000 refugee visas for displaced Iraqis, with preference for placement in Michigan.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HR-0009
