doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url
07scr0001,SCR 0001 of 2007,NA,NA,2007-2008,SCR,NA,NA,A concurrent resolution granting authority for adjournment for more than 2 days.Last Action: REFERRED TO SECRETARY FOR RECORD,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SCR-0001
07hcr0001,HCR 0001 of 2007,NA,NA,2007-2008,HCR,NA,NA,A concurrent resolution prescribing the Joint Convention Rules for the Legislature.Last Action: adopted by Senate - referred to the Clerk for record,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HCR-0001
07hcr0002,HCR 0002 of 2007,NA,NA,2007-2008,HCR,NA,NA,A concurrent resolution providing for a joint convention of the House of Representatives and the Senate.Last Action: adopted by Senate - referred to the Clerk for record,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HCR-0002
07scr0002,SCR 0002 of 2007,NA,NA,2007-2008,SCR,NA,NA,"A concurrent resolution to urge Michigan's public colleges and universities to make available to each Michigan high school information on the number of students who graduated from that high school who are taking remedial mathematics or English courses.

Last Action: REFERRED TO COMMITTEE ON EDUCATION",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SCR-0002
07scr0003,SCR 0003 of 2007,NA,NA,2007-2008,SCR,NA,NA,"A concurrent resolution to urge the United States Department of Homeland Security to continue to work with the states to coordinate driver's licenses with the new passport requirements to reenter the country from Canada.

Last Action: referred to Committee on New Economy and Quality of Life",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SCR-0003
07hcr0003,HCR 0003 of 2007,NA,NA,2007-2008,HCR,NA,NA,"A concurrent resolution to urge the United States Department of Energy and the Nuclear Regulatory Commission to fulfill their obligation to establish a permanent repository for high-level nuclear waste.

Last Action: adopted and transmitted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HCR-0003
07hcr0004,HCR 0004 of 2007,NA,NA,2007-2008,HCR,NA,NA,"A concurrent resolution prescribing the Joint Rules of the House of Representatives and the Senate.
Last Action: adopted by Senate - referred to the Clerk for record",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HCR-0004
07scr0004,SCR 0004 of 2007,NA,NA,2007-2008,SCR,NA,NA,"A concurrent resolution to memorialize the President and the Congress of the United States to increase funding for the Low Income Home Energy Assistance Program and to facilitate the establishment of programs that provide information about responsible energy use.
Last Action: referred to Committee on Energy and Technology",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SCR-0004
07scr0005,SCR 0005 of 2007,NA,NA,2007-2008,SCR,NA,NA,"A concurrent resolution to memorialize the United States Congress to reauthorize the State Children's Health Insurance Program (SCHIP) for the State of Michigan.

Last Action: referred to Committee on Appropriations",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SCR-0005
07hcr0005,HCR 0005 of 2007,NA,NA,2007-2008,HCR,NA,NA,"A concurrent resolution to urge the President and Congress of the United States to appropriate additional funding for the Low Income Home Energy Assistance Program (LIHEAP).

Last Action: REFERRED TO COMMITTEE ON ENERGY POLICY AND PUBLIC UTILITIES",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HCR-0005
07hcr0006,HCR 0006 of 2007,NA,NA,2007-2008,HCR,NA,NA,"A concurrent resolution to memorialize the United States Congress to reauthorize the State Children's Health Insurance Program (SCHIP) for the State of Michigan.

Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HCR-0006
