doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url
19hjr000A,HJR A of 2019,NA,NA,2019-2020,HJR,Legislature,sessions,"Legislature: sessions; part-time legislature; provide for. Amends sec. 13, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 01/15/2019",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HJR-A
19sjr000A,SJR A of 2019,NA,NA,2019-2020,SJR,Constitutional amendments,state,"Constitutional amendments; state; permissible uses of school aid funds; revise. Amends sec. 11, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SJR-A
19sjr000B,SJR B of 2019,NA,NA,2019-2020,SJR,Constitutional amendments,state,"Constitutional amendments; state; equal amount of per pupil revenue for school operating purposes for all local school districts; ensure by certain date. Amends sec. 11, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SJR-B
19hjr000B,HJR B of 2019,NA,NA,2019-2020,HJR,Constitutional amendments,state,"Constitutional amendments: state; operation of public school on for-profit basis; prohibit in state constitution. Amends sec. 2, art. VIII of the state constitution.Last Action: joint resolution electronically reproduced 01/16/2019",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HJR-B
19hjr000C,HJR C of 2019,NA,NA,2019-2020,HJR,Legislature,sessions,"Legislature: sessions; sine die; establish as the Friday before the first Monday in November in an even numbered year. Amends sec. 13, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 01/24/2019",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HJR-C
19sjr000C,SJR C of 2019,NA,NA,2019-2020,SJR,Constitutional amendments,state,"Constitutional amendments: state; permissible uses of school aid funds; revise. Amends sec. 11, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SJR-C
19sjr000D,SJR D of 2019,NA,NA,2019-2020,SJR,Individual income tax,rate,"Individual income tax; rate; graduated income tax; allow. Amends sec. 7, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON FINANCE",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SJR-D
19hjr000D,HJR D of 2019,NA,NA,2019-2020,HJR,Legislature,sessions,"Legislature: sessions; passage of bills during session held after November election in an even-numbered year; require a 2/3 vote of both houses. Amends sec. 26, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 02/07/2019",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HJR-D
19hjr000E,HJR E of 2019,NA,NA,2019-2020,HJR,Legislature,rules,"Legislature: rules; passage of bills introduced during session held after November election in an even-numbered year; require a 2/3 vote of both houses. Amends sec. 26, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 02/26/2019",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HJR-E
19sjr000E,SJR E of 2019,NA,NA,2019-2020,SJR,Higher education,governing boards,"Higher education: governing boards; open meetings for university boards; require. Amends sec. 4, art. VIII of the state constitution.Last Action: REFERRED TO COMMITTEE ON OVERSIGHT",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SJR-E
