doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url
23hr0001,HR 0001 of 2023,NA,NA,2023-2024,HR,NA,NA,A resolution to prescribe the Standing Rules for the 2023-2024 session of the House of Representatives.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-HR-0001
23sr0001,SR 0001 of 2023,NA,NA,2023-2024,SR,NA,NA,A resolution notifying the Governor and the House of Representatives that the Senate is ready to proceed with the business of the session.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SR-0001
23sr0002,SR 0002 of 2023,NA,NA,2023-2024,SR,NA,NA,A resolution prescribing the Standing Rules of the Senate.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SR-0002
23hr0002,HR 0002 of 2023,NA,NA,2023-2024,HR,NA,NA,A resolution to provide for Laurie Pohutsky to be Speaker Pro Tempore of the House of Representatives for the One Hundred Second Legislature.Last Action: roll call Roll Call # 2 Yeas 100 Nays 9 Excused 0 Not Voting 1,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-HR-0002
23hr0003,HR 0003 of 2023,NA,NA,2023-2024,HR,NA,NA,A resolution to provide for Richard J. Brown to be the Clerk of the House of Representatives for the One Hundred Second Legislature.Last Action: roll call Roll Call # 3 Yeas 105 Nays 4 Excused 0 Not Voting 1,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-HR-0003
23sr0003,SR 0003 of 2023,NA,NA,2023-2024,SR,NA,NA,"A resolution to recognize January 29-February 4, 2023, as Catholic Schools Week.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SR-0003
23sr0004,SR 0004 of 2023,NA,NA,2023-2024,SR,NA,NA,"A resolution to commemorate February 1, 2023, as the 125th anniversary of the Michigan Association of Counties (MAC).Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SR-0004
23hr0004,HR 0004 of 2023,NA,NA,2023-2024,HR,NA,NA,A resolution to fix the hour for daily sessions.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-HR-0004
23hr0005,HR 0005 of 2023,NA,NA,2023-2024,HR,NA,NA,A resolution to direct the Clerk to notify the Governor that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-HR-0005
23sr0005,SR 0005 of 2023,NA,NA,2023-2024,SR,NA,NA,"A resolution to commemorate February 1, 2023, as Blue Star Mother's Day.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SR-0005
23sr0006,SR 0006 of 2023,NA,NA,2023-2024,SR,NA,NA,A resolution to recognize February 2023 as Black History Month.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SR-0006
23hr0006,HR 0006 of 2023,NA,NA,2023-2024,HR,NA,NA,A resolution to direct the Clerk to notify the Senate that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-HR-0006
23hr0007,HR 0007 of 2023,NA,NA,2023-2024,HR,NA,NA,"A resolution to declare January 9-13, 2023, as Human Trafficking Awareness Week in the state of Michigan.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-HR-0007
23sr0007,SR 0007 of 2023,NA,NA,2023-2024,SR,NA,NA,"A resolution to recognize February 2023 as American Heart Month and February 3, 2023, as “National Wear Red Day”.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SR-0007
23sr0008,SR 0008 of 2023,NA,NA,2023-2024,SR,NA,NA,"A resolution to recognize February 11, 2023, as the United Auto Workers' (UAW) White Shirt Day.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SR-0008
23hr0008,HR 0008 of 2023,NA,NA,2023-2024,HR,NA,NA,A resolution to declare January 2023 as Human Trafficking Awareness Month in the state of Michigan.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-HR-0008
23hr0009,HR 0009 of 2023,NA,NA,2023-2024,HR,NA,NA,"A resolution to declare January 11, 2023, as Human Trafficking Awareness Day in the state of Michigan.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-HR-0009
23sr0009,SR 0009 of 2023,NA,NA,2023-2024,SR,NA,NA,"A resolution to express our commitment, in partnership with the United States Air Force, to accelerating change in order to compete with, deter, and, if necessary, defeat a peer adversary, and to urge the United States Air Force to replace the A-10s with an advanced generation fighter mission at Selfridge Air National Guard Base.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SR-0009
23sr0010,SR 0010 of 2023,NA,NA,2023-2024,SR,NA,NA,A resolution to urge the United States House of Representatives not to take up H.R. 25 of 2023 or otherwise impose a national sales tax.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SR-0010
23hr0010,HR 0010 of 2023,NA,NA,2023-2024,HR,NA,NA,A resolution to declare January 2023 as Fire Fighter Cancer Awareness Month in the state of Michigan.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-HR-0010
