doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url
10sjr000Q,SJR Q of 2010,NA,NA,2009-2010,SJR,Elections,judicial,"Elections; judicial; ballot designation for incumbent judges; eliminate. Amends sec. 24, art. VI of the state constitution.Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-SJR-Q
10sjr000R,SJR R of 2010,NA,NA,2009-2010,SJR,Constitutional amendments,state,Constitutional amendments; state; opt-out provision to federal health care program; provide for. Amends the state constitution by adding sec. 28 to art. I.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-SJR-R
10sjr000S,SJR S of 2010,NA,NA,2009-2010,SJR,Legislature,other,"Legislature; other; spending cuts or increased revenues for any bill that will have negative impact on state revenues; provide for. Amends sec. 26, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-SJR-S
10sjr000T,SJR T of 2010,NA,NA,2009-2010,SJR,State financing and management,budget,"State financing and management; budget; constitutional amendment to limit the budget and make certain deposits; modify. Amends sec. 31, art. IV & sec. 18, art. V of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-SJR-T
10sjr000U,SJR U of 2010,NA,NA,2009-2010,SJR,Labor,public service employment,"Labor; public service employment; constitutional amendment for salary reduction for public employees and temporary pay freeze; provide for. Amends sec. 10, art. I, secs. 12 & 48, art. IV, sec. 23, art. V, secs. 3 & 18, art. VI, sec. 9, art. VII, secs. 5, 6 & 7, art. VIII & sec. 5, art. XI & adds sec. 8 to art. XI of the state constitution.Last Action: REFERRED TO COMMITTEE OF THE WHOLE",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-SJR-U
10sjr000V,SJR V of 2010,NA,NA,2009-2010,SJR,Public employees and officers,other,Public employees and officers; other; qualifications for elected public officials to hold office; prohibit if convicted of certain offenses. Amends the state constitution by adding sec. 8 to art. XI.Last Action: FILED WITH SECRETARY OF STATE 6/24/2010 @ 3:20 PM,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-SJR-V
10sjr000W,SJR W of 2010,NA,NA,2009-2010,SJR,State financing and management,budget,"State financing and management; budget; constitutional amendment providing for taxpayers bill of rights; adopt. Amends sec. 28, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-SJR-W
10sjr000X,SJR X of 2010,NA,NA,2009-2010,SJR,Legislature,legislators,"Legislature; legislators; term limits; extend. Amends sec. 54, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-SJR-X
10sjr000Y,SJR Y of 2010,NA,NA,2009-2010,SJR,Legislature,other,Legislature; other; commission to review the constitutionality of federal actions; create. Amends the state constitution by adding sec. 15a to art. IV.Last Action: REFERRED TO COMMITTEE ON JUDICIARY,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-SJR-Y
10sjr000Z,SJR Z of 2010,NA,NA,2009-2010,SJR,Natural resources,gas and oil,Natural resources; gas and oil; prohibition against drilling in the waters of the state or beneath the bottomlands of the Great Lakes; provide for. Amends the state constitution by adding sec. 31 to art. V.Last Action: REFERRED TO COMMITTEE OF THE WHOLE WITH SUBSTITUTE S-2,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-SJR-Z
10sjr00AA,SJR AA of 2010,NA,NA,2009-2010,SJR,Natural resources,gas and oil,Natural resources; gas and oil; prohibition against drilling in or beneath the bottomlands of the Great Lakes; provide for. Amends the state constitution by adding sec. 31 to art. V.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-SJR-AA
10sjr00BB,SJR BB of 2010,NA,NA,2009-2010,SJR,Constitutional amendments,state,"Constitutional amendments; state; standing to bring a civil action to protect natural resources and the public trust in those resources; provide for. Amends sec. 52, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON JUDICIARY",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-SJR-BB
10sjr00CC,SJR CC of 2010,NA,NA,2009-2010,SJR,Legislature,legislators,"Legislature; legislators; term limits for state representatives; revise to four 2-year terms. Amends sec. 54, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-SJR-CC
10hjr00RR,HJR RR of 2010,NA,NA,2009-2010,HJR,Legislature,legislators,"Legislature; legislators; vacancy in state senate or house of representatives; allow governor to appoint successor in certain circumstances. Amends sec. 13, art. V of the state constitution.Last Action: printed joint resolution filed 01/15/2010",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-HJR-RR
10hjr00SS,HJR SS of 2010,NA,NA,2009-2010,HJR,Legislature,other,"Legislature; other; two-year fiscal period; require. Amends sec. 31, art. IV, secs. 11, 14, 24, 26, 27, 28, 35, 35a & 40, art. IX & sec. 5, art. XI of the state constitution.Last Action: printed joint resolution filed 01/15/2010",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-HJR-SS
10hjr00TT,HJR TT of 2010,NA,NA,2009-2010,HJR,Courts,supreme court,"Courts; supreme court; supreme court districts; provide for. Amends sec. 2, art. VI of the state constitution.Last Action: printed joint resolution filed 01/27/2010",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-HJR-TT
10hjr00UU,HJR UU of 2010,NA,NA,2009-2010,HJR,Legislature,legislators,"Legislature; legislators; part-time legislature, reduce legislative salaries and benefits, limit number of committees legislators may serve on, limit number of bills legislators may request, eliminate term limits, and require all budgets to be presented to the governor before June 1; provide for. Amends secs. 12, 13, 16, 22 & 31, art. IV & sec. 15, art. V & repeals sec. 54, art. IV of the state constitution.Last Action: printed bill filed 02/17/2010",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-HJR-UU
10hjr00VV,HJR VV of 2010,NA,NA,2009-2010,HJR,Legislature,other,"Legislature; other; budget process; provide for presentation of two fiscal period budgets, modify fiscal year date, revise amount appropriated in a fiscal year, and establish certain policies for revenue estimating conferences. Amends sec. 31, art. IV & sec. 18, art. V of the state constitution.Last Action: printed joint resolution filed 02/19/2010",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-HJR-VV
10hjr00WW,HJR WW of 2010,NA,NA,2009-2010,HJR,Elections,primary,"Elections; primary; nomination of attorney general and secretary of state; revise. Amends sec. 21, art. V of the state constitution.Last Action: printed joint resolution filed 03/03/2010",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-HJR-WW
10hjr00XX,HJR XX of 2010,NA,NA,2009-2010,HJR,Legislature,legislators,"Legislature; legislators; legislators' terms of office; modify. Amends secs. 2 & 3, art. IV of the state constitution.Last Action: printed joint resolution filed 03/03/2010",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-HJR-XX
10hjr00YY,HJR YY of 2010,NA,NA,2009-2010,HJR,Legislature,other,Legislature; other; commission to review the constitutionality of federal actions; create. Amends the state constitution by adding sec. 15a to art. IV.Last Action: printed joint resolution filed 03/05/2010,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-HJR-YY
10hjr00ZZ,HJR ZZ of 2010,NA,NA,2009-2010,HJR,Property tax,assessments,"Property tax; assessments; method used for calculation of annual increase to taxable value for property taxes; clarify. Amends sec. 3, art. IX of the state constitution.Last Action: printed joint resolution filed 03/19/2010",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-HJR-ZZ
10hjr0AAA,HJR AAA of 2010,NA,NA,2009-2010,HJR,Higher education,state universities,"Higher education; state universities; constitutional requirement for annual accounting of income and expenditures; revise. Amends sec. 4, art. VIII of the state constitution.Last Action: printed joint resolution filed 03/26/2010",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-HJR-AAA
10hjr0BBB,HJR BBB of 2010,NA,NA,2009-2010,HJR,Legislature,legislators,"Legislature; legislators; general amendments to constitution; provide for. Amends secs. 26 & 31, art. IV, secs. 19 & 29, art. V, secs. 11, 14, 24, 26, 27, 28, 35, 35a & 40, art. IX & sec. 5, art. XI & adds secs. 55 & 56 to art. IV & sec. 31 to art. V of the state constitution.Last Action: printed joint resolution filed 03/26/2010",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-HJR-BBB
10hjr0CCC,HJR CCC of 2010,NA,NA,2009-2010,HJR,Legislature,other,Legislature; other; constitutional amendment requiring equal application of law; petition congress for convention. Amends (See bill).Last Action: printed joint resolution filed 04/14/2010,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-HJR-CCC
10hjr0DDD,HJR DDD of 2010,NA,NA,2009-2010,HJR,Taxation,generally,"Taxation; generally; legislatively passed tax increase; require to go before voters. Amends sec. 26, art. IV of the state constitution.Last Action: printed joint resolution filed 04/21/2010",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-HJR-DDD
10hjr0EEE,HJR EEE of 2010,NA,NA,2009-2010,HJR,Legislature,legislators,"Legislature; legislators; term limits; revise to combination of 14 years' total legislative service and require certain budget bills to be presented and signed by a certain date. Amends secs. 31 & 54, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: referred to second reading",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-HJR-EEE
10hjr0FFF,HJR FFF of 2010,NA,NA,2009-2010,HJR,Transportation,other,"Transportation; other; public-private partnerships; modify distribution of revenue. Amends sec. 9, art. IX of the state constitution.Last Action: notice given to discharge committee",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-HJR-FFF
10hjr0GGG,HJR GGG of 2010,NA,NA,2009-2010,HJR,Natural resources,gas and oil,Natural resources; gas and oil; prohibition against drilling in or beneath the bottomlands of the Great Lakes; provide for. Amends the state constitution by adding sec. 31 to art. V.Last Action: referred to second reading,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-HJR-GGG
10hjr0HHH,HJR HHH of 2010,NA,NA,2009-2010,HJR,Public employees and officers,other,Public employees and officers; other; qualifications for elected public officials to hold office; disqualify if convicted of certain offenses. Amends the state constitution by adding sec. 8 to art. XI.Last Action: printed joint resolution filed 07/02/2010,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-HJR-HHH
10hjr0III,HJR III of 2010,NA,NA,2009-2010,HJR,Labor,public service employment,"Labor; public service employment; constitutional amendment for salary reduction for public employees and temporary pay freeze; provide for. Amends sec. 10, art. I, secs. 12 & 48, art. IV, sec. 23, art. V, secs. 3 & 18, art. VI, sec. 9, art. VII, secs. 5, 6 & 7, art. VIII & sec. 5, art. XI & adds sec. 8 to art. XI of the state constitution.Last Action: printed joint resolution filed 08/25/2010",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-HJR-III
10hjr0JJJ,HJR JJJ of 2010,NA,NA,2009-2010,HJR,Sales tax,collections,"Sales tax; collections; local option for a sales tax increase; allow, and earmark revenue into a transportation fund. Amends secs. 8 & 9, art. IX of the state constitution.Last Action: printed joint resolution filed 08/25/2010",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-HJR-JJJ
10hjr0KKK,HJR KKK of 2010,NA,NA,2009-2010,HJR,Legislature,other,"Legislature; other; requirement that bills be reported or discharged from committee and any changes be made available to members for 3 days prior to passage; provide for. Amends sec. 26, art. IV of the state constitution.Last Action: printed joint resolution filed 09/02/2010",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-HJR-KKK
10hjr0LLL,HJR LLL of 2010,NA,NA,2009-2010,HJR,Transportation,other,"Transportation; other; definition of ""instrumentality of government""; provide for in regard to public-private partnerships. Amends sec. 5, art. III of the state constitution.Last Action: printed joint resolution filed 09/16/2010",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-HJR-LLL
10hjr0MMM,HJR MMM of 2010,NA,NA,2009-2010,HJR,Constitutional amendments,federal,Constitutional amendments; federal; petitioning congress to call a convention to propose amendments to the constitution of the United States to require a balanced federal budget and to limit the federal government's power under the commerce clause; provide for. See joint resolution.Last Action: printed joint resolution filed 09/16/2010,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2010-HJR-MMM
