doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url
13hjr000A,HJR A of 2013,NA,NA,2013-2014,HJR,Legislature,legislators,"Legislature; legislators; health care benefits for legislators; modify, and modify salaries and expense allowances of members of the legislature. Amends sec. 12, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: printed joint resolution filed 01/10/2013",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-HJR-A
13sjr000A,SJR A of 2013,NA,NA,2013-2014,SJR,Sales tax,rate,"Sales tax; rate; increase of sales tax; provide for and revise distribution. Amends sec. 8, art. IX of the state constitution.Last Action: RECONSIDER VOTE POSTPONED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SJR-A
13sjr000B,SJR B of 2013,NA,NA,2013-2014,SJR,Legislature,other,"Legislature; other; time period that legislature may meet; limit. Amends sec. 13, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SJR-B
13hjr000B,HJR B of 2013,NA,NA,2013-2014,HJR,Individual income tax,rate,"Individual income tax; rate; graduated income tax; provide for. Amends sec. 7, art. IX  of the state constitution.Last Action: printed joint resolution filed 01/23/2013",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-HJR-B
13sjr000C,SJR C of 2013,NA,NA,2013-2014,SJR,Legislature,other,"Legislature; other; appropriation bills subject to referendum; clarify. Amends sec. 9, art. II of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SJR-C
13hjr000C,HJR C of 2013,NA,NA,2013-2014,HJR,Constitutional amendments,state,"Constitutional amendments; state; equal amount of per pupil funding for all local school districts; ensure by certain date. Amends sec. 11, art. IX of the state constitution.Last Action: printed joint resolution filed 01/30/2013",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-HJR-C
13hjr000D,HJR D of 2013,NA,NA,2013-2014,HJR,Legislature,legislators,"Legislature; legislators; part-time legislature, reduction of legislators' salaries and certain health care benefits and reduced compensation for absences from legislative session, and limit on legislative budget; provide for. Amends secs. 12 & 13, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: printed joint resolution filed 01/31/2013",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-HJR-D
13sjr000D,SJR D of 2013,NA,NA,2013-2014,SJR,Legislature,other,"Legislature; other; budget process; require legislature to present all general appropriation bills to the governor 90 days before the start of a fiscal period and require forfeiture of certain legislators' salaries for failure to present those bills by that date. Amends sec. 31, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON REFORMS, RESTRUCTURING AND REINVENTING",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SJR-D
13sjr000E,SJR E of 2013,NA,NA,2013-2014,SJR,Legislature,sessions,"Legislature; sessions; part-time legislature; provide for. Amends sec. 13, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON REFORMS, RESTRUCTURING AND REINVENTING",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SJR-E
13hjr000E,HJR E of 2013,NA,NA,2013-2014,HJR,Legislature,other,"Legislature; other; appropriation bills subject to referendum; modify. Amends sec. 9, art. II of the state constitution.Last Action: printed joint resolution filed 01/31/2013",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-HJR-E
