doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url
15scr0001,SCR 0001 of 2015,NA,NA,2015-2016,SCR,NA,NA,"A concurrent resolution granting authority for adjournment for more than 2 days.Last Action: REFERRED TO SECRETARY FOR RECORD",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SCR-0001
15hcr0001,HCR 0001 of 2015,NA,NA,2015-2016,HCR,NA,NA,"A concurrent resolution to support the Marquette County Road Commission’s appeal of the U.S. Environmental Protection Agency’s objection to the planned construction of County Road 595.Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HCR-0001
15hcr0002,HCR 0002 of 2015,NA,NA,2015-2016,HCR,NA,NA,"A concurrent resolution to encourage the U.S. Congress to reauthorize the Older Americans Act.Last Action: referred to Committee on Families, Children, and Seniors",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HCR-0002
15scr0002,SCR 0002 of 2015,NA,NA,2015-2016,SCR,NA,NA,A concurrent resolution prescribing the Joint Convention Rules for the Legislature.Last Action: REFERRED TO SECRETARY FOR RECORD,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SCR-0002
15scr0003,SCR 0003 of 2015,NA,NA,2015-2016,SCR,NA,NA,A concurrent resolution providing for a joint convention of the Senate and House of Representatives.Last Action: REFERRED TO SECRETARY FOR RECORD,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SCR-0003
15hcr0003,HCR 0003 of 2015,NA,NA,2015-2016,HCR,NA,NA,"A concurrent resolution to urge the U.S. Department of Defense Missile Defense Agency to select the Fort Custer Training Center as the location for a new ground based interceptor ballistic missile defense mission.Last Action: PLACED ON ORDER OF RESOLUTIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HCR-0003
15hcr0004,HCR 0004 of 2015,NA,NA,2015-2016,HCR,NA,NA,"A concurrent resolution to memorialize the President of the United States, the U.S. Congress, and the U.S. Federal Communications Commission to stand firm on the decision to regulate broadband Internet services as common carrier services under Title II of the Communications Act of 1934 in the interest of preserving net neutrality.Last Action: referred to Committee on Communications and Technology",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HCR-0004
15scr0004,SCR 0004 of 2015,NA,NA,2015-2016,SCR,NA,NA,"A concurrent resolution to urge the U.S. Congress to override the President of the United States' veto of the Keystone XL pipeline application legislation and to encourage members of the U.S. Congress who did not originally support the legislation to vote in favor of it.Last Action: referred to Committee on Energy Policy",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SCR-0004
15scr0005,SCR 0005 of 2015,NA,NA,2015-2016,SCR,NA,NA,"A concurrent resolution to request the United States Congress to enact legislation and the U.S. Department of Health and Human Services to promulgate rules that would promote the opportunity for consumers to choose Direct Primary Care Services as an integral part of their health care plan.Last Action: referred to Committee on Health Policy",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SCR-0005
15hcr0005,HCR 0005 of 2015,NA,NA,2015-2016,HCR,NA,NA,"A concurrent resolution prescribing the Joint Rules of the House of Representatives and Senate.Last Action: adopted by Senate - referred to the Clerk for record",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HCR-0005
15hcr0006,HCR 0006 of 2015,NA,NA,2015-2016,HCR,NA,NA,"A concurrent resolution to disapprove Executive Order No. 2015-4, creating the Department of Health and Human Services.Last Action: referred to Committee on Appropriations",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HCR-0006
15scr0006,SCR 0006 of 2015,NA,NA,2015-2016,SCR,NA,NA,"A concurrent resolution to memorialize the Congress of the United States to appropriate funds from the Nuclear Waste Fund for the establishment of a permanent repository for high-level nuclear waste or reimburse electric utility customers who paid into the fund.Last Action: REFERRED TO SECRETARY FOR RECORD",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SCR-0006
15scr0007,SCR 0007 of 2015,NA,NA,2015-2016,SCR,NA,NA,"A concurrent resolution to memorialize the Congress of the United States to ensure a safe and permanent location to store nuclear waste and to refer the issue of locating nuclear waste repositories in the Great Lakes basin to the International Joint Commission.Last Action: REFERRED TO COMMITTEE ON ENERGY AND TECHNOLOGY",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SCR-0007
15hcr0007,HCR 0007 of 2015,NA,NA,2015-2016,HCR,NA,NA,"A concurrent resolution to urge the United States Department of Veterans Affairs and the United States Congress to create a pilot program in Michigan instituting a flexible Veterans Choice Card system structured similar to a traditional health care program for all veterans in Michigan.Last Action: Senate substitute S-1 concurred in",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HCR-0007
15hcr0008,HCR 0008 of 2015,NA,NA,2015-2016,HCR,NA,NA,"A concurrent resolution to memorialize the President and Congress of the United States to take a comprehensive, sustainable, and workable approach that allows states to tax remote purchases made by consumers of their state.Last Action: referred to Committee on Commerce and Trade",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HCR-0008
15scr0008,SCR 0008 of 2015,NA,NA,2015-2016,SCR,NA,NA,"A concurrent resolution to urge the U.S. Department of Energy and the U.S. Nuclear Regulatory Commission to fulfill their obligation to establish a permanent repository for high-level nuclear waste.Last Action: REFERRED TO SECRETARY FOR RECORD",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SCR-0008
15scr0009,SCR 0009 of 2015,NA,NA,2015-2016,SCR,NA,NA,"A concurrent resolution to urge the U.S. Department of Defense, Missile Defense Agency to select the Fort Custer Training Center as the location for a new ground-based interceptor ballistic missile defense mission.Last Action: referred to Committee on Military and Veterans Affairs",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SCR-0009
15hcr0009,HCR 0009 of 2015,NA,NA,2015-2016,HCR,NA,NA,"A concurrent resolution urging the United States President to request that the Secretary of State invoke the participation of the International Joint Commission under Article IX, Article X, or both of the Boundary Waters Treaty to evaluate the proposed underground nuclear waste repository in Ontario, Canada and similar facilities and urging the United States Congress to support the request.Last Action: referred to Committee on Energy Policy",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HCR-0009
15hcr0010,HCR 0010 of 2015,NA,NA,2015-2016,HCR,NA,NA,"A concurrent resolution to memorialize the United States Congress to oppose the construction of an underground nuclear waste repository in Ontario, Canada and to urge Canadian officials to find alternatives to Ontario Power Generation's proposal to bury nuclear waste in the Great Lakes basin.Last Action: referred to Committee on Energy Policy",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HCR-0010
15scr0010,SCR 0010 of 2015,NA,NA,2015-2016,SCR,NA,NA,A concurrent resolution prescribing the legislative schedule.Last Action: REFERRED TO SECRETARY FOR RECORD,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SCR-0010
15scr0011,SCR 0011 of 2015,NA,NA,2015-2016,SCR,NA,NA,"A concurrent resolution to urge the Congress of the United States to restore Great Lakes Restoration Initiative funding to $300 million for fiscal year 2016.Last Action: referred to Committee on Natural Resources",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SCR-0011
