doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url
07sjr000F,SJR F of 2007,NA,NA,2007-2008,SJR,Legislature,legislators,"Legislature; legislators; legislator called for active military duty; constitutional amendment to establish temporary replacement. Amends sec. 8, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SJR-F
07hjr000F,HJR F of 2007,NA,NA,2007-2008,HJR,Criminal procedure,sentencing,"Criminal procedure; sentencing; capital punishment for first degree murder; provide for. Amends sec. 46, art. IV of the state constitution.Last Action: printed joint resolution filed 03/15/2007",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-F
07hjr000G,HJR G of 2007,NA,NA,2007-2008,HJR,Courts,circuit court,Courts; circuit court; election of a chief circuit judge in certain judicial circuits; amend constitution to provide for. Adds sec. 12a to  art. VI of the state constitution.Last Action: printed joint resolution filed 03/21/2007,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-G
07sjr000G,SJR G of 2007,NA,NA,2007-2008,SJR,Higher education,state universities,"Higher education; state universities; classifying certain active duty military and their dependents residents for determining tuition; require. Amends secs. 5 & 6, art. VIII of the state constitution.Last Action: REFERRED TO COMMITTEE ON SENIOR CITIZENS AND VETERANS AFFAIRS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SJR-G
07sjr000H,SJR H of 2007,NA,NA,2007-2008,SJR,Legislature,auditor general,"Legislature; auditor general; auditor general to audit local units of government and public intermediate and local school districts; allow. Amends sec. 53, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SJR-H
07hjr000H,HJR H of 2007,NA,NA,2007-2008,HJR,Legislature,legislators,"Legislature; legislators; part-time legislature; provide for. Amends secs. 12 & 13, art IV & adds sec. 55 to art. IV & sec. 43 to art. IX of the state constitution.Last Action: printed joint resolution filed 03/21/2007",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-H
07sjr000I,SJR I of 2007,NA,NA,2007-2008,SJR,Legislature,other,"Legislature; other; repeal of unconstitutional provisions; provide for. Amends sec. 11, art. I, secs. 1 & 6, art. II, secs. 2 & 3, art. IV, sec. 2, art. VIII & sec. 6, art. IX & repeals sec. 10, art. II, secs. 4, 5 & 6, art. IV & sec. 7, art. VII of the state constitution.Last Action: referred to Committee on Judiciary",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SJR-I
07hjr000I,HJR I of 2007,NA,NA,2007-2008,HJR,Criminal procedure,bail,"Criminal procedure; bail; no-bond violations; expand to include attempted murder. Amends sec. 15, art. I of the state constitution.Last Action: printed joint resolution filed 03/30/2007",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-I
07hjr000J,HJR J of 2007,NA,NA,2007-2008,HJR,Property tax,assessments,"Property tax; assessments; 3-year adjustment following transfer of ownership; provide for. Amends sec. 3, art. IX of the state constitution.Last Action: printed joint resolution filed 04/06/2007",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-J
07sjr000J,SJR J of 2007,NA,NA,2007-2008,SJR,State,other,"State; other; investing by certain institutions of higher education, political subdivisions, and other public bodies with companies doing business with certain countries that support international terrorism; prohibit in state constitution. Amends secs. 5 & 6, art. VIII & sec. 19, art. IX of the state constitution.Last Action: referred to Committee on Government Operations",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SJR-J
07hjr000K,HJR K of 2007,NA,NA,2007-2008,HJR,Higher education,state universities,"Higher education; state universities; guaranteed admission if student is in the top 10% of his or her graduating class; provide for. Amends secs. 5 & 6, art. VIII & adds sec. 10 to art. VIII of the state constitution.Last Action: printed joint resolution filed 04/13/2007",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-K
07hjr000L,HJR L of 2007,NA,NA,2007-2008,HJR,Sales tax,rate,"Sales tax; rate; tax rate; revise and prohibit certain other taxes. Amends secs. 3, 7, 8, 10 & 11, art. IX & adds sec. 43 to art. IX of the state constitution.Last Action: printed joint resolution filed 05/09/2007",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HJR-L
