doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url
07sr0001,SR 0001 of 2007,NA,NA,2007-2008,SR,NA,NA,A resolution notifying the Governor and the House of Representatives that the Senate is ready to proceed with the business of the session.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SR-0001
07hr0001,HR 0001 of 2007,NA,NA,2007-2008,HR,NA,NA,"A resolution prescribing the Standing Rules of the House of Representatives.
Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HR-0001
07hr0002,HR 0002 of 2007,NA,NA,2007-2008,HR,NA,NA,A resolution to provide for officers of the House of Representatives for the Ninety-fourth Legislature.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HR-0002
07sr0002,SR 0002 of 2007,NA,NA,2007-2008,SR,NA,NA,A resolution for the adoption of the Standing Rules of the Senate.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SR-0002
07sr0003,SR 0003 of 2007,NA,NA,2007-2008,SR,NA,NA,"A resolution of tribute offered as a memorial for Gerald R. Ford, the 38th President of the United States.

Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SR-0003
07hr0003,HR 0003 of 2007,NA,NA,2007-2008,HR,NA,NA,A resolution to provide for the Clerk of the House of Representatives for the Ninety-fourth Legislature.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HR-0003
07hr0004,HR 0004 of 2007,NA,NA,2007-2008,HR,NA,NA,A resolution fixing the hour for daily sessions.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HR-0004
07sr0004,SR 0004 of 2007,NA,NA,2007-2008,SR,NA,NA,A resolution honoring Charles Thornhill.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SR-0004
07sr0005,SR 0005 of 2007,NA,NA,2007-2008,SR,NA,NA,"A resolution recognizing January 28, 2007 - February 3, 2007, as Catholic Schools Week in the state of Michigan.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SR-0005
07hr0005,HR 0005 of 2007,NA,NA,2007-2008,HR,NA,NA,A resolution directing the Clerk to notify the Governor that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HR-0005
07hr0006,HR 0006 of 2007,NA,NA,2007-2008,HR,NA,NA,A resolution directing the Clerk to notify the Senate that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HR-0006
07sr0006,SR 0006 of 2007,NA,NA,2007-2008,SR,NA,NA,A resolution honoring Herman C. Coleman in memory of a lifetime of service to the state of Michigan and his service at the national level.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SR-0006
07sr0007,SR 0007 of 2007,NA,NA,2007-2008,SR,NA,NA,"A resolution proclaiming February 2, 2007, as Wear Red for Women Day.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SR-0007
07hr0007,HR 0007 of 2007,NA,NA,2007-2008,HR,NA,NA,"A resolution of tribute offered as a memorial for President Gerald R. Ford.

Last Action: adopted by unanimous standing vote",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HR-0007
07hr0008,HR 0008 of 2007,NA,NA,2007-2008,HR,NA,NA,"A resolution to commemorate February 2, 2007, as Give Kids a Smile Day in the state of Michigan.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-HR-0008
07sr0008,SR 0008 of 2007,NA,NA,2007-2008,SR,NA,NA,"A resolution to memorialize the United States Congress, the Department of Energy, and the Nuclear Regulatory Commission to work diligently to open the Yucca Mountain Federal Repository for high-level radioactive waste so that the Michigan Department of Natural Resources can acquire and use the former site of the Big Rock Point nuclear power plant for park and recreation purposes in a safe manner.

Last Action: REFERRED TO COMMITTEE ON ENERGY POLICY",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SR-0008
