doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url,is_current_session
11hjr000A,HJR A of 2011,NA,NA,2011-2012,HJR,Legislature,legislators,"Legislature; legislators; legislative salaries; modify. Amends sec. 12, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: printed joint resolution filed 01/14/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-A,FALSE
11sjr000A,SJR A of 2011,NA,NA,2011-2012,SJR,State financing and management,budget,"State financing and management; budget; constitutional amendment to limit the budget and make certain deposits; modify. Amends sec. 31, art. IV & sec. 18, art. V of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SJR-A,FALSE
11sjr000B,SJR B of 2011,NA,NA,2011-2012,SJR,Labor,public service employment,"Labor; public service employment; constitutional amendment for salary reduction for public employees and temporary pay freeze; provide for. Amends sec. 10, art. I, secs. 12 & 48, art. IV, sec. 23, art. V, secs. 3 & 18, art. VI, sec. 9, art. VII, secs. 5, 6 & 7,  art. VIII & sec. 5, art. XI & adds sec. 9 to art. XI of the state constitution.Last Action: REFERRED TO COMMITTEE ON REFORMS, RESTRUCTURING AND REINVENTING",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SJR-B,FALSE
11hjr000B,HJR B of 2011,NA,NA,2011-2012,HJR,Natural resources,gas and oil,"Natural resources; gas and oil; distribution from sale of oil and gas leases on state property; modify. Amends sec. 35, art. IX of the state constitution.Last Action: printed joint resolution filed 01/14/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-B,FALSE
11hjr000C,HJR C of 2011,NA,NA,2011-2012,HJR,Legislature,legislators,"Legislature; legislators; term limits; revise to combination of 14 years' total legislative service. Amends sec. 54, art. IV of the state constitution.Last Action: printed joint resolution filed 01/14/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-C,FALSE
11sjr000C,SJR C of 2011,NA,NA,2011-2012,SJR,Labor,civil service employment,Labor; civil service employment; health benefits of public employees and officers; allow legislature to regulate. Amends the state constitution by adding sec. 9 to art. XI.Last Action: postponed for the day,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SJR-C,FALSE
11sjr000D,SJR D of 2011,NA,NA,2011-2012,SJR,Public employees and officers,other,"Public employees and officers; other; constitutional amendment creating the independent redistricting commission; provide for. Amends secs. 2, 3 & 6, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SJR-D,FALSE
11hjr000D,HJR D of 2011,NA,NA,2011-2012,HJR,Higher education,tuition,"Higher education; tuition; in-state tuition rates of state universities; limit increases based on CPI in state constitution. Amends secs. 5 & 6, art. VIII & adds sec. 10 to art. VIII of the state constitution.Last Action: printed joint resolution filed 01/14/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-D,FALSE
11hjr000E,HJR E of 2011,NA,NA,2011-2012,HJR,Legislature,other,"Legislature; other; budget process; provide for presentation of two fiscal period budgets, modify fiscal year date, revise amount appropriated in a fiscal year, and establish certain policies for revenue estimating conferences. Amends sec. 31, art. IV & sec. 18, art. V of the state constitution.Last Action: printed joint resolution filed 01/14/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-E,FALSE
11sjr000E,SJR E of 2011,NA,NA,2011-2012,SJR,Legislature,other,"Legislature; other; budget process; require legislature to present all general appropriation bills to the governor by July 1 and require forfeiture of legislators' salaries for failure to present those bills by that date. Amends sec. 31, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE OF THE WHOLE WITH SUBSTITUTE S-1",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SJR-E,FALSE
11sjr000F,SJR F of 2011,NA,NA,2011-2012,SJR,Human services,services or financial assistance,"Human services; services or financial assistance; illegal aliens collecting public assistance; prohibit. Amends the state constitution by adding sec. 28 to art. I.Last Action: REFERRED TO COMMITTEE ON REFORMS, RESTRUCTURING AND REINVENTING",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SJR-F,FALSE
11hjr000F,HJR F of 2011,NA,NA,2011-2012,HJR,Sales tax,rate,"Sales tax; rate; lowering sales and use tax rate and applying sales tax to services; amend constitution to provide for. Amends secs. 8, 10 & 11, art. IX of the state constitution.Last Action: printed joint resolution filed 01/19/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-F,FALSE
11hjr000G,HJR G of 2011,NA,NA,2011-2012,HJR,Legislature,other,"Legislature; other; budget process; require legislature to present all general appropriation bills to the governor by July 1 and require forfeiture of legislator's salaries for failure to present those bills by the target date. Amends sec. 31, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: printed joint resolution filed 01/27/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-G,FALSE
11sjr000G,SJR G of 2011,NA,NA,2011-2012,SJR,Legislature,legislative agencies,"Legislature; legislative agencies; fiscal impact statement; prohibit bill from being considered until house and senate fiscal agencies have prepared. Amends sec. 26, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SJR-G,FALSE
11sjr000H,SJR H of 2011,NA,NA,2011-2012,SJR,Natural resources,hunting,"Natural resources; hunting; hunting, trapping, and fishing as a constitutional right; establish. Amends the state constitution by adding sec. 28 to art. I.Last Action: REFERRED TO COMMITTEE ON OUTDOOR RECREATION AND TOURISM",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SJR-H,FALSE
11hjr000H,HJR H of 2011,NA,NA,2011-2012,HJR,Legislature,legislators,"Legislature; legislators; part-time legislature, term limits extension, and budget presentation to the governor by a certain date; provide for. Amends secs. 13, 31 & 54, art. IV of the state constitution.Last Action: printed joint resolution filed 01/27/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-H,FALSE
11sjr000I,SJR I of 2011,NA,NA,2011-2012,SJR,Labor,collective bargaining,Labor; collective bargaining; constitutional right to collective bargaining; create. Amends the state constitution by adding sec. 28 to art. I.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SJR-I,FALSE
11hjr000I,HJR I of 2011,NA,NA,2011-2012,HJR,Legislature,other,"Legislature; other; 2-year budget process; establish. Amends sec. 31, art. IV, secs. 11, 14, 24, 26, 27, 28, 35, 35a & 40, art. IX & sec. 5, art. XI of the state constitution.Last Action: printed joint resolution filed 01/27/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-I,FALSE
11hjr000J,HJR J of 2011,NA,NA,2011-2012,HJR,Legislature,other,"Legislature; other; budget process; require legislature to present budgets to governor by July 1 and require forfeiture of legislators' salaries for failure to present those bills by that date. Amends sec. 31, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: printed joint resolution filed 02/16/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-J,FALSE
11sjr000J,SJR J of 2011,NA,NA,2011-2012,SJR,Income tax,rate,"Income tax; rate; graduated state income tax; provide for. Amends sec. 7, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON FINANCE",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SJR-J,FALSE
11sjr000K,SJR K of 2011,NA,NA,2011-2012,SJR,Sales tax,other,"Sales tax; other; local sales tax; authorize under certain circumstances. Amends sec. 8, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON FINANCE",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SJR-K,FALSE
11hjr000K,HJR K of 2011,NA,NA,2011-2012,HJR,Legislature,legislative agencies,"Legislature; legislative agencies; fiscal impact statement; prohibit bill from being considered until house and senate fiscal agencies have prepared. Amends sec. 26, art. IV of the state constitution.Last Action: printed joint resolution filed 02/18/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-K,FALSE
11hjr000L,HJR L of 2011,NA,NA,2011-2012,HJR,Income tax,rate,"Income tax; rate; graduated income tax; provide for. Amends sec. 7, art. IX of the state constitution.Last Action: printed joint resolution filed 02/25/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-L,FALSE
11sjr000L,SJR L of 2011,NA,NA,2011-2012,SJR,Legislature,sessions,"Legislature; sessions; part-time legislature; provide for. Amends sec. 13, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SJR-L,FALSE
11sjr000M,SJR M of 2011,NA,NA,2011-2012,SJR,Constitutional amendments,state,"Constitutional amendments; state; permissible uses of state school aid fund; revise. Amends sec. 11, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SJR-M,FALSE
11hjr000M,HJR M of 2011,NA,NA,2011-2012,HJR,Legislature,legislators,"Legislature; legislators; vacancy in state senate or house of representatives; allow governor to appoint successor in certain circumstances. Amends sec. 13, art. V of the state constitution.Last Action: printed joint resolution filed 03/02/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-M,FALSE
11hjr000N,HJR N of 2011,NA,NA,2011-2012,HJR,NA,NA,State agencies (existing); civil service; civil service commission; abolish. Amends the state constitution by repealing sec. 5 of art. XI.Last Action: printed joint resolution filed 03/02/2011,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-N,FALSE
11sjr000N,SJR N of 2011,NA,NA,2011-2012,SJR,Sales tax,rate,"Sales tax; rate; increase of sales tax; provide for and revise distribution. Amends sec. 8, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON FINANCE",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SJR-N,FALSE
