doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url,is_current_session
21sjr000A,SJR A of 2021,NA,NA,2021-2022,SJR,Constitutional amendments,state,"Constitutional amendments: state; permissible uses of school aid funds; revise. Amends sec. 11, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SJR-A,FALSE
21hjr000A,HJR A of 2021,NA,NA,2021-2022,HJR,Legislature,legislators,"Legislature: legislators; requirements for bill passage; modify. Amends sec. 26, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-HJR-A,FALSE
21hjr000B,HJR B of 2021,NA,NA,2021-2022,HJR,Legislature,sessions,Legislature: sessions; sine die; establish as the Friday before the first Monday in November in an even numbered year.Last Action: joint resolution electronically reproduced 01/26/2021,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-HJR-B,FALSE
21sjr000B,SJR B of 2021,NA,NA,2021-2022,SJR,Constitutional amendments,state,"Constitutional amendments: state; equal amount of per pupil revenue for school operating purposes for all local school districts; ensure by certain date. Amends sec. 11, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SJR-B,FALSE
21sjr000C,SJR C of 2021,NA,NA,2021-2022,SJR,Individual income tax,rate,"Individual income tax: rate; graduated income tax; allow. Amends sec. 7, art. IX of the state constitution. Last Action: REFERRED TO COMMITTEE ON FINANCE",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SJR-C,FALSE
21hjr000C,HJR C of 2021,NA,NA,2021-2022,HJR,Constitutional amendments,state,"Constitutional amendments: state; state board of education, superintendent of public instruction, and state board for public community and junior colleges; eliminate, and provide for a governor-appointed department director. Amends secs. 3 & 7, art. VIII of the state constitution.Last Action: joint resolution electronically reproduced 02/10/2021",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-HJR-C,FALSE
21hjr000D,HJR D of 2021,NA,NA,2021-2022,HJR,Legislature,legislators,"Legislature: legislators; legislator pay, term limits, and requirements for bill passage; modify. Amends secs. 16 & 27, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-HJR-D,FALSE
21sjr000D,SJR D of 2021,NA,NA,2021-2022,SJR,Legislature,sessions,"Legislature: sessions; legislature to conduct session and committee meetings remotely; allow during certain emergencies. Amends secs. 13, 14, 17, 20 & 21, art. IV of the state constitution. Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SJR-D,FALSE
21sjr000E,SJR E of 2021,NA,NA,2021-2022,SJR,Legislature,sessions,"Legislature: sessions; sine die; establish as the Friday before the first Monday in November in an even numbered year, with certain exceptions allowed. Amends secs. 13 & 26, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SJR-E,FALSE
21hjr000E,HJR E of 2021,NA,NA,2021-2022,HJR,Legislature,other,Legislature: other; application for a convention of the states under article V of the United States Constitution; provide for.Last Action: joint resolution electronically reproduced 04/27/2021,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-HJR-E,FALSE
