doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url,is_current_session
05sr0001,SR 0001 of 2005,NA,NA,2005-2006,SR,NA,NA,A resolution notifying the Governor and the House of Representatives that the Senate is ready to proceed with the business of the session.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-SR-0001,FALSE
05hr0001,HR 0001 of 2005,NA,NA,2005-2006,HR,NA,NA,A resolution prescribing the Standing Rules of the House of Representatives.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-HR-0001,FALSE
05hr0002,HR 0002 of 2005,NA,NA,2005-2006,HR,NA,NA,A resolution to provide for officers of the House of Representatives for the Ninety-third Legislature.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-HR-0002,FALSE
05sr0002,SR 0002 of 2005,NA,NA,2005-2006,SR,NA,NA,A resolution for the adoption of the Standing Rules of the Senate.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-SR-0002,FALSE
05sr0003,SR 0003 of 2005,NA,NA,2005-2006,SR,NA,NA,A resolution to memorialize the President and the Congress of the United States to investigate the recidivism rate in prisons and to consider the Second Chance Program as a rehabilitation model.Last Action: REFERRED TO COMMITTEE ON JUDICIARY,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-SR-0003,FALSE
05hr0003,HR 0003 of 2005,NA,NA,2005-2006,HR,NA,NA,A resolution to provide for the Clerk of the House of Representatives for the Ninety-third Legislature.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-HR-0003,FALSE
05hr0004,HR 0004 of 2005,NA,NA,2005-2006,HR,NA,NA,A resolution fixing the hour for daily sessions.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-HR-0004,FALSE
05sr0004,SR 0004 of 2005,NA,NA,2005-2006,SR,NA,NA,A resolution to memorialize the United States Senate and Michigan's United States Senators to hold confirmation hearings and to have a vote by the full Senate on the Michigan nominees to the United States Sixth Circuit Court of Appeals.Last Action: REFERRED TO COMMITTEE ON JUDICIARY,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-SR-0004,FALSE
05sr0005,SR 0005 of 2005,NA,NA,2005-2006,SR,NA,NA,A resolution to memorialize the Congress of the United States not to impose taxes on credit unions.Last Action: REFERRED TO COMMITTEE ON BANKING AND FINANCIAL INSTITUTIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-SR-0005,FALSE
05hr0005,HR 0005 of 2005,NA,NA,2005-2006,HR,NA,NA,A resolution directing the Clerk to notify the Governor that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-HR-0005,FALSE
05hr0006,HR 0006 of 2005,NA,NA,2005-2006,HR,NA,NA,A resolution directing the Clerk to notify the Senate that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-HR-0006,FALSE
05sr0006,SR 0006 of 2005,NA,NA,2005-2006,SR,NA,NA,A resolution honoring Healthy Marriages Grand Rapids and celebrating February 2005 as Marriage Month in Michigan.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-SR-0006,FALSE
05sr0007,SR 0007 of 2005,NA,NA,2005-2006,SR,NA,NA,"A resolution designating February, 23, 2005, as Rotary Day in Michigan in honor of Rotary International's centennial celebration.
Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED COSPONSORS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-SR-0007,FALSE
05hr0007,HR 0007 of 2005,NA,NA,2005-2006,HR,NA,NA,"A resolution of tribute offered as a memorial for Joe Forbes, former member of the House of Representatives.Last Action: adopted by unanimous standing vote",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-HR-0007,FALSE
05hr0008,HR 0008 of 2005,NA,NA,2005-2006,HR,NA,NA,"A resolution of tribute offered as a memorial for Frank M. Fitzgerald, former member of the House of Representatives.Last Action: adopted by unanimous standing vote",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-HR-0008,FALSE
05sr0008,SR 0008 of 2005,NA,NA,2005-2006,SR,NA,NA,"A resolution celebrating February 2005 as Marriage Month in Michigan.
Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-SR-0008,FALSE
05sr0009,SR 0009 of 2005,NA,NA,2005-2006,SR,NA,NA,"A resolution to express support for the mission of Rural Partners of Michigan and calling for increased investment in this work. 

Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-SR-0009,FALSE
05hr0009,HR 0009 of 2005,NA,NA,2005-2006,HR,NA,NA,"A resolution designating February 3, 2005, as Wear Red for Women Day in the state of Michigan.
Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-HR-0009,FALSE
05hr0010,HR 0010 of 2005,NA,NA,2005-2006,HR,NA,NA,"A resolution to commemorate February 2005 as National Cherry Month in the state of Michigan.
Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-HR-0010,FALSE
