doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url,is_current_session
23sjr000A,SJR A of 2023,NA,NA,2023-2024,SJR,Public employees and officers,other,Public employees and officers: other; certain state employee communications with members of the legislature; protect under certain circumstances. Amends the state constitution by adding sec. 9 to art. XI.Last Action: REFERRED TO COMMITTEE ON LABOR,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SJR-A,FALSE
23hjr000A,HJR A of 2023,NA,NA,2023-2024,HJR,Crimes,concealed weapons,"Crimes: concealed weapons; concealed carry on college campuses; allow. Amends secs. 5 & 6, art. VIII of the state constitution.Last Action: printed joint resolution filed 03/14/2023",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-HJR-A,FALSE
23hjr000B,HJR B of 2023,NA,NA,2023-2024,HJR,Constitutional amendments,state,Constitutional amendments: state; requirement for individual to wear a face mask to enter certain facility; prohibit. Amends the state constitution by adding sec. 29 to art. I.Last Action: printed joint resolution filed 05/16/2023,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-HJR-B,FALSE
23sjr000B,SJR B of 2023,NA,NA,2023-2024,SJR,Legislature,rules,"Legislature: rules; bills or initiative petitions to take effect upon the expiration of 90 days after the date they are filed with the secretary of state; provide for. Amends sec. 27, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SJR-B,FALSE
23sjr000C,SJR C of 2023,NA,NA,2023-2024,SJR,Legislature,other,"Legislature: other; legislative approval for rules created by state departments; require. Amends sec. 37, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SJR-C,FALSE
23hjr000C,HJR C of 2023,NA,NA,2023-2024,HJR,Health,abortion,"Health: abortion; right to reproductive freedom; repeal. Amends the state constitution by repealing sec. 28, art. I.Last Action: printed joint resolution filed 05/25/2023",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-HJR-C,FALSE
23hjr000D,HJR D of 2023,NA,NA,2023-2024,HJR,Constitutional amendments,state,"Constitutional amendments: state; state board of education; eliminate. Amends secs. 3 & 7, art. VIII to the state constitution.Last Action: printed joint resolution filed 06/08/2023",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-HJR-D,FALSE
23sjr000D,SJR D of 2023,NA,NA,2023-2024,SJR,Higher education,state universities,"Higher education: state universities; student admissions preferences based on certain familial relationships; prohibit. Amends secs. 5 & 6, art. VIII & adds sec. 10 to art. VIII of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SJR-D,FALSE
23sjr000E,SJR E of 2023,NA,NA,2023-2024,SJR,Higher education,governing boards,"Higher education: governing boards; gubernatorial appointment of regents, trustees, or board of governors for University of Michigan, Michigan State University, and Wayne State University; require. Amends sec. 5, art. VIII of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SJR-E,FALSE
23hjr000E,HJR E of 2023,NA,NA,2023-2024,HJR,Women,other,Women: other; women's bill of rights; provide for. Amends the state constitution by adding sec. 29 to art. I.Last Action: printed joint resolution filed 06/14/2023,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-HJR-E,FALSE
