doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url,is_current_session
15hjr000O,HJR O of 2015,NA,NA,2015-2016,HJR,Higher education,governing boards,"Higher education; governing boards; open meetings for university boards; require, and provide for public inspection of records. Amends sec. 4, art. VIII of the state constitution.Last Action: referred to second reading",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-O,FALSE
15hjr000P,HJR P of 2015,NA,NA,2015-2016,HJR,Legislature,legislative agencies,"Legislature; legislative agencies; fiscal impact statement; prohibit bill from being considered until house and senate fiscal agencies have prepared. Amends sec. 26, art. IV of the state constitution.Last Action: printed joint resolution filed 04/29/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-P,FALSE
15hjr000Q,HJR Q of 2015,NA,NA,2015-2016,HJR,Public employees and officers,state,"Public employees and officers; state; term limits for certain state elected officials; repeal. Repeals sec. 54, art. IV & sec. 30, art. V of the state constitution.Last Action: printed joint resolution filed 05/01/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-Q,FALSE
15hjr000R,HJR R of 2015,NA,NA,2015-2016,HJR,Legislature,other,"Legislature; other; legislature's ability to disapprove certain rules, regulations, or enforcement actions; provide for. Amends sec. 37, art. IV of the state constitution.Last Action: printed joint resolution filed 06/11/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-R,FALSE
15hjr000S,HJR S of 2015,NA,NA,2015-2016,HJR,Courts,judges,"Courts; judges; age limit for election of or appointment to a judicial office; increase to 75 years of age. Amends sec. 19, art. VI of the state constitution.Last Action: printed joint resolution filed 06/12/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-S,FALSE
15hjr000T,HJR T of 2015,NA,NA,2015-2016,HJR,Individual income tax,other,"Individual income tax; other; imposition of state income taxes on individuals and businesses; prohibit. Amends sec. 7, art. IX of the state constitution.Last Action: printed joint resolution filed 06/18/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-T,FALSE
15hjr000U,HJR U of 2015,NA,NA,2015-2016,HJR,Legislature,rules,"Legislature; rules; bills or initiative petitions to take effect upon the expiration of 90 days after the date they are filed with the secretary of state; provide for. Amends sec. 27, art. IV of the state constitution.Last Action: printed joint resolution filed 06/19/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-U,FALSE
15hjr000V,HJR V of 2015,NA,NA,2015-2016,HJR,Legislature,legislators,"Legislature; legislators; term limits; repeal. Amends sec. 54, art. IV of the state constitution.Last Action: printed joint resolution filed 06/19/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-V,FALSE
15hjr000W,HJR W of 2015,NA,NA,2015-2016,HJR,Legislature,legislators,"Legislature; legislators; term limits; revise to combination of 16 years' total legislative service. Amends sec. 54, art. IV of the state constitution.Last Action: printed joint resolution filed 06/19/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-W,FALSE
15hjr000X,HJR X of 2015,NA,NA,2015-2016,HJR,Legislature,legislators,"Legislature; legislators; term limits; revise to allow a member to serve nonconcurrent terms. Amends sec. 54, art. IV of the state constitution.Last Action: printed joint resolution filed 06/19/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-X,FALSE
15hjr000Y,HJR Y of 2015,NA,NA,2015-2016,HJR,Legislature,sessions,"Legislature; sessions; unicameral nonpartisan legislature; provide for. Amends sec. 9, art. II, sec. 8, art. III, secs. 1, 7, 8, 11, 12, 14, 16, 17, 18, 19, 20, 22, 24, 26, 27, 29, 30, 31, 33, 37, 43, 53 & 54, art. IV, secs. 2, 3, 6, 7, 13, 18, 20, 25, 26, 28 & 29, art. V, secs. 1 & 25, art. VI, sec. 6, art. VIII, secs. 15 & 27, art. IX, sec. 5, art. X, secs. 5 & 7, art. XI & secs. 1 & 3, art. XII; adds sec. 1a to art. IV & a schedule & temp. provisions & repeals secs. 2, 3, 4, 6 & 21, art. IV of the state constitution.Last Action: printed joint resolution filed 07/15/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-Y,FALSE
15hjr000Z,HJR Z of 2015,NA,NA,2015-2016,HJR,Insurance,exchanges,Insurance; exchanges; creation of an American health benefit exchange; prohibit. Amends the state constitution by adding sec. 55 to art. IV.Last Action: printed joint resolution filed 07/15/2015,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-Z,FALSE
15hjr00AA,HJR AA of 2015,NA,NA,2015-2016,HJR,Legislature,apportionment,"Legislature; apportionment; independent citizens redistricting commission; create. Amends secs. 2, 3 & 6, art. IV of the state constitution.Last Action: printed joint resolution filed 08/19/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-AA,FALSE
15hjr00BB,HJR BB of 2015,NA,NA,2015-2016,HJR,Legislature,other,Legislature; other; application for a convention of the states under article V of the United States constitution; provide for. Creates new bill.Last Action: printed joint resolution filed 08/21/2015,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-BB,FALSE
15hjr00CC,HJR CC of 2015,NA,NA,2015-2016,HJR,State financing and management,funds,"State financing and management; funds; percentage of federal funds allocated to state budget; modify. Amends sec. 28, art. IX of the state constitution.Last Action: printed joint resolution filed 09/10/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-CC,FALSE
15hjr00DD,HJR DD of 2015,NA,NA,2015-2016,HJR,Legislature,legislators,"Legislature; legislators; minimum age for state senators, state representatives, governor, and lieutenant governor; revise. Amends sec. 7, art. IV & sec. 22, art. V of the state constitution.Last Action: printed joint resolution filed 09/23/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-DD,FALSE
15hjr00EE,HJR EE of 2015,NA,NA,2015-2016,HJR,Elections,scheduling,"Elections; scheduling; election date for governor, attorney general, secretary of state, and state senate; modify. Amends sec. 2, art. IV  & sec. 21, art. V of the state constitution.Last Action: printed joint resolution filed 12/04/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-EE,FALSE
15hjr00FF,HJR FF of 2015,NA,NA,2015-2016,HJR,State financing and management,funds,"State financing and management; funds; appropriation bills subject to referendum; clarify. Amends sec. 9, art. II of the state constitution.Last Action: printed joint resolution filed 12/11/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-FF,FALSE
16sjr000O,SJR O of 2016,NA,NA,2015-2016,SJR,Controlled substances,marihuana,"Controlled substances; marihuana; legalization of marihuana; provide for. Amends sec. 40a, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON JUDICIARY",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2016-SJR-O,FALSE
16sjr000P,SJR P of 2016,NA,NA,2015-2016,SJR,Elections,other,Elections; other; special election to fill vacancy in office of lieutenant governor; provide for. Amends the state constitution by adding sec. 21a to art. V.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2016-SJR-P,FALSE
16sjr000Q,SJR Q of 2016,NA,NA,2015-2016,SJR,Constitutional amendments,state,Constitutional amendments; state; provision regarding filling a vacancy in the office of lieutenant governor; provide for. Amends the state constitution by adding sec. 21a to art. V.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2016-SJR-Q,FALSE
16sjr000R,SJR R of 2016,NA,NA,2015-2016,SJR,Elections,candidates,Elections; candidates; procedure for filling a vacancy in the office of state senator or state representative; revise under certain circumstances. Amends secs. 2 & 3 of art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2016-SJR-R,FALSE
16sjr000S,SJR S of 2016,NA,NA,2015-2016,SJR,Campaign finance,contributions and expenditures,Campaign finance; contributions and expenditures; petition Congress to propose amendments to Constitution to reverse Citizens United; provide for. Creates new joint resolution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2016-SJR-S,FALSE
16hjr00GG,HJR GG of 2016,NA,NA,2015-2016,HJR,Civil rights,equal protection,"Civil rights; equal protection; equal protection discrimination; expand. Amends sec. 2, art. I of the state constitution.Last Action: joint resolution electronically reproduced 04/12/2016",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2016-HJR-GG,FALSE
16hjr00HH,HJR HH of 2016,NA,NA,2015-2016,HJR,Constitutional amendments,state,"Constitutional amendments; state; state board of education, superintendent of public instruction, and state board for public community and junior colleges; eliminate, and provide for a governor-appointed department director. Amends secs. 3 & 7, art. VIII of the state constitution.Last Action: recommendation concurred in",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2016-HJR-HH,FALSE
16hjr00II,HJR II of 2016,NA,NA,2015-2016,HJR,Legislature,other,"Legislature; other; location of legislative offices; prohibit in same building as a lobbying office. Amends sec. 10, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 04/26/2016",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2016-HJR-II,FALSE
16hjr00JJ,HJR JJ of 2016,NA,NA,2015-2016,HJR,Legislature,sessions,"Legislature; sessions; session calendar; modify. Amends sec. 13, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 04/26/2016",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2016-HJR-JJ,FALSE
16hjr00KK,HJR KK of 2016,NA,NA,2015-2016,HJR,Legislature,rules,"Legislature; rules; time allowed when voting on bills in the house of representatives; limit. Amends sec. 26, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 04/27/2016",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2016-HJR-KK,FALSE
16hjr00LL,HJR LL of 2016,NA,NA,2015-2016,HJR,Taxation,other,"Taxation; other; taxpayers bill of rights in state constitution; establish. Amends sec. 28, art. IX of the state constitution.Last Action: join resolution electronically reproduced 05/17/2016",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2016-HJR-LL,FALSE
16hjr00MM,HJR MM of 2016,NA,NA,2015-2016,HJR,Public employees and officers,state,"Public employees and officers; state; constitutional authority for heads of principal departments to discipline employees; provide in cases of conduct negatively affecting departmental duties. Amends sec. 48, art. IV  & sec. 5, art. XI of the state constitution.Last Action: placed on third reading",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2016-HJR-MM,FALSE
16hjr00NN,HJR NN of 2016,NA,NA,2015-2016,HJR,Constitutional amendments,state,"Constitutional amendments; state; permissible uses of state school aid fund; revise. Amends sec. 11, art. IX of the state constitution.Last Action: joint resolution electronically reproduced 06/09/2016",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2016-HJR-NN,FALSE
16hjr00OO,HJR OO of 2016,NA,NA,2015-2016,HJR,Campaign finance,contributions and expenditures,Campaign finance; contributions and expenditures; Article V convention to propose an amendment to restrict independent political spending; petition Congress for. Petitions congress to propose amendment to Constitution of the United States.Last Action: joint resolution electronically reproduced 07/13/2016,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2016-HJR-OO,FALSE
16hjr00PP,HJR PP of 2016,NA,NA,2015-2016,HJR,Elections,voters,"Elections; voters; bill of rights for voters; establish. Amends sec. 4, art. II & adds sec. 1a to art. II of the state constitution.Last Action: joint resolution electronically reproduced 07/13/2016",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2016-HJR-PP,FALSE
16hjr00QQ,HJR QQ of 2016,NA,NA,2015-2016,HJR,Elections,primary,"Elections; primary; nomination process for lieutenant governor, secretary of state, attorney general, state board of education, university boards, and justices of the supreme court; modify. Amends sec. 21, art. V, sec. 2, art VI & secs. 3 & 5, art. VIII of the state constitution.Last Action: joint resolution electronically reproduced 09/07/2016",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2016-HJR-QQ,FALSE
16hjr00RR,HJR RR of 2016,NA,NA,2015-2016,HJR,Financial institutions,other,"Financial institutions; other; constitutional limitation on deposits of state money in financial institutions; exclude deposits in community bank of Michigan. Amends sec. 20, art. IX of the state constitution.Last Action: joint resolution electronically reproduced 09/08/2016",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2016-HJR-RR,FALSE
16hjr00SS,HJR SS of 2016,NA,NA,2015-2016,HJR,Constitutional amendments,state,"Constitutional amendments; state; permissible uses of state school aid fund under state constitution; revise. Amends sec. 11, art. IX of the state constitution.Last Action: joint resolution electronically reproduced 09/22/2016",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2016-HJR-SS,FALSE
16hjr00TT,HJR TT of 2016,NA,NA,2015-2016,HJR,Legislature,other,Legislature; other; constitutional amendment imposing term limits on members of congress; petition congress to call a convention. Petitions congress to propose amendment to constitution of United States.Last Action: joint resolution electronically reproduced 10/19/2016,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2016-HJR-TT,FALSE
16hjr00UU,HJR UU of 2016,NA,NA,2015-2016,HJR,Legislature,legislators,"Legislature; legislators; term limits; revise to combination of 14 years' total legislative service. Amends sec. 54, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 11/29/2016",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2016-HJR-UU,FALSE
16hjr00VV,HJR VV of 2016,NA,NA,2015-2016,HJR,Elections,candidates,"Elections; candidates; residency requirement for state senate and state representative candidates; modify. Amends sec. 7, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 12/01/2016",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2016-HJR-VV,FALSE
16hjr00WW,HJR WW of 2016,NA,NA,2015-2016,HJR,Campaign finance,contributions and expenditures,Campaign finance; contributions and expenditures; petition Congress to propose amendments to Constitution to reverse Citizens United; provide for. Creates new joint resolution.Last Action: joint resolution electronically reproduced 12/13/2016,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2016-HJR-WW,FALSE
