doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url,is_current_session
07sb0001,SB 0001 of 2007,07pa0100,PA 0100 of 2007,2007-2008,SB,Human services,medical services,"Human services; medical services; certain incentives for medicaid recipients; request a federal waiver to provide for. Amends 1939 PA 280 (MCL 400.1 - 400.119b) by adding sec. 105b.  TIE BAR WITH: HB 5194'07, HB 5198'07Last Action: ASSIGNED PA 0100'07 WITH IMMEDIATE EFFECT",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SB-0001,FALSE
07sb0002,SB 0002 of 2007,NA,NA,2007-2008,SB,Campaign finance,public disclosure,"Campaign finance; public disclosure; disclosure of committees that employ and registration of persons who make ""robocalls"" in campaigns; require. Amends sec. 6 of 1976 PA 388 (MCL 169.206) & adds sec. 48.Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SB-0002,FALSE
07sb0003,SB 0003 of 2007,NA,NA,2007-2008,SB,Elections,campaign practices,"Elections; campaign practices; do-not-call list for automated political telephone calls; provide for. Amends secs. 2, 5 & 11 of 1976 PA 388 (MCL 169.202 et seq.) & adds sec. 48.Last Action: referred to Committee on Ethics and Elections",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SB-0003,FALSE
07sb0004,SB 0004 of 2007,NA,NA,2007-2008,SB,Communications,cellular telephone,Communications; cellular telephone; customer consent to list numbers in a cell phone directory; require. Amends 1991 PA 179 (MCL 484.2101 - 484.2604) by adding sec. 360a.Last Action: REFERRED TO COMMITTEE ON HOMELAND SECURITY AND EMERGING TECHNOLOGIES,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SB-0004,FALSE
07sb0005,SB 0005 of 2007,NA,NA,2007-2008,SB,Health,occupations,Health; occupations; scope of practice for marriage and family therapists; clarify. Amends sec. 16901 of 1978 PA 368 (MCL 333.16901).Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SB-0005,FALSE
07sb0006,SB 0006 of 2007,NA,NA,2007-2008,SB,Criminal procedure,sentencing,"Criminal procedure; sentencing; sentencing individual convicted as a juvenile to imprisonment for life without parole eligibility; prohibit. Amends secs. 1 & 1b, ch. IX of 1927 PA 175 (MCL 769.1 & 769.1b).Last Action: REFERRED TO COMMITTEE ON JUDICIARY",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SB-0006,FALSE
07sb0007,SB 0007 of 2007,NA,NA,2007-2008,SB,Energy,conservation,Energy; conservation; appliance and equipment energy efficiency standards; establish. Creates new act.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SB-0007,FALSE
07sb0008,SB 0008 of 2007,NA,NA,2007-2008,SB,Environmental protection,permits,Environmental protection; permits; zoning compliance; require as a condition of issuance of wastewater permits. Amends sec. 3113 of 1994 PA 451 (MCL 324.3113).Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SB-0008,FALSE
07sb0009,SB 0009 of 2007,NA,NA,2007-2008,SB,Corrections,parole,"Corrections; parole; parole of certain juvenile offenders sentenced to imprisonment for life; allow. Amends sec. 34 of 1953 PA 232 (MCL 791.234).  TIE BAR WITH: SB 0006'07, SB 0028'07, SB 0040'07Last Action: REFERRED TO COMMITTEE ON JUDICIARY",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SB-0009,FALSE
07sb0010,SB 0010 of 2007,NA,NA,2007-2008,SB,Elections,voters,Elections; voters; election by mail; implement. Amends sec. 726 of 1954 PA 116 (MCL 168.726) & adds secs. 750a & 750b.Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SB-0010,FALSE
07sb0011,SB 0011 of 2007,NA,NA,2007-2008,SB,Education,attendance,Education; attendance; compulsory age for attendance; increase age to 18 and provide for certain alternative education options. Amends secs. 1561 & 1596 of 1976 PA 451 (MCL 380.1561 & 380.1596) & adds sec. 1591.Last Action: REFERRED TO COMMITTEE ON EDUCATION,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SB-0011,FALSE
07sb0012,SB 0012 of 2007,NA,NA,2007-2008,SB,Elections,absent voters,"Elections; absent voters; qualifications for voting absentee; eliminate. Amends secs. 758, 759 & 759b of 1954 PA 116 (MCL 168.758 et seq.).Last Action: DISCHARGE COMMITTEE POSTPONED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2007-SB-0012,FALSE
