doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url,is_current_session
11sr0001,SR 0001 of 2011,NA,NA,2011-2012,SR,NA,NA,A resolution notifying the Governor and the House of Representatives that the Senate is ready to proceed with the business of the session.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SR-0001,FALSE
11hr0001,HR 0001 of 2011,NA,NA,2011-2012,HR,NA,NA,A resolution prescribing the Standing Rules of the House of Representatives.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HR-0001,FALSE
11hr0002,HR 0002 of 2011,NA,NA,2011-2012,HR,NA,NA,A resolution to provide for the Clerk of the House of Representatives for the Ninety-sixth Legislature.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HR-0002,FALSE
11sr0002,SR 0002 of 2011,NA,NA,2011-2012,SR,NA,NA,A resolution for the adoption of the Standing Rules of the Senate.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SR-0002,FALSE
11sr0003,SR 0003 of 2011,NA,NA,2011-2012,SR,NA,NA,A resolution to decry the recent shooting in Tucson and to express the hope that this tragedy can unify our country.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SR-0003,FALSE
11hr0003,HR 0003 of 2011,NA,NA,2011-2012,HR,NA,NA,A resolution fixing the hour for daily sessions.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HR-0003,FALSE
11hr0004,HR 0004 of 2011,NA,NA,2011-2012,HR,NA,NA,A resolution directing the Clerk to notify the Governor that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HR-0004,FALSE
11sr0004,SR 0004 of 2011,NA,NA,2011-2012,SR,NA,NA,"A resolution proclaiming February 3, 2011, as Go Red for Women Day.Last Action:  ROLL CALL # 6 YEAS 38 NAYS 0 EXCUSED 0 NOT VOTING 0",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SR-0004,FALSE
11sr0005,SR 0005 of 2011,NA,NA,2011-2012,SR,NA,NA,A resolution to recognize February 2011 as Heart Health Awareness Month.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SR-0005,FALSE
11hr0005,HR 0005 of 2011,NA,NA,2011-2012,HR,NA,NA,A resolution directing the Clerk to notify the Senate that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HR-0005,FALSE
