doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url,is_current_session
22hb5815,HB 5815 of 2022,NA,NA,2021-2022,HB,Labor,collective bargaining,Labor: collective bargaining; public employer ceasing or subcontracting its operations; prohibit if done less than 1 year after its employees elect a bargaining representative. Amends sec. 10 of 1947 PA 336 (MCL 423.210).Last Action: bill electronically reproduced 02/23/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5815,FALSE
22hb5816,HB 5816 of 2022,NA,NA,2021-2022,HB,Labor,collective bargaining,Labor: collective bargaining; relocation of an employer's operations less than 1 year after its employees elect a bargaining representative; make an unfair labor practice. Amends sec. 23 of 1939 PA 176 (MCL 423.23) & adds sec. 18.Last Action: bill electronically reproduced 02/23/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5816,FALSE
22hb5817,HB 5817 of 2022,NA,NA,2021-2022,HB,Labor,collective bargaining,Labor: collective bargaining; status as permanent replacement employee; prohibit employees from offering or granting to certain individuals who work for the employer during a labor dispute. Amends sec. 16 of 1939 PA 176 (MCL 423.16).Last Action: bill electronically reproduced 02/23/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5817,FALSE
22hb5818,HB 5818 of 2022,NA,NA,2021-2022,HB,Labor,organizations,Labor: organizations; public employee contact information; require public employers to provide to bargaining representatives. Amends 1947 PA 336 (MCL 423.201 - 423.217) by adding sec. 11a.Last Action: bill electronically reproduced 02/23/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5818,FALSE
22hb5819,HB 5819 of 2022,NA,NA,2021-2022,HB,Labor,organizations,Labor: organizations; employee contact information; require employers to provide to bargaining representatives. Amends 1939 PA 176 (MCL 423.1 - 423.30) by adding sec. 29a.Last Action: bill electronically reproduced 02/23/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5819,FALSE
22hb5820,HB 5820 of 2022,NA,NA,2021-2022,HB,Labor,arbitration,Labor: arbitration; compulsory arbitration of labor disputes; expand to include all public employees. Amends title & secs. 1 & 2 of 1969 PA 312 (MCL 423.231 & 423.232) & adds sec. 15.  TIE BAR WITH: HJR O'22Last Action: bill electronically reproduced 02/23/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5820,FALSE
22hb5821,HB 5821 of 2022,NA,NA,2021-2022,HB,Health facilities,employees,"Health facilities: employees; use of state funds to discourage unionization; prohibit, and provide remedies for. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 20176b.Last Action: bill electronically reproduced 02/23/2022",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5821,FALSE
22hb5822,HB 5822 of 2022,NA,NA,2021-2022,HB,Worker's compensation,benefits,Worker's compensation: benefits; employee injured by a security team during labor strike; provide presumption of work-related injury. Amends 1969 PA 317 (MCL 418.101 - 418.941) by adding sec. 303.Last Action: bill electronically reproduced 02/23/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5822,FALSE
22hb5823,HB 5823 of 2022,NA,NA,2021-2022,HB,Labor,hours and wages,Labor: hours and wages; notice of tip credit laws; require certain employers to post. Amends sec. 7 of 2018 PA 337 (MCL 408.937).Last Action: bill electronically reproduced 02/23/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5823,FALSE
22hb5824,HB 5824 of 2022,NA,NA,2021-2022,HB,Public employees and officers,compensation and benefits,Public employees and officers: compensation and benefits; public employee domestic partner benefit restriction act; repeal. Repeals 2011 PA 297 (MCL 15.581 - 15.585).Last Action: bill electronically reproduced 02/23/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5824,FALSE
