doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url,is_current_session
21scr0001,SCR 0001 of 2021,NA,NA,2021-2022,SCR,NA,NA,A concurrent resolution granting authority for adjournment for more than 2 days.Last Action: REFERRED TO SECRETARY FOR RECORD,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SCR-0001,FALSE
21hcr0001,HCR 0001 of 2021,NA,NA,2021-2022,HCR,NA,NA,A concurrent resolution to honor and recognize frontline workers in the state of Michigan.Last Action: adopted by Senate - referred to the Clerk for record,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-HCR-0001,FALSE
21hcr0002,HCR 0002 of 2021,NA,NA,2021-2022,HCR,NA,NA,A concurrent resolution to recognize the victims lost to COVID-19 and to express our most sincere condolences to the families that have lost loved ones to COVID-19.Last Action: adopted by Senate - referred to the Clerk for record,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-HCR-0002,FALSE
21scr0002,SCR 0002 of 2021,NA,NA,2021-2022,SCR,NA,NA,A concurrent resolution for the adoption of the Joint Rules of the Senate and House of Representatives.Last Action: REFERRED TO SECRETARY FOR RECORD,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SCR-0002,FALSE
21scr0003,SCR 0003 of 2021,NA,NA,2021-2022,SCR,NA,NA,A concurrent resolution to condemn the attempted coup to overturn the 2020 presidential election at the U.S. Capitol and state emphatically that there is no place for further undermining the 2020 November election with baseless conspiracy theories.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SCR-0003,FALSE
21hcr0003,HCR 0003 of 2021,NA,NA,2021-2022,HCR,NA,NA,A concurrent resolution to urge the United States Department of Education to grant waivers for Michigan state assessment requirements under the Every Student Succeeds Act.Last Action: referred to Committee on Education,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-HCR-0003,FALSE
21hcr0004,HCR 0004 of 2021,NA,NA,2021-2022,HCR,NA,NA,A concurrent resolution to memorialize the federal government to provide direct aid to state and local governments.Last Action: referred to Committee on Government Operations,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-HCR-0004,FALSE
21scr0004,SCR 0004 of 2021,NA,NA,2021-2022,SCR,NA,NA,"A concurrent resolution to censure Senators John Bizon, Tom Barrett, Kevin Daley, Kim LaSata, Dan Lauwers, Rick Outman, Jim Runestad, Lana Theis, Curt VanderWall, Roger Victory, and Dale Zorn and condemn their efforts to undermine American elections.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SCR-0004,FALSE
21scr0005,SCR 0005 of 2021,NA,NA,2021-2022,SCR,NA,NA,A concurrent resolution to urge the United States Department of Education to grant waivers for Michigan state assessment requirements under the Every Student Succeeds Act.Last Action: REFERRED TO COMMITTEE ON EDUCATION AND CAREER READINESS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SCR-0005,FALSE
21hcr0005,HCR 0005 of 2021,NA,NA,2021-2022,HCR,NA,NA,A concurrent resolution to reaffirm states' rights under the United States Constitution to establish election laws.Last Action: REFERRED TO COMMITTEE ON ELECTIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-HCR-0005,FALSE
21hcr0006,HCR 0006 of 2021,NA,NA,2021-2022,HCR,NA,NA,A concurrent resolution to memorialize the Congress of the United States to oppose recommendations to privatize and slow the service of the United States Postal Service.Last Action: referred to Committee on Government Operations,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-HCR-0006,FALSE
21scr0006,SCR 0006 of 2021,NA,NA,2021-2022,SCR,NA,NA,A concurrent resolution to urge the Natural Resources Commission and the Department of Natural Resources to end the research study begun in 2019 concerning the effectiveness of antler point restrictions as a management tool in the chronic wasting disease core area.Last Action: REFERRED TO SECRETARY FOR RECORD,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SCR-0006,FALSE
21scr0007,SCR 0007 of 2021,NA,NA,2021-2022,SCR,NA,NA,"A concurrent resolution to urge the Wolf Management Advisory Council and the Natural Resources Commission to authorize, and the Department of Natural Resources to organize, wolf hunting and trapping as part of the state's wolf management efforts beginning in 2022.Last Action: LAID OVER ONE DAY UNDER THE RULES",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SCR-0007,FALSE
21hcr0007,HCR 0007 of 2021,NA,NA,2021-2022,HCR,NA,NA,A concurrent resolution to approve a designated open space land application for property in Kent County.Last Action: adopted by Senate - referred to the Clerk for record,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-HCR-0007,FALSE
21hcr0008,HCR 0008 of 2021,NA,NA,2021-2022,HCR,NA,NA,A concurrent resolution to memorialize the Congress of the United States to include sewer separation and other projects intended to reduce sewer overflows in infrastructure funding bills.Last Action: referred to Committee on Appropriations,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-HCR-0008,FALSE
21scr0008,SCR 0008 of 2021,NA,NA,2021-2022,SCR,NA,NA,"A concurrent resolution to oppose policies that restrict the autonomy of workers and employers and memorialize the President and Congress of the United States to support and defend the rights and freedoms of workers and employers.Last Action: referred to Committee on Workforce, Trades, and Talent",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SCR-0008,FALSE
21scr0009,SCR 0009 of 2021,NA,NA,2021-2022,SCR,NA,NA,"A concurrent resolution of tribute offered as a memorial for Frank J. Kelley, former Attorney General of Michigan.Last Action: REFERRED TO SECRETARY FOR RECORD",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SCR-0009,FALSE
21hcr0009,HCR 0009 of 2021,NA,NA,2021-2022,HCR,NA,NA,A concurrent resolution to urge the United States Congress to enact legislation returning the residential areas of the District of Columbia back to the state of Maryland.Last Action: referred to Committee on Government Operations,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-HCR-0009,FALSE
21hcr0010,HCR 0010 of 2021,NA,NA,2021-2022,HCR,NA,NA,A concurrent resolution to create the Joint Select Committee to Investigate Michiganders’ Involvement in the January 6 Attack on the United States Capitol.Last Action: referred to Committee on Government Operations,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-HCR-0010,FALSE
21scr0010,SCR 0010 of 2021,NA,NA,2021-2022,SCR,NA,NA,A concurrent resolution to affirm our support for the Fourteenth Amendment to the U.S. Constitution.Last Action: REFERRED TO SECRETARY FOR RECORD,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SCR-0010,FALSE
21scr0011,SCR 0011 of 2021,NA,NA,2021-2022,SCR,NA,NA,"A concurrent resolution of tribute offered as a memorial for Willis ""Bill"" Clare Bullard, Jr., former member of the House of Representatives and the Senate.Last Action: REFERRED TO SECRETARY FOR RECORD",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SCR-0011,FALSE
21hcr0011,HCR 0011 of 2021,NA,NA,2021-2022,HCR,NA,NA,A concurrent resolution prescribing the legislative schedule.Last Action: adopted by Senate - referred to the Clerk for record,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-HCR-0011,FALSE
21hcr0012,HCR 0012 of 2021,NA,NA,2021-2022,HCR,NA,NA,"A concurrent resolution to support admitting Washington, D.C. into the Union as a state of the United States of America and to urge the United States Congress to enact legislation granting statehood to the people of Washington, D.C.Last Action: referred to Committee on Government Operations",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-HCR-0012,FALSE
21scr0012,SCR 0012 of 2021,NA,NA,2021-2022,SCR,NA,NA,A concurrent resolution to prescribe the legislative schedule.Last Action: REFERRED TO SECRETARY FOR RECORD,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SCR-0012,FALSE
21scr0013,SCR 0013 of 2021,NA,NA,2021-2022,SCR,NA,NA,A concurrent resolution to memorialize the Congress of the United States to oppose recommendations to privatize and slow the service of the United States Postal Service.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SCR-0013,FALSE
21hcr0013,HCR 0013 of 2021,NA,NA,2021-2022,HCR,NA,NA,A concurrent resolution to call on the state of Michigan to act quickly to replace lead service lines that have contaminated drinking water sources in the city of Hamtramck.Last Action: referred to Committee on Natural Resources and Outdoor Recreation,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-HCR-0013,FALSE
