doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url,is_current_session
25hjr000A,HJR A of 2025,NA,NA,2025-2026,HJR,Legislature,legislators,"Legislature: legislators; requirements for bill passage; modify.  Amends sec. 26, art. IV of the state constitution.Last Action: placed on third reading",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-HJR-A,TRUE
25sjr000A,SJR A of 2025,NA,NA,2025-2026,SJR,Legislature,sessions,"Legislature: sessions; part-time legislature; provide for.  Amends sec. 13, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-SJR-A,TRUE
25hjr000B,HJR B of 2025,NA,NA,2025-2026,HJR,Elections,registration,"Elections: registration; verification of an elector's United States citizenship; require, and modify voter identification requirements.  Amends secs. 1 & 4, art. II of the state constitution.Last Action: joint resolution electronically reproduced 01/29/2025",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-HJR-B,TRUE
25hjr000C,HJR C of 2025,NA,NA,2025-2026,HJR,Natural resources,hunting,"Natural resources: hunting; right to hunt, fish, and harvest wildlife; recognize in constitution.  Amends the state constitution by adding sec. 29 to art. I.Last Action: joint resolution electronically reproduced 02/12/2025",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-HJR-C,TRUE
25hjr000D,HJR D of 2025,NA,NA,2025-2026,HJR,Legislature,sessions,"Legislature: sessions; part-time legislature; provide for.  Amends sec. 13, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 02/12/2025",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-HJR-D,TRUE
