doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url,is_current_session
09sr0001,SR 0001 of 2009,NA,NA,2009-2010,SR,NA,NA,A resolution notifying the Governor and the House of Representatives that the Senate is ready to proceed with the business of the session.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SR-0001,FALSE
09hr0001,HR 0001 of 2009,NA,NA,2009-2010,HR,NA,NA,A resolution prescribing the Standing Rules of the House of Representatives.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-HR-0001,FALSE
09hr0002,HR 0002 of 2009,NA,NA,2009-2010,HR,NA,NA,A resolution to provide for the Clerk of the House of Representatives for the Ninety-fifth Legislature.Last Action:  Roll Call # 2 Yeas 110 Nays 0,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-HR-0002,FALSE
09sr0002,SR 0002 of 2009,NA,NA,2009-2010,SR,NA,NA,A resolution for the adoption of temporary Standing Rules of the Senate.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SR-0002,FALSE
09sr0003,SR 0003 of 2009,NA,NA,2009-2010,SR,NA,NA,"A resolution observing January 27, 2009, as the International Holocaust Remembrance Day.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SR-0003,FALSE
09hr0003,HR 0003 of 2009,NA,NA,2009-2010,HR,NA,NA,A resolution fixing the hour for daily sessions.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-HR-0003,FALSE
09hr0004,HR 0004 of 2009,NA,NA,2009-2010,HR,NA,NA,A resolution directing the Clerk to notify the Governor that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-HR-0004,FALSE
09sr0004,SR 0004 of 2009,NA,NA,2009-2010,SR,NA,NA,"A resolution recognizing January 25-31, 2009, as Catholic Schools Week in the state of Michigan.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SR-0004,FALSE
09sr0005,SR 0005 of 2009,NA,NA,2009-2010,SR,NA,NA,A resolution for the adoption of the Standing Rules of the Senate.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SR-0005,FALSE
09hr0005,HR 0005 of 2009,NA,NA,2009-2010,HR,NA,NA,A resolution directing the Clerk to notify the Senate that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-HR-0005,FALSE
09hr0006,HR 0006 of 2009,NA,NA,2009-2010,HR,NA,NA,"A resolution to memorialize the Congress of the United States to ensure that any new economic stimulus package includes a stimulus for individual taxpayers and targeted tax cuts for Americans, including incentives for past and current homeowners.

Last Action: referred to Committee on Tax Policy",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-HR-0006,FALSE
09sr0006,SR 0006 of 2009,NA,NA,2009-2010,SR,NA,NA,"A resolution to memorialize the Congress of the United States to tie the federal economic stimulus package distribution to the unemployment rate in each state and to provide that those states with the highest unemployment rates receive a higher percentage of federal funds.

Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SR-0006,FALSE
09sr0007,SR 0007 of 2009,NA,NA,2009-2010,SR,NA,NA,"A resolution declaring February 11, 2009, as White Shirt Day in the state of Michigan.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SR-0007,FALSE
09hr0007,HR 0007 of 2009,NA,NA,2009-2010,HR,NA,NA,A resolution to amend the Standing Rules of the House of Representatives.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-HR-0007,FALSE
