doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url,is_current_session
17hjr000A,HJR A of 2017,NA,NA,2017-2018,HJR,Legislature,sessions,"Legislature; sessions; part-time legislature; provide for. Amends sec. 13, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 01/18/2017",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-HJR-A,FALSE
17sjr000A,SJR A of 2017,NA,NA,2017-2018,SJR,Constitutional amendments,state,"Constitutional amendments; state; permissible uses of school aid funds; revise. Amends sec. 11, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-SJR-A,FALSE
17sjr000B,SJR B of 2017,NA,NA,2017-2018,SJR,Constitutional amendments,state,"Constitutional amendments; state; equal amount of per pupil funding for all local school districts; ensure by certain date. Amends sec. 11, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-SJR-B,FALSE
17hjr000B,HJR B of 2017,NA,NA,2017-2018,HJR,Legislature,apportionment,"Legislature; apportionment; independent citizens redistricting commission; create. Amends secs. 2, 3 & 6, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 01/31/2017",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-HJR-B,FALSE
17hjr000C,HJR C of 2017,NA,NA,2017-2018,HJR,Criminal procedure,warrants,"Criminal procedure; warrants; search and seizure protections; expand to include electronic communications and seizures. Amends sec. 11, art. I of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-HJR-C,FALSE
17sjr000C,SJR C of 2017,NA,NA,2017-2018,SJR,Human services,services or financial assistance,"Human services; services or financial assistance; illegal aliens collecting public assistance; prohibit. Amends the state constitution of 1963, by adding sec. 28, art. I.Last Action: REFERRED TO COMMITTEE ON FAMILIES, SENIORS AND HUMAN SERVICES",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-SJR-C,FALSE
17sjr000D,SJR D of 2017,NA,NA,2017-2018,SJR,Constitutional amendments,state,"Constitutional amendments; state; operation of public school on for-profit basis; prohibit in state constitution. Amends sec. 2, art VIII of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-SJR-D,FALSE
17hjr000D,HJR D of 2017,NA,NA,2017-2018,HJR,Constitutional amendments,state,"Constitutional amendments; state; equal amount of per pupil funding for all local school districts; ensure by certain date. Amends sec. 11, art. IX of the state constitution.Last Action: joint resolution electronically reproduced 02/02/2017",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-HJR-D,FALSE
17hjr000E,HJR E of 2017,NA,NA,2017-2018,HJR,Constitutional amendments,state,"Constitutional amendments; state; permissible uses of school aid funds; revise. Amends sec. 11, art. IX of the state constitution.Last Action: joint resolution electronically reproduced 02/02/2017",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-HJR-E,FALSE
17sjr000E,SJR E of 2017,NA,NA,2017-2018,SJR,Labor,civil service employment,"Labor; civil service employment; classified positions; increase number that may be exempt. Amends sec. 5, art. XI of the state constitution.Last Action: REFERRED TO COMMITTEE ON COMMERCE",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-SJR-E,FALSE
17sjr000F,SJR F of 2017,NA,NA,2017-2018,SJR,Courts,judges,"Courts; judges; election of or appointment to a judicial office of person who has reached 70 years of age; remove prohibition. Amends sec. 19, art. VI of the state constitution.Last Action: REFERRED TO COMMITTEE OF THE WHOLE",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-SJR-F,FALSE
17hjr000F,HJR F of 2017,NA,NA,2017-2018,HJR,Legislature,rules,"Legislature; rules; time allowed when voting on bills in the house of representatives; limit. Amends sec. 26, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 02/08/2017",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-HJR-F,FALSE
17hjr000G,HJR G of 2017,NA,NA,2017-2018,HJR,Courts,judges,"Courts; judges; age limit for election of or appointment to a judicial office; eliminate. Amends sec. 19, art. VI of the state constitution.Last Action: referred to second reading",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-HJR-G,FALSE
17sjr000G,SJR G of 2017,NA,NA,2017-2018,SJR,Natural resources,hunting,"Natural resources; hunting; right to hunt, fish, and harvest wildlife; recognize in constitution. Amends the state constitution by adding sec. 28 to art. I.Last Action: REFERRED TO COMMITTEE ON OUTDOOR RECREATION AND TOURISM",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-SJR-G,FALSE
