Document,Type,Description
SJR A of 2023,Senate Joint Resolution,Public employees and officers: other; certain state employee communications with members of the legislature; protect under certain circumstances. Amends the state constitution by adding sec. 9 to art. XI.Last Action: REFERRED TO COMMITTEE ON LABOR
HJR A of 2023,House Joint Resolution,"Crimes: concealed weapons; concealed carry on college campuses; allow. Amends secs. 5 & 6, art. VIII of the state constitution.Last Action: printed joint resolution filed 03/14/2023"
HJR B of 2023,House Joint Resolution,Constitutional amendments: state; requirement for individual to wear a face mask to enter certain facility; prohibit. Amends the state constitution by adding sec. 29 to art. I.Last Action: printed joint resolution filed 05/16/2023
SJR B of 2023,Senate Joint Resolution,"Legislature: rules; bills or initiative petitions to take effect upon the expiration of 90 days after the date they are filed with the secretary of state; provide for. Amends sec. 27, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SJR C of 2023,Senate Joint Resolution,"Legislature: other; legislative approval for rules created by state departments; require. Amends sec. 37, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HJR C of 2023,House Joint Resolution,"Health: abortion; right to reproductive freedom; repeal. Amends the state constitution by repealing sec. 28, art. I.Last Action: printed joint resolution filed 05/25/2023"
HJR D of 2023,House Joint Resolution,"Constitutional amendments: state; state board of education; eliminate. Amends secs. 3 & 7, art. VIII to the state constitution.Last Action: printed joint resolution filed 06/08/2023"
SJR D of 2023,Senate Joint Resolution,"Higher education: state universities; student admissions preferences based on certain familial relationships; prohibit. Amends secs. 5 & 6, art. VIII & adds sec. 10 to art. VIII of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SJR E of 2023,Senate Joint Resolution,"Higher education: governing boards; gubernatorial appointment of regents, trustees, or board of governors for University of Michigan, Michigan State University, and Wayne State University; require. Amends sec. 5, art. VIII of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HJR E of 2023,House Joint Resolution,Women: other; women's bill of rights; provide for. Amends the state constitution by adding sec. 29 to art. I.Last Action: printed joint resolution filed 06/14/2023
HJR F of 2023,House Joint Resolution,"Civil rights: sexual orientation discrimination; certain references to marriage; make gender neutral. Amends sec. 1, art. X & repeals sec. 25, art. I of the state constitution.Last Action: printed joint resolution filed 06/15/2023"
SJR F of 2023,Senate Joint Resolution,"Higher education: governing boards; open meetings for university boards; require. Amends sec. 4, art. VIII of the state constitution.Last Action: REFERRED TO COMMITTEE ON OVERSIGHT"
SJR G of 2023,Senate Joint Resolution,"Crimes: other; exception to prohibition on slavery; eliminate. Amends sec. 9, art. I of the state constitution.Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
HJR G of 2023,House Joint Resolution,"Crimes: other; exception to prohibition on slavery; eliminate. Amends sec. 9, art. I of the state constitution.Last Action: printed joint resolution filed 09/27/2023"
HJR H of 2023,House Joint Resolution,"Legislature: sessions; part-time legislature; provide for. Amends sec. 13, art. IV of the state constitution.Last Action: printed joint resolution filed 10/12/2023"
SJR H of 2023,Senate Joint Resolution,"Legislature: sessions; part-time legislature; provide for. Amends sec. 13, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SJR I of 2023,Senate Joint Resolution,"Elections: primary; voting age at primary election; revise to 17 under certain circumstances. Amends sec. 1, art. II of the state constitution.Last Action: REFERRED TO COMMITTEE ON ELECTIONS AND ETHICS"
HJR I of 2023,House Joint Resolution,"Legislature: sessions; part-time legislature; provide for. Amends sec. 13, art. IV of the state constitution.Last Action: printed joint resolution filed 11/02/2023"
HJR J of 2023,House Joint Resolution,"Legislature: legislators; salary for legislators; reduce after sine die. Amends sec. 12, art. IV of the state constitution.Last Action: printed joint resolution filed 11/14/2023"
HJR K of 2023,House Joint Resolution,"Legislature: sessions; part-time legislature; provide for. Amends sec. 13, art. IV of the state constitution.Last Action: printed joint resolution filed 11/14/2023"
SJR J of 2024,Senate Joint Resolution,"Crimes: other; exception to prohibition on slavery; eliminate. Amends sec. 9, art. I of the state constitution.Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SJR K of 2024,Senate Joint Resolution,"Criminal procedure: sentencing; death penalty; allow under certain circumstances. Amends sec. 46, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
HJR L of 2024,House Joint Resolution,"Legislature: apportionment; independent citizens redistricting commission; abolish. Amends sec. 1, art. IV, secs. 1, 2 & 4, art. V & secs. 1 & 4, art. VI; adds secs. 6a & 6b to art. IV & repeals sec. 6, art. IV of the state constitution.Last Action: printed joint resolution filed 01/18/2024"
HJR M of 2024,House Joint Resolution,"Crimes: other; exception to prohibition on slavery; eliminate. Amends sec. 9, art. I of the state constitution.Last Action: printed joint resolution filed 02/20/2024"
HJR N of 2024,House Joint Resolution,"Higher education: admission; admission based on anything other than the merit of the prospective student; prohibit. Amends secs. 5 & 6, art. VIII & adds sec. 10 to art. VIII of the state constitution.Last Action: printed joint resolution filed 03/05/2024"
HJR O of 2024,House Joint Resolution,"Elections: judicial; incumbency designation for judges; eliminate. Amends sec. 24, art. VI of the state constitution.Last Action: printed joint resolution filed 03/13/2024"
HJR P of 2024,House Joint Resolution,"Constitutional amendments: state; deadline for filing petitions to amend the state constitution; revise. Amends sec. 2, art. XII of the state constitution.Last Action: printed joint resolution filed 03/13/2024"
HJR Q of 2024,House Joint Resolution,"Legislature: legislators; requirements for bill passage; modify. Amends sec. 26, art. IV of the state constitution.Last Action: printed joint resolution filed 04/23/2024"
HJR R of 2024,House Joint Resolution,"Legislature: other; authority to suspend part or all of the salary and expense allowance of a member who acts unethically or is excessively absent from regular session; provide for. Amends secs. 12 & 16, art. IV of the state constitution.Last Action: printed joint resolution filed 04/23/2024"
HJR S of 2024,House Joint Resolution,Environmental protection: pollution prevention; green initiative; provide for. Amends the state constitution by adding sec. 29 to art. I.Last Action: printed joint resolution filed 04/25/2024
HJR T of 2024,House Joint Resolution,"Constitutional amendments: federal; constitutional amendment to revise the size of United States House districts to not more than 50,000 individuals; ratify. Ratifies a proposed amendment to the Constitution of the United States.Last Action: printed joint resolution filed 06/26/2024"
HJR U of 2024,House Joint Resolution,"Natural resources: hunting; right to hunt, fish, and harvest wildlife; recognize in constitution. Amends the state constitution by adding sec. 29 to art. I.Last Action: printed joint resolution filed 06/27/2024"
