Document,Type,Description
HJR T of 2007,House Joint Resolution,"Legislature; apportionment; constitutional amendment creating the independent redistricting commission; provide for. Amends secs. 2, 3 & 6, art. IV of the state constitution.Last Action: printed joint resolution filed 06/22/2007"
HJR U of 2007,House Joint Resolution,"Elections; initiative and referendum; statewide ballot proposals to be voted on at odd year general elections; require. Amends sec. 9, art II & secs. 1 & 2, art XII of the state constitution.Last Action: printed joint resolution filed 08/09/2007"
HJR V of 2007,House Joint Resolution,"Higher education; state universities; classifying certain active duty military and their dependents residents for determining tuition; require. Amends secs. 5 & 6, art. VIII of the state constitution.Last Action: printed joint resolution filed 09/07/2007"
HJR W of 2007,House Joint Resolution,"Property tax; Headlee; Headlee millage rollbacks; exempt site building and sinking funds. Amends sec. 31, art. IX of the state constitution.Last Action: printed joint resolution filed 09/13/2007"
HJR X of 2007,House Joint Resolution,"Sales tax; rate; sales tax rate; amend constitution to increase. Amends sec. 8, art. IX of the state constitution.Last Action: postponed temporarily"
HJR Y of 2007,House Joint Resolution,"Legislature; legislators; tax increase or imposition of new tax; require 3/5 vote of the legislature and require sunset unless approved by majority of electors. Amends sec. 26, art. IV of the state constitution.Last Action: printed joint resolution filed 09/13/2007"
HJR Z of 2007,House Joint Resolution,"Income tax; rate; graduated state income tax; provide for. Amends sec. 7, art. IX of the state constitution.Last Action: printed joint resolution filed 09/14/2007"
HJR AA of 2007,House Joint Resolution,"Legislature; other; requirement for budget approvals by July 1; provide for. Amends sec. 31, art. IV of the state constitution.Last Action: printed joint resolution filed 09/28/2007"
HJR BB of 2007,House Joint Resolution,"Legislature; legislators; part-time legislature; provide for, and revise session schedule, legislators' salary, and term limits. Amends secs. 12, 13 & 54, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: printed joint resolution filed 05/08/2008"
HJR CC of 2007,House Joint Resolution,"Property tax; assessments; blighted property; amend constitution to allow assessment at different level. Amends sec. 3, art. IX of the state constitution.Last Action: printed joint resolution filed 10/11/2007"
HJR DD of 2007,House Joint Resolution,"Legislature; legislators; legislative salaries; modify. Amends sec. 12, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: printed joint resolution filed 10/24/2007"
HJR EE of 2007,House Joint Resolution,"Legislature; other; deadline for passage of general government budget; establish, and provide penalties for noncompliance. Amends sec. 31, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: printed joint resolution filed 11/07/2007"
HJR FF of 2007,House Joint Resolution,"Retirement; judges; age of retirement for judges; increase to 75 years of age. Amends sec. 19, art. VI of the state constitution.Last Action: printed joint resolution filed 11/08/2007"
HJR GG of 2007,House Joint Resolution,"State financing and management; funds; appropriation bills subject to referendum; clarify. Amends sec. 9, art. II of the state constitution.Last Action: printed joint resolution filed 11/08/2007"
HJR HH of 2007,House Joint Resolution,"Legislature; legislators; reforms to term limits, 1-year moratorium on lobbying for certain state officials, and reduced compensation for state legislators with unexcused absences; provide for. Amends secs. 12 & 54, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: printed joint resolution filed 11/27/2007"
HJR II of 2007,House Joint Resolution,"Public employees and officers; state; maximum number of unclassified employees; increase. Amends sec. 5, art. XI of the state constitution.Last Action: printed joint resolution filed 11/29/2007"
HJR JJ of 2007,House Joint Resolution,"Public employees and officers; state; position of chief administrative officer in the executive branch; provide for. Amends sec. 1, art. V of the state constitution.Last Action: printed joint resolution filed 12/06/2007"
SJR K of 2008,Senate Joint Resolution,"Elections; initiative and referendum; filing petition; include a requirement for geographic distribution of signatures. Amends sec. 9, art. II of the state constitution.Last Action: REFER TO COMMITTEE WITHDRAWN"
SJR L of 2008,Senate Joint Resolution,"Use tax; collections; 2/3 vote of the legislature to expand the base on taxing services; require. Amends sec. 26, art. IV of the state constitution.Last Action: RECONSIDER VOTE POSTPONED"
SJR M of 2008,Senate Joint Resolution,"Constitutional amendments; state; Michigan natural resources trust fund; increase allowable annual expenditures and authorize bonds. Amends sec. 35, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS"
SJR N of 2008,Senate Joint Resolution,"Elections; school; voting age for school district elections; reduce to 16 years of age under certain circumstances. Amends sec. 1, art. II of the state constitution.Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT"
SJR O of 2008,Senate Joint Resolution,"Legislature; legislators; reforms to term limits, 1-year moratorium on lobbying for certain state officials, and reduced compensation for state legislators with unexcused absences; provide for. Amends secs. 12 & 54, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT"
SJR P of 2008,Senate Joint Resolution,"Property tax; assessments; taxable value; limit increase when market value increases by less than 5% or the rate of inflation. Amends sec. 3, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM"
SJR Q of 2008,Senate Joint Resolution,"Legislature; legislative agencies; impact analysis on bill proposals; require. Amends secs. 26 & 31, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
HJR KK of 2008,House Joint Resolution,"Elections; judicial; ballot designation for incumbent judges; eliminate. Amends sec. 24, art. VI of the state constitution.Last Action: printed joint resolution filed 01/17/2008"
HJR LL of 2008,House Joint Resolution,"Property tax; assessments; taxable value; limit increase when market value increases by less than 5% or the rate of inflation. Amends sec. 3, art. IX of the state constitution.Last Action: motion to discharge committee postponed for day"
HJR MM of 2008,House Joint Resolution,"Property tax; assessments; increase in taxable value upon transfer; limit. Amends sec. 3, art. IX of the state constitution.Last Action: motion to discharge committee postponed for day"
HJR NN of 2008,House Joint Resolution,Family law; parental rights; rights of parents and legal guardians to direct upbringing of children; declare as a fundamental constitutional right. Amends the state constitution by adding sec. 27 to art. I.Last Action: motion to discharge committee postponed for day
HJR OO of 2008,House Joint Resolution,"Criminal procedure; bail; individual charged with a felony who has entered or remained in United States illegally; prohibit granting bail. Amends sec. 15, art. I of the state constitution.Last Action: printed joint resolution filed 02/13/2008"
HJR PP of 2008,House Joint Resolution,Environmental protection; recycling; 1-cent recycling fee; provide for. Amends the state constitution by adding sec. 11a to art. IX.Last Action: printed joint resolution filed 02/15/2007
HJR QQ of 2008,House Joint Resolution,Legislature; other; shared power organizational agreement in the house of representatives; create. Amends the state constitution by adding sec. 55 to art. IV.Last Action: printed joint resolution filed 02/20/2008
HJR RR of 2008,House Joint Resolution,Courts; judges; supreme court justices; clarify circumstances requiring disqualification. Amends the state constitution by adding sec. 31 to art. VI.Last Action: printed joint resolution filed 03/05/2008
HJR SS of 2008,House Joint Resolution,"Legislature; sessions; unicameral legislature, independent redistricting commission, certain legislative salary and benefit revisions, and certain other legislative changes; provide for. Amends sec. 9, art. II, sec. 8, art. III, secs. 1, 6, 7, 8, 11, 12, 14, 16, 17, 18, 19, 20, 22, 24, 26, 27, 29, 30, 31, 33, 37, 43, 53 & 54, art. IV, secs. 2, 3, 6, 7, 13, 18, 20, 25, 26, 28 & 29, art. V, secs. 1 & 25, art. VI, sec. 6, art. VIII, secs. 15 & 27, art. IX, sec. 5, art. X, secs. 5 & 7, art. XI & secs. 1 & 3, art. XII; adds secs. 1a, 1b & 55 to art. IV & repeals secs. 2, 3, 4 & 21, art. IV of the state constitution.Last Action: printed joint resolution filed 03/13/2008"
HJR TT of 2008,House Joint Resolution,"State financing and management; budget; constitutional amendment to limit spending; implement. Amends sec. 26, art. IX of the state constitution.Last Action: printed joint resolution filed 04/10/2008"
HJR UU of 2008,House Joint Resolution,"Sales tax; other; special districts allowed to levy an additional sales tax; create, and earmark to arts and cultural programming. Amends sec. 8, art. IX of the state constitution.Last Action: printed joint resolution filed 04/11/2008"
HJR VV of 2008,House Joint Resolution,"Retirement; forfeiture; public employee pension forfeiture for certain offenses; allow. Amends sec. 24, art. IX of the state constitution.Last Action: printed joint resolution filed 04/11/2008"
HJR WW of 2008,House Joint Resolution,"Constitutional amendments; state; health care for all Michigan residents; establish. Amends sec. 51, art. IV of the state constitution.Last Action: printed joint resolution filed 04/11/2008"
HJR XX of 2008,House Joint Resolution,"Elections; primary; nomination of attorney general and secretary of state; revise. Amends sec. 21, art. V of the state constitution.Last Action: printed joint resolution filed 04/17/2008"
HJR YY of 2008,House Joint Resolution,"Elections; primary; procedure for nomination of incumbent supreme court justices; revise. Amends sec. 2, art. VI of the state constitution.Last Action: printed joint resolution filed 04/17/2008"
HJR ZZ of 2008,House Joint Resolution,"Constitutional amendments; state; Michigan natural resources trust fund; increase allowable annual expenditures and authorize bonds. Amends sec. 35, art. IX of the state constitution.Last Action: printed bill filed 04/23/2008"
HJR AAA of 2008,House Joint Resolution,"Income tax; rate; graduated state income tax; provide for. Amends sec. 7, art. IX of the state constitution.Last Action: printed joint resolution filed 04/25/2008"
HJR BBB of 2008,House Joint Resolution,"Public employees and officers; state; chief administrative officer; create. Amends sec. 1, art. V of the state constitution.Last Action: printed joint resolution filed 05/08/2008"
HJR CCC of 2008,House Joint Resolution,"Appropriations; school aid; requirement for presentation of certain budgets by a certain date of each fiscal year; establish. Amends sec. 31, art. IV of the state constitution.Last Action: printed joint resolution filed 05/23/2008"
HJR DDD of 2008,House Joint Resolution,"Property tax; assessments; calculation of taxable value; revise. Amends sec. 3, art. IX of the state constitution.Last Action: printed joint resolution filed 06/26/2008"
HJR EEE of 2008,House Joint Resolution,"Legislature; legislators; salary and health care for legislators; revise and repeal term limits for legislators. Amends sec. 12, art. IV & repeals sec. 54, art. IV of the state constitution.Last Action: printed joint resolution filed 07/17/2008"
HJR FFF of 2008,House Joint Resolution,"Legislature; legislators; term limits; repeal. Repeals sec. 54, art. IV of the state constitution.Last Action: printed joint resolution filed 07/24/2008"
HJR GGG of 2008,House Joint Resolution,"Transportation; motor fuel tax; allocation of gas tax; modify and earmark for roads. Amends sec. 9, art. IX of the state constitution.Last Action: printed joint resolution filed 07/24/2008"
HJR HHH of 2008,House Joint Resolution,"Sales tax; collections; local option for a sales tax increase; allow, and earmark revenue into a transportation fund. Amends sec. 8, art. IX of the state constitution.Last Action: notice given to discharge committee"
HJR III of 2008,House Joint Resolution,"Property tax; assessments; limitation on taxable value based on change in SEV; amend constitution to provide for. Amends sec. 3, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM"
HJR JJJ of 2008,House Joint Resolution,"State agencies (existing); generally; implementation of rules within state departments; require JCAR approval. Amends sec. 37, art. IV of the state constitution.Last Action: printed joint resolution filed 07/24/2008"
HJR KKK of 2008,House Joint Resolution,Labor; civil service employment; limitation on state from authorizing pay increases for classes of state employees under certain circumstances; provide for. Amends sec. 5 of art. XI of the state constitution.Last Action: printed joint resolution filed 09/11/2008
HJR LLL of 2008,House Joint Resolution,"Higher education; tuition; in-state tuition rates of state universities; limit increases based on CPI in state constitution. Amends secs. 5 & 6, art. VIII & adds sec. 10 to art. VIII of the state constitution.Last Action: printed joint resolution filed 09/11/2008"
HJR MMM of 2008,House Joint Resolution,"Gaming; casinos; casino gaming at horse racetracks; amend constitution to allow, and earmark tax revenue to additional homestead property tax credit. Amends sec. 41, art. IV & adds sec. 43 to art. IX of the state constitution.Last Action: printed joint resolution filed 09/18/2008"
HJR NNN of 2008,House Joint Resolution,"Sales tax; collections; distribution of sales tax proceeds; amend constitution to dedicate certain percentage of revenue to road construction, maintenance, and repair. Amends sec. 10, art. IX of the state constitution.Last Action: printed joint resolution filed 09/25/2008"
HJR OOO of 2008,House Joint Resolution,Constitutional amendments; state; provision regarding filling a vacancy in the office of lieutenant governor; provide for. Amends the state constitution by adding sec. 21a to art. V.Last Action: printed joint resolution filed 10/30/2008
