Document,Type,Description
SJR N of 2022,Senate Joint Resolution,"Legislature: other; three-fourths majority vote of the legislature to enact law proposed by initiative; require. Amends sec. 9, art. II of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HJR N of 2022,House Joint Resolution,"Individual income tax: retirement or pension benefits; collection of taxes on pensions; prohibit. Amends sec. 7, art. IX of the state constitution.Last Action: joint resolution electronically reproduced 02/03/2022"
HJR O of 2022,House Joint Resolution,"Public employees and officers: other; binding arbitration; require for all employees in the classified state civil service. Amends sec. 5, art. XI of the state constitution.Last Action: printed joint resolution filed 02/23/2022"
SJR O of 2022,Senate Joint Resolution,"Legislature: committees; constitutional amendment to create a bipartisan, bicameral oversight committee to review departmental or agency audits and reports provided by the auditor general; create. Amends sec. 53, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON OVERSIGHT"
SJR P of 2022,Senate Joint Resolution,"Elections: primary; voting age at primary election; revise to 17 under certain circumstances. Amends sec. 1, art. II of the state constitution.Last Action: REFERRED TO COMMITTEE ON ELECTIONS"
HJR P of 2022,House Joint Resolution,"Elections: school; voting age for school district elections; revise to 16 years of age under certain circumstances. Amends sec.1, art. II of the state constitution.Last Action: printed joint resolution filed 02/24/2022"
HJR Q of 2022,House Joint Resolution,"Courts: judges; age limit for election of or appointment to a judicial office; amend. Amends sec.19, art. VI of the state constitution.Last Action: printed joint resolution filed 03/23/2022"
SJR Q of 2022,Senate Joint Resolution,"Constitutional amendments: state; permissible uses of school aid funds; revise. Amends sec. 11, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HJR R of 2022,House Joint Resolution,"Legislature: legislators; term limits for state legislators; revise, and require annual financial disclosures by state legislators. Amends secs.10 & 54, art. IV of the state constitution.Last Action: filed with Secretary of State 05/13/2022 11:13 AM"
HJR S of 2022,House Joint Resolution,"Legislature: apportionment; independent citizens redistricting commission; abolish. Amends sec. 1, art. IV, secs, 1, 2 & 4, art. V, secs. 1 & 4, art. VI & adds secs. 6a & 6b to art. IV & repeals sec. 6, art. IV of the state constitution.Last Action: printed joint resolution filed 05/11/2022"
HJR T of 2022,House Joint Resolution,"Legislature: sessions; unicameral nonpartisan legislature; provide for. Amends sec. 9, art. II, sec. 8, art. III, secs. 1, 6, 7, 8, 11, 12, 14, 16, 17, 18, 19, 20, 22, 24, 26, 27, 29, 30, 31, 33, 37, 43, 53 & 54, art. IV, secs, 2, 3, 6, 7, 13, 18, 20, 25, 26, 28 & 29, art. V, secs. 1 & 25, art. VI, sec. 6, art VIII, secs. 3, 15 & 27, art. IX, sec. 5, art. X, secs. 5 & 7, art. XI, secs. 1 & 3, art. XII; adds sec. 1a, to art. IV & repeals secs. 2, 3 & 21, art. IV of the state constitution.Last Action: printed joint resolution filed 05/18/2022"
HJR U of 2022,House Joint Resolution,"Elections: school; election of state board of education members from congressional districts; require. Amends sec. 3, art. VIII of the state constitution.Last Action: printed joint resolution filed 06/14/2022"
HJR V of 2022,House Joint Resolution,"Civil rights: other; involuntary servitude for the punishment of crime; prohibit. Amends sec. 9, art. I of the state constitution.Last Action: printed joint resolution filed 10/12/2022"
HJR W of 2022,House Joint Resolution,"Gaming: horse racing; expansion of gambling on the results of horse races; amend constitution to allow. Amends sec. 41, art. IV of the state constitution.Last Action: printed joint resolution filed 11/10/2022"
HJR X of 2022,House Joint Resolution,"State: interstate compacts and agreements; certain nondisclosure agreements entered into by interstate compact entities; prohibit. Amends sec. 5, art. III of the state constitution.Last Action: printed joint resolution filed 11/10/2022"
HJR Y of 2022,House Joint Resolution,"State: other; state control of certain electric and natural gas utilities; require. Amends secs. 15 & 29, art. VII & adds sec. 31 to art. V of the state constitution.Last Action: printed joint resolution filed 11/30/2022"
HJR Z of 2022,House Joint Resolution,"Civil rights: affirmative action; prohibition of certain affirmative action programs; repeal. Repeals sec. 26, art. I of the state constitution.Last Action: printed joint resolution filed 12/01/2022"
