Document,Type,Description
SJR A of 2021,Senate Joint Resolution,"Constitutional amendments: state; permissible uses of school aid funds; revise. Amends sec. 11, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
HJR A of 2021,House Joint Resolution,"Legislature: legislators; requirements for bill passage; modify. Amends sec. 26, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HJR B of 2021,House Joint Resolution,Legislature: sessions; sine die; establish as the Friday before the first Monday in November in an even numbered year.Last Action: joint resolution electronically reproduced 01/26/2021
SJR B of 2021,Senate Joint Resolution,"Constitutional amendments: state; equal amount of per pupil revenue for school operating purposes for all local school districts; ensure by certain date. Amends sec. 11, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
SJR C of 2021,Senate Joint Resolution,"Individual income tax: rate; graduated income tax; allow. Amends sec. 7, art. IX of the state constitution. Last Action: REFERRED TO COMMITTEE ON FINANCE"
HJR C of 2021,House Joint Resolution,"Constitutional amendments: state; state board of education, superintendent of public instruction, and state board for public community and junior colleges; eliminate, and provide for a governor-appointed department director. Amends secs. 3 & 7, art. VIII of the state constitution.Last Action: joint resolution electronically reproduced 02/10/2021"
HJR D of 2021,House Joint Resolution,"Legislature: legislators; legislator pay, term limits, and requirements for bill passage; modify. Amends secs. 16 & 27, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SJR D of 2021,Senate Joint Resolution,"Legislature: sessions; legislature to conduct session and committee meetings remotely; allow during certain emergencies. Amends secs. 13, 14, 17, 20 & 21, art. IV of the state constitution. Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SJR E of 2021,Senate Joint Resolution,"Legislature: sessions; sine die; establish as the Friday before the first Monday in November in an even numbered year, with certain exceptions allowed. Amends secs. 13 & 26, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HJR E of 2021,House Joint Resolution,Legislature: other; application for a convention of the states under article V of the United States Constitution; provide for.Last Action: joint resolution electronically reproduced 04/27/2021
HJR F of 2021,House Joint Resolution,Legislature: other; authority of the legislature to take up ballot initiatives; eliminate.Last Action: printed joint resolution filed 05/12/2021
SJR F of 2021,Senate Joint Resolution,"Higher education: governing boards; open meetings for university boards; require. Amends sec. 4, art. VIII of the state constitution.Last Action: REFERRED TO COMMITTEE ON EDUCATION AND CAREER READINESS"
SJR G of 2021,Senate Joint Resolution,Public employees and officers: other; certain state employee communications with members of the legislature; protect under certain circumstances. Amends the state constitution by adding sec. 9 to art. XI.Last Action: postponed for the day
HJR G of 2021,House Joint Resolution,Constitutional amendments: state; deadlines for proposed amendments to the state constitution; modify.Last Action: referred to second reading
HJR H of 2021,House Joint Resolution,"Civil rights: affirmative action; governmental preferences for race, sex, color, ethnicity, and national origin; allow. Amends sec. 26, art. I of the state constitution.Last Action: printed joint resolution filed 06/24/2021"
SJR H of 2021,Senate Joint Resolution,Legislature: other; authority of the legislature to take up ballot initiatives; eliminate. Amends sec. 9 of art. II of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SJR I of 2021,Senate Joint Resolution,"Civil rights: affirmative action; prohibition of certain affirmative action programs; repeal. Repeals sec. 26, art. I of 1963 of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HJR I of 2021,House Joint Resolution,"Elections: primary; voting age at primary election; revise to 17 under certain circumstances. Amends sec. 1, art. II of the state constitution.Last Action: printed joint resolution filed 06/29/2021"
HJR J of 2021,House Joint Resolution,"Civil rights: sexual orientation discrimination; certain references to marriage; make gender neutral. Amends sec. 1, art. X & repeals sec. 25, art. I  of the state constitution.Last Action: printed joint resolution filed 07/01/2021"
SJR J of 2021,Senate Joint Resolution,"Children: other; consideration of best interests of the child in all parental termination cases, child custody cases, and out-of-home placement cases; require. Amends the state constitution by adding sec. 28 to art. I.Last Action: REFERRED TO COMMITTEE ON FAMILIES, SENIORS, AND VETERANS"
SJR K of 2021,Senate Joint Resolution,"Civil rights: other; involuntary servitude for the punishment of crime; prohibit. Amends sec. 9, art. I of the state constitution.Last Action: REFERRED TO COMMITTEE ON JUDICIARY AND PUBLIC SAFETY"
HJR K of 2021,House Joint Resolution,"Higher education: governing boards; open meetings for university boards; require. Amends sec. 4, art. VIII of the state constitution.Last Action: printed joint resolution filed 11/30/2021"
HJR L of 2021,House Joint Resolution,"Criminal procedure: bail; cash bail payments; prohibit. Amends secs. 15 & 16, art. I of the state constitution.Last Action: printed joint resolution filed 11/30/2021"
HJR M of 2021,House Joint Resolution,Public employees and officers: other; certain state employee communications with members of the legislature; protect under certain circumstances. Amends the state constitution by adding sec. 9 to art. XI.Last Action: printed joint resolution filed 12/14/2021
SJR L of 2022,Senate Joint Resolution,"Elections: school; voting age for school district elections; revise to 16 years of age under certain circumstances. Amends sec. 1, art. II of the state constitution.Last Action: REFERRED TO COMMITTEE ON ELECTIONS"
SJR M of 2022,Senate Joint Resolution,"Public employees and officers: other; binding arbitration; require for all employees in the classified state civil service. Amends sec. 5, art. XI of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
